frame,angle,reps,feedback,sway,fps
0,171.0,0,Too Upright,,12.184320221341466
1,171.0,0,Too Upright,,12.184320221341466
2,168.0,0,Too Upright,,12.184320221341466
3,168.0,0,Too Upright,,12.184320221341466
4,165.0,0,Too Upright,,12.184320221341466
5,155.0,0,Good Depth,,12.184320221341466
6,147.0,0,Good Depth,,12.184320221341466
7,136.0,0,Good Depth,,12.184320221341466
8,113.0,0,Good Depth,,12.184320221341466
9,113.0,0,Good Depth,,12.184320221341466
10,57.0,0,Too Deep!,,12.184320221341466
11,108.0,0,Good Depth,,12.184320221341466
12,107.0,0,Good Depth,,12.184320221341466
13,99.0,0,Good Depth,,12.184320221341466
14,112.0,0,Good Depth,,12.184320221341466
15,112.0,0,Good Depth,,12.184320221341466
16,96.0,0,Good Depth,,12.184320221341466
17,100.0,0,Good Depth,,12.184320221341466
18,171.0,1,Too Upright,,12.184320221341466
19,170.0,1,Too Upright,,12.184320221341466
20,,1,Too Upright,,12.184320221341466
21,,1,Too Upright,,12.184320221341466
22,,1,Too Upright,,12.184320221341466
23,,1,Too Upright,,12.184320221341466
24,,1,Too Upright,,12.184320221341466
25,,1,Too Upright,,12.184320221341466
26,,1,Too Upright,,12.184320221341466
27,,1,Too Upright,,12.184320221341466
28,,1,Too Upright,,12.184320221341466
29,,1,Too Upright,,12.184320221341466
30,,1,Too Upright,,12.184320221341466
31,138.0,1,Good Depth,,12.184320221341466
32,154.0,1,Good Depth,,12.184320221341466
33,154.0,1,Good Depth,,12.184320221341466
34,153.0,1,Good Depth,,12.184320221341466
35,,1,Good Depth,,12.184320221341466
36,82.0,1,Good Depth,,12.184320221341466
37,170.0,2,Too Upright,,12.184320221341466
38,,2,Too Upright,,12.184320221341466
39,,2,Too Upright,,12.184320221341466
40,,2,Too Upright,,12.184320221341466
41,,2,Too Upright,,12.184320221341466
42,90.0,2,Good Depth,,12.184320221341466
43,,2,Good Depth,,12.184320221341466
44,172.0,2,Too Upright,,12.184320221341466
45,171.0,2,Too Upright,,12.184320221341466
46,107.0,2,Good Depth,,12.184320221341466
47,127.0,2,Good Depth,,12.184320221341466
48,107.0,2,Good Depth,,12.184320221341466
49,96.0,2,Good Depth,,12.184320221341466
50,90.0,2,Good Depth,,12.184320221341466
51,90.0,2,Good Depth,,12.184320221341466
52,93.0,2,Good Depth,,12.184320221341466
53,126.0,2,Good Depth,,12.184320221341466
54,118.0,2,Good Depth,,12.184320221341466
55,129.0,2,Good Depth,,12.184320221341466
56,132.0,2,Good Depth,,12.184320221341466
57,132.0,2,Good Depth,,12.184320221341466
58,134.0,2,Good Depth,,12.184320221341466
59,141.0,2,Good Depth,,12.184320221341466
60,140.0,2,Good Depth,,12.184320221341466
61,143.0,2,Good Depth,,12.184320221341466
62,153.0,2,Good Depth,,12.184320221341466
63,153.0,2,Good Depth,,12.184320221341466
64,155.0,2,Good Depth,,12.184320221341466
65,175.0,2,Too Upright,,12.184320221341466
66,167.0,2,Too Upright,,12.184320221341466
67,171.0,2,Too Upright,,12.184320221341466
68,169.0,2,Too Upright,,12.184320221341466
69,168.0,2,Too Upright,,12.184320221341466
70,172.0,2,Too Upright,,12.184320221341466
71,176.0,2,Too Upright,,12.184320221341466
72,176.0,2,Too Upright,,12.184320221341466
73,175.0,2,Too Upright,,12.184320221341466
74,175.0,2,Too Upright,,12.184320221341466
