frame,angle,reps,feedback,sway,fps
0,170.0,0,Too Upright,,12.156481806403624
1,170.0,0,Too Upright,,12.156481806403624
2,171.0,0,Too Upright,,12.156481806403624
3,171.0,0,Too Upright,,12.156481806403624
4,168.0,0,Too Upright,,12.156481806403624
5,151.0,0,Good Depth,,12.156481806403624
6,142.0,0,Good Depth,,12.156481806403624
7,,0,Good Depth,,12.156481806403624
8,115.0,0,Good Depth,,12.156481806403624
9,115.0,0,Good Depth,,12.156481806403624
10,60.0,0,Good Depth,,12.156481806403624
11,,0,Good Depth,,12.156481806403624
12,,0,Good Depth,,12.156481806403624
13,,0,Good Depth,,12.156481806403624
14,127.0,0,Good Depth,,12.156481806403624
15,127.0,0,Good Depth,,12.156481806403624
16,,0,Good Depth,,12.156481806403624
17,84.0,0,Good Depth,,12.156481806403624
18,,0,Good Depth,,12.156481806403624
19,170.0,1,Too Upright,,12.156481806403624
20,91.0,1,Good Depth,,12.156481806403624
21,89.0,1,Good Depth,,12.156481806403624
22,89.0,1,Good Depth,,12.156481806403624
23,,1,Good Depth,,12.156481806403624
24,43.0,1,Too Deep!,,12.156481806403624
25,,1,Too Deep!,,12.156481806403624
26,,1,Too Deep!,,12.156481806403624
27,,1,Too Deep!,,12.156481806403624
28,86.0,1,Good Depth,,12.156481806403624
29,102.0,1,Good Depth,,12.156481806403624
30,92.0,1,Good Depth,,12.156481806403624
31,,1,Good Depth,,12.156481806403624
32,,1,Good Depth,,12.156481806403624
33,,1,Good Depth,,12.156481806403624
34,102.0,1,Good Depth,,12.156481806403624
35,89.0,1,Good Depth,,12.156481806403624
36,,1,Good Depth,,12.156481806403624
37,86.0,1,Good Depth,,12.156481806403624
38,88.0,1,Good Depth,,12.156481806403624
39,89.0,1,Good Depth,,12.156481806403624
40,,1,Good Depth,,12.156481806403624
41,,1,Good Depth,,12.156481806403624
42,56.0,1,Too Deep!,,12.156481806403624
43,89.0,1,Good Depth,,12.156481806403624
44,171.0,2,Too Upright,,12.156481806403624
45,170.0,2,Too Upright,,12.156481806403624
46,86.0,2,Good Depth,,12.156481806403624
47,104.0,2,Good Depth,,12.156481806403624
