frame,angle,reps,feedback,sway,fps
0,,0,,,13.143458949917893
1,,0,,,13.143458949917893
2,,0,,,13.143458949917893
3,,0,,,13.143458949917893
4,,0,,,13.143458949917893
5,,0,,,13.143458949917893
6,,0,,,13.143458949917893
7,173.0,0,Too Upright,,13.143458949917893
8,177.0,0,Too Upright,,13.143458949917893
9,177.0,0,Too Upright,,13.143458949917893
10,178.0,0,Too Upright,,13.143458949917893
11,163.0,0,Too Upright,,13.143458949917893
12,,0,Too Upright,,13.143458949917893
13,153.0,0,Good Depth,,13.143458949917893
14,,0,Good Depth,,13.143458949917893
15,,0,Good Depth,,13.143458949917893
16,,0,Good Depth,,13.143458949917893
17,,0,Good Depth,,13.143458949917893
18,,0,Good Depth,,13.143458949917893
19,,0,Good Depth,,13.143458949917893
20,,0,Good Depth,,13.143458949917893
21,113.0,0,Good Depth,,13.143458949917893
22,,0,Good Depth,,13.143458949917893
23,,0,Good Depth,,13.143458949917893
24,,0,Good Depth,,13.143458949917893
25,,0,Good Depth,,13.143458949917893
26,,0,Good Depth,,13.143458949917893
27,,0,Good Depth,,13.143458949917893
28,,0,Good Depth,,13.143458949917893
29,,0,Good Depth,,13.143458949917893
30,,0,Good Depth,,13.143458949917893
31,,0,Good Depth,,13.143458949917893
32,,0,Good Depth,,13.143458949917893
33,,0,Good Depth,,13.143458949917893
34,,0,Good Depth,,13.143458949917893
35,,0,Good Depth,,13.143458949917893
36,,0,Good Depth,,13.143458949917893
37,,0,Good Depth,,13.143458949917893
38,,0,Good Depth,,13.143458949917893
39,,0,Good Depth,,13.143458949917893
40,,0,Good Depth,,13.143458949917893
41,,0,Good Depth,,13.143458949917893
42,,0,Good Depth,,13.143458949917893
43,,0,Good Depth,,13.143458949917893
44,,0,Good Depth,,13.143458949917893
45,,0,Good Depth,,13.143458949917893
46,,0,Good Depth,,13.143458949917893
47,,0,Good Depth,,13.143458949917893
48,,0,Good Depth,,13.143458949917893
49,149.0,0,Good Depth,,13.143458949917893
50,,0,Good Depth,,13.143458949917893
51,159.0,0,Good Depth,,13.143458949917893
52,174.0,0,Too Upright,,13.143458949917893
53,,0,Too Upright,,13.143458949917893
54,,0,Too Upright,,13.143458949917893
55,,0,Too Upright,,13.143458949917893
56,,0,Too Upright,,13.143458949917893
57,,0,Too Upright,,13.143458949917893
58,,0,Too Upright,,13.143458949917893
59,,0,Too Upright,,13.143458949917893
60,,0,Too Upright,,13.143458949917893
61,,0,Too Upright,,13.143458949917893
62,,0,Too Upright,,13.143458949917893
63,,0,Too Upright,,13.143458949917893
64,,0,Too Upright,,13.143458949917893
65,,0,Too Upright,,13.143458949917893
66,,0,Too Upright,,13.143458949917893
67,,0,Too Upright,,13.143458949917893
68,,0,Too Upright,,13.143458949917893
69,,0,Too Upright,,13.143458949917893
70,,0,Too Upright,,13.143458949917893
71,,0,Too Upright,,13.143458949917893
72,,0,Too Upright,,13.143458949917893
