frame,angle,reps,feedback,sway,fps
0,171.0,0,Too Upright,,12.07140050033507
1,171.0,0,Too Upright,,12.07140050033507
2,169.0,0,Too Upright,,12.07140050033507
3,169.0,0,Too Upright,,12.07140050033507
4,165.0,0,Too Upright,,12.07140050033507
5,160.0,0,Good Depth,,12.07140050033507
6,152.0,0,Good Depth,,12.07140050033507
7,145.0,0,Good Depth,,12.07140050033507
8,114.0,0,Good Depth,,12.07140050033507
9,114.0,0,Good Depth,,12.07140050033507
10,55.0,0,Too Deep!,,12.07140050033507
11,119.0,0,Good Depth,,12.07140050033507
12,113.0,0,Good Depth,,12.07140050033507
13,101.0,0,Good Depth,,12.07140050033507
14,116.0,0,Good Depth,,12.07140050033507
15,115.0,0,Good Depth,,12.07140050033507
16,101.0,0,Good Depth,,12.07140050033507
17,99.0,0,Good Depth,,12.07140050033507
18,,0,Good Depth,,12.07140050033507
19,171.0,1,Too Upright,,12.07140050033507
20,,1,Too Upright,,12.07140050033507
21,,1,Too Upright,,12.07140050033507
22,,1,Too Upright,,12.07140050033507
23,,1,Too Upright,,12.07140050033507
24,,1,Too Upright,,12.07140050033507
25,,1,Too Upright,,12.07140050033507
26,,1,Too Upright,,12.07140050033507
27,,1,Too Upright,,12.07140050033507
28,,1,Too Upright,,12.07140050033507
29,99.0,1,Good Depth,,12.07140050033507
30,,1,Good Depth,,12.07140050033507
31,,1,Good Depth,,12.07140050033507
32,100.0,1,Good Depth,,12.07140050033507
33,101.0,1,Good Depth,,12.07140050033507
34,100.0,1,Good Depth,,12.07140050033507
35,100.0,1,Good Depth,,12.07140050033507
36,98.0,1,Good Depth,,12.07140050033507
37,99.0,1,Good Depth,,12.07140050033507
38,98.0,1,Good Depth,,12.07140050033507
39,98.0,1,Good Depth,,12.07140050033507
40,94.0,1,Good Depth,,12.07140050033507
41,,1,Good Depth,,12.07140050033507
42,84.0,1,Good Depth,,12.07140050033507
43,93.0,1,Good Depth,,12.07140050033507
44,171.0,2,Too Upright,,12.07140050033507
45,171.0,2,Too Upright,,12.07140050033507
46,97.0,2,Good Depth,,12.07140050033507
47,121.0,2,Good Depth,,12.07140050033507
48,102.0,2,Good Depth,,12.07140050033507
49,97.0,2,Good Depth,,12.07140050033507
50,98.0,2,Good Depth,,12.07140050033507
51,98.0,2,Good Depth,,12.07140050033507
52,106.0,2,Good Depth,,12.07140050033507
53,122.0,2,Good Depth,,12.07140050033507
54,128.0,2,Good Depth,,12.07140050033507
55,136.0,2,Good Depth,,12.07140050033507
56,142.0,2,Good Depth,,12.07140050033507
57,141.0,2,Good Depth,,12.07140050033507
58,143.0,2,Good Depth,,12.07140050033507
59,148.0,2,Good Depth,,12.07140050033507
60,150.0,2,Good Depth,,12.07140050033507
61,156.0,2,Good Depth,,12.07140050033507
62,158.0,2,Good Depth,,12.07140050033507
63,158.0,2,Good Depth,,12.07140050033507
64,170.0,2,Too Upright,,12.07140050033507
65,170.0,2,Too Upright,,12.07140050033507
66,164.0,2,Too Upright,,12.07140050033507
67,170.0,2,Too Upright,,12.07140050033507
68,168.0,2,Too Upright,,12.07140050033507
69,168.0,2,Too Upright,,12.07140050033507
70,169.0,2,Too Upright,,12.07140050033507
71,171.0,2,Too Upright,,12.07140050033507
72,173.0,2,Too Upright,,12.07140050033507
73,171.0,2,Too Upright,,12.07140050033507
74,173.0,2,Too Upright,,12.07140050033507
75,173.0,2,Too Upright,,12.07140050033507
76,174.0,2,Too Upright,,12.07140050033507
77,177.0,2,Too Upright,,12.07140050033507
78,177.0,2,Too Upright,,12.07140050033507
79,176.0,2,Too Upright,,12.07140050033507
80,176.0,2,Too Upright,,12.07140050033507
81,176.0,2,Too Upright,,12.07140050033507
82,176.0,2,Too Upright,,12.07140050033507
83,173.0,2,Too Upright,,12.07140050033507
84,174.0,2,Too Upright,,12.07140050033507
85,173.0,2,Too Upright,,12.07140050033507
86,173.0,2,Too Upright,,12.07140050033507
87,173.0,2,Too Upright,,12.07140050033507
88,166.0,2,Too Upright,,12.07140050033507
89,154.0,2,Good Depth,,12.07140050033507
90,149.0,2,Good Depth,,12.07140050033507
91,138.0,2,Good Depth,,12.07140050033507
92,134.0,2,Good Depth,,12.07140050033507
93,135.0,2,Good Depth,,12.07140050033507
94,129.0,2,Good Depth,,12.07140050033507
95,112.0,2,Good Depth,,12.07140050033507
96,102.0,2,Good Depth,,12.07140050033507
97,98.0,2,Good Depth,,12.07140050033507
98,106.0,2,Good Depth,,12.07140050033507
99,109.0,2,Good Depth,,12.07140050033507
100,106.0,2,Good Depth,,12.07140050033507
101,171.0,2,Too Upright,,12.07140050033507
102,,2,Too Upright,,12.07140050033507
103,,2,Too Upright,,12.07140050033507
104,100.0,2,Good Depth,,12.07140050033507
105,99.0,2,Good Depth,,12.07140050033507
106,,2,Good Depth,,12.07140050033507
107,,2,Good Depth,,12.07140050033507
108,75.0,2,Good Depth,,12.07140050033507
109,,2,Good Depth,,12.07140050033507
110,90.0,2,Good Depth,,12.07140050033507
111,90.0,2,Good Depth,,12.07140050033507
112,,2,Good Depth,,12.07140050033507
113,,2,Good Depth,,12.07140050033507
114,,2,Good Depth,,12.07140050033507
115,,2,Good Depth,,12.07140050033507
116,,2,Good Depth,,12.07140050033507
117,,2,Good Depth,,12.07140050033507
118,,2,Good Depth,,12.07140050033507
119,,2,Good Depth,,12.07140050033507
120,,2,Good Depth,,12.07140050033507
121,,2,Good Depth,,12.07140050033507
122,,2,Good Depth,,12.07140050033507
123,,2,Good Depth,,12.07140050033507
124,90.0,2,Good Depth,,12.07140050033507
125,90.0,2,Good Depth,,12.07140050033507
126,,2,Good Depth,,12.07140050033507
127,104.0,2,Good Depth,,12.07140050033507
128,114.0,2,Good Depth,,12.07140050033507
129,115.0,2,Good Depth,,12.07140050033507
130,123.0,2,Good Depth,,12.07140050033507
131,99.0,2,Good Depth,,12.07140050033507
132,106.0,2,Good Depth,,12.07140050033507
133,113.0,2,Good Depth,,12.07140050033507
134,113.0,2,Good Depth,,12.07140050033507
135,114.0,2,Good Depth,,12.07140050033507
136,,2,Good Depth,,12.07140050033507
137,134.0,2,Good Depth,,12.07140050033507
138,137.0,2,Good Depth,,12.07140050033507
139,,2,Good Depth,,12.07140050033507
140,142.0,2,Good Depth,,12.07140050033507
141,142.0,2,Good Depth,,12.07140050033507
142,150.0,2,Good Depth,,12.07140050033507
143,159.0,2,Good Depth,,12.07140050033507
144,161.0,3,Too Upright,,12.07140050033507
145,170.0,3,Too Upright,,12.07140050033507
146,165.0,3,Too Upright,,12.07140050033507
147,165.0,3,Too Upright,,12.07140050033507
148,172.0,3,Too Upright,,12.07140050033507
149,175.0,3,Too Upright,,12.07140050033507
150,173.0,3,Too Upright,,12.07140050033507
151,176.0,3,Too Upright,,12.07140050033507
152,173.0,3,Too Upright,,12.07140050033507
153,174.0,3,Too Upright,,12.07140050033507
154,174.0,3,Too Upright,,12.07140050033507
155,172.0,3,Too Upright,,12.07140050033507
156,171.0,3,Too Upright,,12.07140050033507
157,172.0,3,Too Upright,,12.07140050033507
158,172.0,3,Too Upright,,12.07140050033507
159,173.0,3,Too Upright,,12.07140050033507
160,173.0,3,Too Upright,,12.07140050033507
161,173.0,3,Too Upright,,12.07140050033507
162,174.0,3,Too Upright,,12.07140050033507
163,173.0,3,Too Upright,,12.07140050033507
164,173.0,3,Too Upright,,12.07140050033507
165,173.0,3,Too Upright,,12.07140050033507
166,174.0,3,Too Upright,,12.07140050033507
167,163.0,3,Too Upright,,12.07140050033507
168,163.0,3,Too Upright,,12.07140050033507
169,159.0,3,Good Depth,,12.07140050033507
170,157.0,3,Good Depth,,12.07140050033507
171,158.0,3,Good Depth,,12.07140050033507
172,146.0,3,Good Depth,,12.07140050033507
173,116.0,3,Good Depth,,12.07140050033507
174,118.0,3,Good Depth,,12.07140050033507
175,110.0,3,Good Depth,,12.07140050033507
176,,3,Good Depth,,12.07140050033507
177,,3,Good Depth,,12.07140050033507
178,,3,Good Depth,,12.07140050033507
179,96.0,3,Good Depth,,12.07140050033507
180,99.0,3,Good Depth,,12.07140050033507
181,82.0,3,Good Depth,,12.07140050033507
182,,3,Good Depth,,12.07140050033507
183,,3,Good Depth,,12.07140050033507
184,87.0,3,Good Depth,,12.07140050033507
185,91.0,3,Good Depth,,12.07140050033507
186,,3,Good Depth,,12.07140050033507
187,171.0,4,Too Upright,,12.07140050033507
188,171.0,4,Too Upright,,12.07140050033507
189,171.0,4,Too Upright,,12.07140050033507
190,172.0,4,Too Upright,,12.07140050033507
191,172.0,4,Too Upright,,12.07140050033507
192,172.0,4,Too Upright,,12.07140050033507
193,175.0,4,Too Upright,,12.07140050033507
194,176.0,4,Too Upright,,12.07140050033507
195,175.0,4,Too Upright,,12.07140050033507
196,175.0,4,Too Upright,,12.07140050033507
197,171.0,4,Too Upright,,12.07140050033507
198,170.0,4,Too Upright,,12.07140050033507
199,167.0,4,Too Upright,,12.07140050033507
200,165.0,4,Too Upright,,12.07140050033507
201,165.0,4,Too Upright,,12.07140050033507
202,167.0,4,Too Upright,,12.07140050033507
203,166.0,4,Too Upright,,12.07140050033507
204,159.0,4,Good Depth,,12.07140050033507
205,160.0,4,Good Depth,,12.07140050033507
206,160.0,4,Good Depth,,12.07140050033507
207,160.0,4,Good Depth,,12.07140050033507
208,153.0,4,Good Depth,,12.07140050033507
209,149.0,4,Good Depth,,12.07140050033507
210,136.0,4,Good Depth,,12.07140050033507
211,122.0,4,Good Depth,,12.07140050033507
212,128.0,4,Good Depth,,12.07140050033507
213,128.0,4,Good Depth,,12.07140050033507
214,112.0,4,Good Depth,,12.07140050033507
215,115.0,4,Good Depth,,12.07140050033507
216,102.0,4,Good Depth,,12.07140050033507
217,103.0,4,Good Depth,,12.07140050033507
218,103.0,4,Good Depth,,12.07140050033507
219,104.0,4,Good Depth,,12.07140050033507
220,98.0,4,Good Depth,,12.07140050033507
221,84.0,4,Good Depth,,12.07140050033507
222,90.0,4,Good Depth,,12.07140050033507
223,72.0,4,Good Depth,,12.07140050033507
224,75.0,4,Good Depth,,12.07140050033507
225,75.0,4,Good Depth,,12.07140050033507
226,89.0,4,Good Depth,,12.07140050033507
227,87.0,4,Good Depth,,12.07140050033507
228,84.0,4,Good Depth,,12.07140050033507
229,81.0,4,Good Depth,,12.07140050033507
230,78.0,4,Good Depth,,12.07140050033507
231,77.0,4,Good Depth,,12.07140050033507
232,81.0,4,Good Depth,,12.07140050033507
233,76.0,4,Good Depth,,12.07140050033507
234,74.0,4,Good Depth,,12.07140050033507
235,73.0,4,Good Depth,,12.07140050033507
236,71.0,4,Good Depth,,12.07140050033507
237,71.0,4,Good Depth,,12.07140050033507
238,75.0,4,Good Depth,,12.07140050033507
239,76.0,4,Good Depth,,12.07140050033507
240,76.0,4,Good Depth,,12.07140050033507
241,74.0,4,Good Depth,,12.07140050033507
242,72.0,4,Good Depth,,12.07140050033507
243,72.0,4,Good Depth,,12.07140050033507
244,72.0,4,Good Depth,,12.07140050033507
245,74.0,4,Good Depth,,12.07140050033507
246,70.0,4,Good Depth,,12.07140050033507
247,70.0,4,Good Depth,,12.07140050033507
248,71.0,4,Good Depth,,12.07140050033507
249,70.0,4,Good Depth,,12.07140050033507
250,71.0,4,Good Depth,,12.07140050033507
251,72.0,4,Good Depth,,12.07140050033507
252,74.0,4,Good Depth,,12.07140050033507
253,75.0,4,Good Depth,,12.07140050033507
254,76.0,4,Good Depth,,12.07140050033507
255,76.0,4,Good Depth,,12.07140050033507
256,73.0,4,Good Depth,,12.07140050033507
257,75.0,4,Good Depth,,12.07140050033507
258,79.0,4,Good Depth,,12.07140050033507
259,82.0,4,Good Depth,,12.07140050033507
260,86.0,4,Good Depth,,12.07140050033507
