frame,angle,reps,feedback,sway,fps
0,174.0,0,Too Upright,,12.619583033647876
1,175.0,0,Too Upright,,12.619583033647876
2,174.0,0,Too Upright,,12.619583033647876
3,174.0,0,Too Upright,,12.619583033647876
4,173.0,0,Too Upright,,12.619583033647876
5,173.0,0,Too Upright,,12.619583033647876
6,171.0,0,Too Upright,,12.619583033647876
7,171.0,0,Too Upright,,12.619583033647876
8,171.0,0,Too Upright,,12.619583033647876
9,169.0,0,Too Upright,,12.619583033647876
10,170.0,0,Too Upright,5.0,12.619583033647876
11,172.0,0,Too Upright,7.0,12.619583033647876
12,169.0,0,Too Upright,7.0,12.619583033647876
13,169.0,0,Too Upright,10.0,12.619583033647876
14,172.0,0,Too Upright,10.0,12.619583033647876
15,171.0,0,Too Upright,11.0,12.619583033647876
16,172.0,0,Too Upright,13.0,12.619583033647876
17,171.0,0,Too Upright,13.0,12.619583033647876
18,170.0,0,Too Upright,13.0,12.619583033647876
19,171.0,0,Too Upright,14.0,12.619583033647876
20,171.0,0,Too Upright,14.0,12.619583033647876
21,171.0,0,Too Upright,17.0,12.619583033647876
22,168.0,0,Too Upright,11.0,12.619583033647876
23,168.0,0,Too Upright,11.0,12.619583033647876
24,170.0,0,Too Upright,7.0,12.619583033647876
25,167.0,0,Too Upright,5.0,12.619583033647876
26,167.0,0,Too Upright,8.0,12.619583033647876
27,167.0,0,Too Upright,11.0,12.619583033647876
28,171.0,0,Too Upright,11.0,12.619583033647876
29,171.0,0,Too Upright,11.0,12.619583033647876
30,173.0,0,Too Upright,11.0,12.619583033647876
31,169.0,0,Too Upright,13.0,12.619583033647876
32,170.0,0,Too Upright,15.0,12.619583033647876
33,170.0,0,Too Upright,21.0,12.619583033647876
34,169.0,0,Too Upright,27.0,12.619583033647876
35,171.0,0,Too Upright,27.0,12.619583033647876
36,173.0,0,Too Upright,27.0,12.619583033647876
37,173.0,0,Too Upright,21.0,12.619583033647876
38,172.0,0,Too Upright,19.0,12.619583033647876
39,171.0,0,Too Upright,18.0,12.619583033647876
40,174.0,0,Too Upright,19.0,12.619583033647876
41,173.0,0,Too Upright,17.0,12.619583033647876
42,173.0,0,Too Upright,11.0,12.619583033647876
43,173.0,0,Too Upright,10.0,12.619583033647876
44,173.0,0,Too Upright,10.0,12.619583033647876
45,173.0,0,Too Upright,10.0,12.619583033647876
46,172.0,0,Too Upright,10.0,12.619583033647876
47,173.0,0,Too Upright,10.0,12.619583033647876
48,172.0,0,Too Upright,10.0,12.619583033647876
49,171.0,0,Too Upright,10.0,12.619583033647876
50,170.0,0,Too Upright,6.0,12.619583033647876
51,171.0,0,Too Upright,6.0,12.619583033647876
52,170.0,0,Too Upright,6.0,12.619583033647876
53,168.0,0,Too Upright,7.0,12.619583033647876
54,167.0,0,Too Upright,8.0,12.619583033647876
55,167.0,0,Too Upright,10.0,12.619583033647876
56,167.0,0,Too Upright,12.0,12.619583033647876
57,167.0,0,Too Upright,14.0,12.619583033647876
58,168.0,0,Too Upright,13.0,12.619583033647876
59,167.0,0,Too Upright,13.0,12.619583033647876
60,167.0,0,Too Upright,15.0,12.619583033647876
61,168.0,0,Too Upright,16.0,12.619583033647876
62,169.0,0,Too Upright,15.0,12.619583033647876
63,169.0,0,Too Upright,14.0,12.619583033647876
64,169.0,0,Too Upright,12.0,12.619583033647876
65,169.0,0,Too Upright,10.0,12.619583033647876
66,168.0,0,Too Upright,8.0,12.619583033647876
67,168.0,0,Too Upright,6.0,12.619583033647876
68,168.0,0,Too Upright,5.0,12.619583033647876
69,169.0,0,Too Upright,4.0,12.619583033647876
70,168.0,0,Too Upright,4.0,12.619583033647876
71,169.0,0,Too Upright,4.0,12.619583033647876
72,170.0,0,Too Upright,4.0,12.619583033647876
73,172.0,0,Too Upright,3.0,12.619583033647876
74,172.0,0,Too Upright,3.0,12.619583033647876
75,172.0,0,Too Upright,4.0,12.619583033647876
76,173.0,0,Too Upright,5.0,12.619583033647876
77,173.0,0,Too Upright,6.0,12.619583033647876
78,172.0,0,Too Upright,6.0,12.619583033647876
79,173.0,0,Too Upright,6.0,12.619583033647876
80,172.0,0,Too Upright,5.0,12.619583033647876
81,173.0,0,Too Upright,5.0,12.619583033647876
82,173.0,0,Too Upright,5.0,12.619583033647876
83,173.0,0,Too Upright,5.0,12.619583033647876
84,173.0,0,Too Upright,5.0,12.619583033647876
85,172.0,0,Too Upright,5.0,12.619583033647876
86,172.0,0,Too Upright,8.0,12.619583033647876
87,170.0,0,Too Upright,11.0,12.619583033647876
88,169.0,0,Too Upright,13.0,12.619583033647876
89,169.0,0,Too Upright,13.0,12.619583033647876
90,167.0,0,Too Upright,13.0,12.619583033647876
91,169.0,0,Too Upright,13.0,12.619583033647876
92,169.0,0,Too Upright,13.0,12.619583033647876
93,167.0,0,Too Upright,13.0,12.619583033647876
94,167.0,0,Too Upright,13.0,12.619583033647876
95,167.0,0,Too Upright,13.0,12.619583033647876
96,168.0,0,Too Upright,13.0,12.619583033647876
97,170.0,0,Too Upright,13.0,12.619583033647876
98,170.0,0,Too Upright,11.0,12.619583033647876
99,170.0,0,Too Upright,23.0,12.619583033647876
100,170.0,0,Too Upright,26.0,12.619583033647876
101,170.0,0,Too Upright,26.0,12.619583033647876
102,169.0,0,Too Upright,26.0,12.619583033647876
103,169.0,0,Too Upright,20.0,12.619583033647876
104,172.0,0,Too Upright,20.0,12.619583033647876
105,169.0,0,Too Upright,20.0,12.619583033647876
106,170.0,0,Too Upright,20.0,12.619583033647876
107,169.0,0,Too Upright,16.0,12.619583033647876
108,169.0,0,Too Upright,12.0,12.619583033647876
109,169.0,0,Too Upright,12.0,12.619583033647876
110,171.0,0,Too Upright,12.0,12.619583033647876
111,167.0,0,Too Upright,11.0,12.619583033647876
112,167.0,0,Too Upright,11.0,12.619583033647876
113,168.0,0,Too Upright,14.0,12.619583033647876
114,167.0,0,Too Upright,10.0,12.619583033647876
115,167.0,0,Too Upright,7.0,12.619583033647876
116,170.0,0,Too Upright,7.0,12.619583033647876
117,169.0,0,Too Upright,10.0,12.619583033647876
118,170.0,0,Too Upright,10.0,12.619583033647876
119,170.0,0,Too Upright,11.0,12.619583033647876
120,170.0,0,Too Upright,11.0,12.619583033647876
121,170.0,0,Too Upright,10.0,12.619583033647876
122,169.0,0,Too Upright,8.0,12.619583033647876
123,169.0,0,Too Upright,8.0,12.619583033647876
124,169.0,0,Too Upright,8.0,12.619583033647876
125,167.0,0,Too Upright,7.0,12.619583033647876
126,166.0,0,Too Upright,8.0,12.619583033647876
127,166.0,0,Too Upright,9.0,12.619583033647876
128,166.0,0,Too Upright,10.0,12.619583033647876
129,166.0,0,Too Upright,10.0,12.619583033647876
130,166.0,0,Too Upright,10.0,12.619583033647876
131,165.0,0,Too Upright,8.0,12.619583033647876
132,166.0,0,Too Upright,7.0,12.619583033647876
133,168.0,0,Too Upright,5.0,12.619583033647876
134,170.0,0,Too Upright,5.0,12.619583033647876
135,167.0,0,Too Upright,4.0,12.619583033647876
136,166.0,0,Too Upright,3.0,12.619583033647876
137,166.0,0,Too Upright,2.0,12.619583033647876
138,165.0,0,Too Upright,2.0,12.619583033647876
139,162.0,0,Too Upright,1.0,12.619583033647876
140,159.0,0,Good Depth,1.0,12.619583033647876
141,158.0,0,Good Depth,0.0,12.619583033647876
142,159.0,0,Good Depth,0.0,12.619583033647876
143,157.0,0,Good Depth,1.0,12.619583033647876
144,155.0,0,Good Depth,7.0,12.619583033647876
145,151.0,0,Good Depth,7.0,12.619583033647876
146,148.0,0,Good Depth,8.0,12.619583033647876
147,144.0,0,Good Depth,12.0,12.619583033647876
148,141.0,0,Good Depth,16.0,12.619583033647876
149,140.0,0,Good Depth,17.0,12.619583033647876
150,137.0,0,Good Depth,17.0,12.619583033647876
151,135.0,0,Good Depth,17.0,12.619583033647876
152,130.0,0,Good Depth,20.0,12.619583033647876
153,127.0,0,Good Depth,22.0,12.619583033647876
154,125.0,0,Good Depth,22.0,12.619583033647876
155,124.0,0,Good Depth,22.0,12.619583033647876
156,119.0,0,Good Depth,10.0,12.619583033647876
157,119.0,0,Good Depth,7.0,12.619583033647876
158,121.0,0,Good Depth,13.0,12.619583033647876
159,118.0,0,Good Depth,14.0,12.619583033647876
160,115.0,0,Good Depth,13.0,12.619583033647876
161,111.0,0,Good Depth,12.0,12.619583033647876
162,109.0,0,Good Depth,19.0,12.619583033647876
163,109.0,0,Good Depth,19.0,12.619583033647876
164,110.0,0,Good Depth,19.0,12.619583033647876
165,108.0,0,Good Depth,19.0,12.619583033647876
166,109.0,0,Good Depth,15.0,12.619583033647876
167,109.0,0,Good Depth,15.0,12.619583033647876
168,108.0,0,Good Depth,11.0,12.619583033647876
169,107.0,0,Good Depth,11.0,12.619583033647876
170,104.0,0,Good Depth,12.0,12.619583033647876
171,102.0,0,Good Depth,12.0,12.619583033647876
172,100.0,0,Good Depth,8.0,12.619583033647876
173,103.0,0,Good Depth,8.0,12.619583033647876
174,103.0,0,Good Depth,8.0,12.619583033647876
175,103.0,0,Good Depth,7.0,12.619583033647876
176,103.0,0,Good Depth,7.0,12.619583033647876
