frame,angle,reps,feedback,sway,fps
0,174,0,Too Upright,,12.160193584761908
1,174,0,Too Upright,,12.160193584761908
2,173,0,Too Upright,,12.160193584761908
3,174,0,Too Upright,,12.160193584761908
4,174,0,Too Upright,,12.160193584761908
5,174,0,Too Upright,,12.160193584761908
6,174,0,Too Upright,,12.160193584761908
7,172,0,Too Upright,,12.160193584761908
8,172,0,Too Upright,,12.160193584761908
9,173,0,Too Upright,,12.160193584761908
10,173,0,Too Upright,5.0,12.160193584761908
11,172,0,Too Upright,7.0,12.160193584761908
12,173,0,Too Upright,7.0,12.160193584761908
13,172,0,Too Upright,10.0,12.160193584761908
14,173,0,Too Upright,10.0,12.160193584761908
15,174,0,Too Upright,11.0,12.160193584761908
16,175,0,Too Upright,13.0,12.160193584761908
17,175,0,Too Upright,13.0,12.160193584761908
18,174,0,Too Upright,13.0,12.160193584761908
19,172,0,Too Upright,14.0,12.160193584761908
20,173,0,Too Upright,14.0,12.160193584761908
21,173,0,Too Upright,17.0,12.160193584761908
22,172,0,Too Upright,11.0,12.160193584761908
23,172,0,Too Upright,11.0,12.160193584761908
24,173,0,Too Upright,7.0,12.160193584761908
25,173,0,Too Upright,5.0,12.160193584761908
26,174,0,Too Upright,8.0,12.160193584761908
27,174,0,Too Upright,11.0,12.160193584761908
28,175,0,Too Upright,11.0,12.160193584761908
29,175,0,Too Upright,11.0,12.160193584761908
30,173,0,Too Upright,11.0,12.160193584761908
31,173,0,Too Upright,13.0,12.160193584761908
32,173,0,Too Upright,15.0,12.160193584761908
33,175,0,Too Upright,21.0,12.160193584761908
34,175,0,Too Upright,27.0,12.160193584761908
35,174,0,Too Upright,27.0,12.160193584761908
36,174,0,Too Upright,27.0,12.160193584761908
37,173,0,Too Upright,21.0,12.160193584761908
38,172,0,Too Upright,19.0,12.160193584761908
39,172,0,Too Upright,18.0,12.160193584761908
40,172,0,Too Upright,19.0,12.160193584761908
41,172,0,Too Upright,17.0,12.160193584761908
42,172,0,Too Upright,11.0,12.160193584761908
43,171,0,Too Upright,10.0,12.160193584761908
44,172,0,Too Upright,10.0,12.160193584761908
45,172,0,Too Upright,10.0,12.160193584761908
46,171,0,Too Upright,10.0,12.160193584761908
47,172,0,Too Upright,10.0,12.160193584761908
48,173,0,Too Upright,10.0,12.160193584761908
49,173,0,Too Upright,10.0,12.160193584761908
50,173,0,Too Upright,6.0,12.160193584761908
51,172,0,Too Upright,6.0,12.160193584761908
52,173,0,Too Upright,6.0,12.160193584761908
53,172,0,Too Upright,7.0,12.160193584761908
54,171,0,Too Upright,8.0,12.160193584761908
55,171,0,Too Upright,10.0,12.160193584761908
56,171,0,Too Upright,12.0,12.160193584761908
57,172,0,Too Upright,14.0,12.160193584761908
58,172,0,Too Upright,13.0,12.160193584761908
59,172,0,Too Upright,13.0,12.160193584761908
60,172,0,Too Upright,15.0,12.160193584761908
61,173,0,Too Upright,16.0,12.160193584761908
62,174,0,Too Upright,15.0,12.160193584761908
63,174,0,Too Upright,14.0,12.160193584761908
64,174,0,Too Upright,12.0,12.160193584761908
65,173,0,Too Upright,10.0,12.160193584761908
66,173,0,Too Upright,8.0,12.160193584761908
67,173,0,Too Upright,6.0,12.160193584761908
68,173,0,Too Upright,5.0,12.160193584761908
69,175,0,Too Upright,4.0,12.160193584761908
70,175,0,Too Upright,4.0,12.160193584761908
71,174,0,Too Upright,4.0,12.160193584761908
72,174,0,Too Upright,4.0,12.160193584761908
73,174,0,Too Upright,3.0,12.160193584761908
74,173,0,Too Upright,3.0,12.160193584761908
