frame,angle,reps,feedback,sway,fps
0,165.0,0,Too Upright,,12.395159843510445
1,,0,Too Upright,,12.395159843510445
2,,0,Too Upright,,12.395159843510445
3,165.0,0,Too Upright,,12.395159843510445
4,164.0,0,Too Upright,,12.395159843510445
5,161.0,0,Too Upright,,12.395159843510445
6,164.0,0,Too Upright,,12.395159843510445
7,165.0,0,Too Upright,,12.395159843510445
8,164.0,0,Too Upright,,12.395159843510445
9,165.0,0,Too Upright,,12.395159843510445
10,168.0,0,Too Upright,,12.395159843510445
11,167.0,0,Too Upright,,12.395159843510445
12,167.0,0,Too Upright,,12.395159843510445
13,167.0,0,Too Upright,,12.395159843510445
14,167.0,0,Too Upright,,12.395159843510445
15,167.0,0,Too Upright,,12.395159843510445
16,166.0,0,Too Upright,,12.395159843510445
17,166.0,0,Too Upright,,12.395159843510445
18,167.0,0,Too Upright,,12.395159843510445
19,164.0,0,Too Upright,,12.395159843510445
20,163.0,0,Too Upright,,12.395159843510445
21,163.0,0,Too Upright,,12.395159843510445
22,162.0,0,Too Upright,,12.395159843510445
23,162.0,0,Too Upright,,12.395159843510445
24,159.0,0,Good Depth,,12.395159843510445
25,161.0,0,Too Upright,,12.395159843510445
26,167.0,0,Too Upright,,12.395159843510445
27,,0,Too Upright,,12.395159843510445
28,,0,Too Upright,,12.395159843510445
29,,0,Too Upright,,12.395159843510445
30,,0,Too Upright,,12.395159843510445
31,161.0,0,Too Upright,,12.395159843510445
32,160.0,0,Good Depth,,12.395159843510445
33,159.0,0,Good Depth,,12.395159843510445
34,162.0,0,Too Upright,,12.395159843510445
35,162.0,0,Too Upright,,12.395159843510445
36,162.0,0,Too Upright,,12.395159843510445
37,164.0,0,Too Upright,,12.395159843510445
38,160.0,0,Good Depth,,12.395159843510445
39,160.0,0,Good Depth,,12.395159843510445
40,164.0,0,Too Upright,,12.395159843510445
41,162.0,0,Too Upright,,12.395159843510445
42,162.0,0,Too Upright,,12.395159843510445
43,163.0,0,Too Upright,,12.395159843510445
44,164.0,0,Too Upright,,12.395159843510445
45,165.0,0,Too Upright,,12.395159843510445
46,163.0,0,Too Upright,,12.395159843510445
47,166.0,0,Too Upright,,12.395159843510445
48,165.0,0,Too Upright,,12.395159843510445
49,166.0,0,Too Upright,,12.395159843510445
50,166.0,0,Too Upright,,12.395159843510445
51,166.0,0,Too Upright,,12.395159843510445
52,,0,Too Upright,,12.395159843510445
53,165.0,0,Too Upright,,12.395159843510445
54,163.0,0,Too Upright,,12.395159843510445
55,159.0,0,Good Depth,,12.395159843510445
56,157.0,0,Good Depth,6.0,12.395159843510445
57,151.0,0,Good Depth,6.0,12.395159843510445
58,153.0,0,Good Depth,7.0,12.395159843510445
59,136.0,0,Good Depth,6.0,12.395159843510445
60,145.0,0,Good Depth,6.0,12.395159843510445
61,144.0,0,Good Depth,6.0,12.395159843510445
62,142.0,0,Good Depth,7.0,12.395159843510445
63,140.0,0,Good Depth,7.0,12.395159843510445
64,135.0,0,Good Depth,7.0,12.395159843510445
65,135.0,0,Good Depth,7.0,12.395159843510445
66,132.0,0,Good Depth,7.0,12.395159843510445
67,126.0,0,Good Depth,7.0,12.395159843510445
68,124.0,0,Good Depth,7.0,12.395159843510445
69,119.0,0,Good Depth,7.0,12.395159843510445
70,117.0,0,Good Depth,7.0,12.395159843510445
71,115.0,0,Good Depth,7.0,12.395159843510445
72,116.0,0,Good Depth,7.0,12.395159843510445
73,113.0,0,Good Depth,7.0,12.395159843510445
74,110.0,0,Good Depth,7.0,12.395159843510445
75,108.0,0,Good Depth,7.0,12.395159843510445
76,108.0,0,Good Depth,7.0,12.395159843510445
77,104.0,0,Good Depth,7.0,12.395159843510445
78,106.0,0,Good Depth,7.0,12.395159843510445
79,104.0,0,Good Depth,7.0,12.395159843510445
80,101.0,0,Good Depth,7.0,12.395159843510445
81,100.0,0,Good Depth,7.0,12.395159843510445
82,99.0,0,Good Depth,7.0,12.395159843510445
83,97.0,0,Good Depth,7.0,12.395159843510445
84,95.0,0,Good Depth,7.0,12.395159843510445
85,94.0,0,Good Depth,7.0,12.395159843510445
86,93.0,0,Good Depth,7.0,12.395159843510445
87,92.0,0,Good Depth,7.0,12.395159843510445
88,90.0,0,Good Depth,7.0,12.395159843510445
89,90.0,0,Good Depth,7.0,12.395159843510445
90,89.0,0,Good Depth,7.0,12.395159843510445
91,89.0,0,Good Depth,7.0,12.395159843510445
92,88.0,0,Good Depth,7.0,12.395159843510445
93,90.0,0,Good Depth,7.0,12.395159843510445
94,88.0,0,Good Depth,7.0,12.395159843510445
95,89.0,0,Good Depth,7.0,12.395159843510445
96,87.0,0,Good Depth,7.0,12.395159843510445
97,86.0,0,Good Depth,7.0,12.395159843510445
98,85.0,0,Good Depth,7.0,12.395159843510445
99,84.0,0,Good Depth,7.0,12.395159843510445
100,82.0,0,Good Depth,7.0,12.395159843510445
101,83.0,0,Good Depth,7.0,12.395159843510445
102,81.0,0,Good Depth,7.0,12.395159843510445
103,83.0,0,Good Depth,7.0,12.395159843510445
104,81.0,0,Good Depth,7.0,12.395159843510445
105,82.0,0,Good Depth,7.0,12.395159843510445
106,80.0,0,Good Depth,7.0,12.395159843510445
107,79.0,0,Good Depth,7.0,12.395159843510445
108,78.0,0,Good Depth,7.0,12.395159843510445
109,76.0,0,Good Depth,7.0,12.395159843510445
110,78.0,0,Good Depth,7.0,12.395159843510445
111,,0,Good Depth,7.0,12.395159843510445
112,170.0,1,Too Upright,7.0,12.395159843510445
113,,1,Too Upright,7.0,12.395159843510445
114,66.0,1,Good Depth,7.0,12.395159843510445
115,66.0,1,Good Depth,7.0,12.395159843510445
116,,1,Good Depth,7.0,12.395159843510445
117,,1,Good Depth,7.0,12.395159843510445
118,,1,Good Depth,7.0,12.395159843510445
119,67.0,1,Good Depth,7.0,12.395159843510445
120,63.0,1,Good Depth,7.0,12.395159843510445
121,65.0,1,Good Depth,7.0,12.395159843510445
122,,1,Good Depth,7.0,12.395159843510445
123,162.0,2,Too Upright,7.0,12.395159843510445
124,,2,Too Upright,7.0,12.395159843510445
125,,2,Too Upright,7.0,12.395159843510445
126,,2,Too Upright,7.0,12.395159843510445
127,,2,Too Upright,7.0,12.395159843510445
128,,2,Too Upright,7.0,12.395159843510445
129,,2,Too Upright,7.0,12.395159843510445
130,,2,Too Upright,7.0,12.395159843510445
131,59.0,2,Too Deep!,7.0,12.395159843510445
132,61.0,2,Good Depth,7.0,12.395159843510445
133,61.0,2,Good Depth,7.0,12.395159843510445
134,59.0,2,Too Deep!,7.0,12.395159843510445
135,59.0,2,Too Deep!,7.0,12.395159843510445
136,60.0,2,Good Depth,7.0,12.395159843510445
137,60.0,2,Good Depth,7.0,12.395159843510445
138,62.0,2,Good Depth,7.0,12.395159843510445
139,61.0,2,Good Depth,7.0,12.395159843510445
140,63.0,2,Good Depth,7.0,12.395159843510445
141,62.0,2,Good Depth,7.0,12.395159843510445
142,62.0,2,Good Depth,7.0,12.395159843510445
143,64.0,2,Good Depth,7.0,12.395159843510445
144,66.0,2,Good Depth,7.0,12.395159843510445
145,68.0,2,Good Depth,7.0,12.395159843510445
146,73.0,2,Good Depth,7.0,12.395159843510445
147,71.0,2,Good Depth,7.0,12.395159843510445
148,74.0,2,Good Depth,7.0,12.395159843510445
149,77.0,2,Good Depth,7.0,12.395159843510445
150,77.0,2,Good Depth,7.0,12.395159843510445
151,80.0,2,Good Depth,7.0,12.395159843510445
152,83.0,2,Good Depth,7.0,12.395159843510445
153,85.0,2,Good Depth,7.0,12.395159843510445
154,88.0,2,Good Depth,7.0,12.395159843510445
155,88.0,2,Good Depth,7.0,12.395159843510445
156,92.0,2,Good Depth,7.0,12.395159843510445
157,96.0,2,Good Depth,7.0,12.395159843510445
158,97.0,2,Good Depth,7.0,12.395159843510445
159,99.0,2,Good Depth,7.0,12.395159843510445
160,103.0,2,Good Depth,7.0,12.395159843510445
161,110.0,2,Good Depth,7.0,12.395159843510445
162,112.0,2,Good Depth,7.0,12.395159843510445
163,112.0,2,Good Depth,7.0,12.395159843510445
164,117.0,2,Good Depth,16.0,12.395159843510445
165,121.0,2,Good Depth,16.0,12.395159843510445
166,125.0,2,Good Depth,16.0,12.395159843510445
167,131.0,2,Good Depth,16.0,12.395159843510445
168,134.0,2,Good Depth,16.0,12.395159843510445
169,,2,Good Depth,16.0,12.395159843510445
170,141.0,2,Good Depth,16.0,12.395159843510445
171,148.0,2,Good Depth,36.0,12.395159843510445
172,157.0,2,Good Depth,37.0,12.395159843510445
173,160.0,2,Good Depth,38.0,12.395159843510445
174,163.0,3,Too Upright,38.0,12.395159843510445
175,165.0,3,Too Upright,38.0,12.395159843510445
176,168.0,3,Too Upright,38.0,12.395159843510445
177,165.0,3,Too Upright,38.0,12.395159843510445
178,164.0,3,Too Upright,38.0,12.395159843510445
179,163.0,3,Too Upright,38.0,12.395159843510445
180,162.0,3,Too Upright,38.0,12.395159843510445
181,160.0,3,Good Depth,38.0,12.395159843510445
182,160.0,3,Good Depth,34.0,12.395159843510445
183,159.0,3,Good Depth,7.0,12.395159843510445
184,156.0,3,Good Depth,8.0,12.395159843510445
185,160.0,3,Good Depth,9.0,12.395159843510445
186,169.0,3,Too Upright,10.0,12.395159843510445
