frame,angle,reps,feedback,sway,fps
0,174,0,Too Upright,,11.500561149243454
1,177,0,Too Upright,,11.500561149243454
2,176,0,Too Upright,,11.500561149243454
3,176,0,Too Upright,,11.500561149243454
4,172,0,Too Upright,,11.500561149243454
5,172,0,Too Upright,,11.500561149243454
6,173,0,Too Upright,,11.500561149243454
7,172,0,Too Upright,,11.500561149243454
8,175,0,Too Upright,,11.500561149243454
9,178,0,Too Upright,,11.500561149243454
10,173,0,Too Upright,,11.500561149243454
11,176,0,Too Upright,,11.500561149243454
12,176,0,Too Upright,,11.500561149243454
13,176,0,Too Upright,,11.500561149243454
14,177,0,Too Upright,,11.500561149243454
15,163,0,Too Upright,,11.500561149243454
16,176,0,Too Upright,,11.500561149243454
17,165,0,Too Upright,,11.500561149243454
18,174,0,Too Upright,,11.500561149243454
19,173,0,Too Upright,,11.500561149243454
20,174,0,Too Upright,,11.500561149243454
21,174,0,Too Upright,,11.500561149243454
22,174,0,Too Upright,,11.500561149243454
23,173,0,Too Upright,,11.500561149243454
24,173,0,Too Upright,,11.500561149243454
25,172,0,Too Upright,,11.500561149243454
26,174,0,Too Upright,,11.500561149243454
27,173,0,Too Upright,,11.500561149243454
28,173,0,Too Upright,,11.500561149243454
29,173,0,Too Upright,,11.500561149243454
30,173,0,Too Upright,,11.500561149243454
31,172,0,Too Upright,,11.500561149243454
32,172,0,Too Upright,,11.500561149243454
33,171,0,Too Upright,,11.500561149243454
34,171,0,Too Upright,,11.500561149243454
35,171,0,Too Upright,,11.500561149243454
36,173,0,Too Upright,,11.500561149243454
37,172,0,Too Upright,,11.500561149243454
38,172,0,Too Upright,,11.500561149243454
39,173,0,Too Upright,,11.500561149243454
40,171,0,Too Upright,,11.500561149243454
41,171,0,Too Upright,,11.500561149243454
42,173,0,Too Upright,,11.500561149243454
43,173,0,Too Upright,,11.500561149243454
44,179,0,Too Upright,,11.500561149243454
45,178,0,Too Upright,,11.500561149243454
46,172,0,Too Upright,,11.500561149243454
47,171,0,Too Upright,,11.500561149243454
48,171,0,Too Upright,,11.500561149243454
49,171,0,Too Upright,,11.500561149243454
50,171,0,Too Upright,,11.500561149243454
51,171,0,Too Upright,,11.500561149243454
52,171,0,Too Upright,,11.500561149243454
53,171,0,Too Upright,,11.500561149243454
54,170,0,Too Upright,,11.500561149243454
55,168,0,Too Upright,,11.500561149243454
56,163,0,Too Upright,6.0,11.500561149243454
57,163,0,Too Upright,6.0,11.500561149243454
58,160,0,Good Depth,7.0,11.500561149243454
59,157,0,Good Depth,6.0,11.500561149243454
60,162,0,Too Upright,6.0,11.500561149243454
61,165,0,Too Upright,6.0,11.500561149243454
62,165,0,Too Upright,7.0,11.500561149243454
63,170,0,Too Upright,7.0,11.500561149243454
64,170,0,Too Upright,7.0,11.500561149243454
65,136,0,Good Depth,7.0,11.500561149243454
66,169,0,Too Upright,7.0,11.500561149243454
67,132,0,Good Depth,7.0,11.500561149243454
68,133,0,Good Depth,7.0,11.500561149243454
69,132,0,Good Depth,7.0,11.500561149243454
70,130,0,Good Depth,7.0,11.500561149243454
71,132,0,Good Depth,7.0,11.500561149243454
72,131,0,Good Depth,7.0,11.500561149243454
73,125,0,Good Depth,7.0,11.500561149243454
74,124,0,Good Depth,7.0,11.500561149243454
