frame,angle,reps,feedback,sway,fps
0,174.0,0,Too Upright,,13.039402434623828
1,175.0,0,Too Upright,,13.039402434623828
2,173.0,0,Too Upright,,13.039402434623828
3,174.0,0,Too Upright,,13.039402434623828
4,166.0,0,Too Upright,,13.039402434623828
5,169.0,0,Too Upright,,13.039402434623828
6,,0,Too Upright,,13.039402434623828
7,,0,Too Upright,,13.039402434623828
8,,0,Too Upright,,13.039402434623828
9,,0,Too Upright,,13.039402434623828
10,,0,Too Upright,11.0,13.039402434623828
11,,0,Too Upright,14.0,13.039402434623828
12,,0,Too Upright,14.0,13.039402434623828
13,169.0,0,Too Upright,14.0,13.039402434623828
14,,0,Too Upright,14.0,13.039402434623828
15,,0,Too Upright,14.0,13.039402434623828
16,,0,Too Upright,14.0,13.039402434623828
17,,0,Too Upright,14.0,13.039402434623828
18,,0,Too Upright,14.0,13.039402434623828
19,160.0,0,Good Depth,14.0,13.039402434623828
20,159.0,0,Good Depth,29.0,13.039402434623828
21,159.0,0,Good Depth,29.0,13.039402434623828
22,156.0,0,Good Depth,29.0,13.039402434623828
23,149.0,0,Good Depth,29.0,13.039402434623828
24,146.0,0,Good Depth,29.0,13.039402434623828
25,137.0,0,Good Depth,29.0,13.039402434623828
26,135.0,0,Good Depth,34.0,13.039402434623828
27,135.0,0,Good Depth,30.0,13.039402434623828
28,130.0,0,Good Depth,30.0,13.039402434623828
29,126.0,0,Good Depth,30.0,13.039402434623828
30,125.0,0,Good Depth,30.0,13.039402434623828
31,123.0,0,Good Depth,39.0,13.039402434623828
32,120.0,0,Good Depth,39.0,13.039402434623828
33,120.0,0,Good Depth,41.0,13.039402434623828
34,120.0,0,Good Depth,41.0,13.039402434623828
35,118.0,0,Good Depth,41.0,13.039402434623828
36,115.0,0,Good Depth,44.0,13.039402434623828
37,112.0,0,Good Depth,44.0,13.039402434623828
38,110.0,0,Good Depth,44.0,13.039402434623828
39,110.0,0,Good Depth,44.0,13.039402434623828
40,112.0,0,Good Depth,38.0,13.039402434623828
41,112.0,0,Good Depth,38.0,13.039402434623828
42,106.0,0,Good Depth,23.0,13.039402434623828
43,113.0,0,Good Depth,23.0,13.039402434623828
44,101.0,0,Good Depth,23.0,13.039402434623828
45,102.0,0,Good Depth,23.0,13.039402434623828
46,,0,Good Depth,23.0,13.039402434623828
47,102.0,0,Good Depth,18.0,13.039402434623828
48,107.0,0,Good Depth,17.0,13.039402434623828
49,,0,Good Depth,8.0,13.039402434623828
50,,0,Good Depth,6.0,13.039402434623828
51,,0,Good Depth,4.0,13.039402434623828
52,114.0,0,Good Depth,4.0,13.039402434623828
53,,0,Good Depth,2.0,13.039402434623828
54,112.0,0,Good Depth,2.0,13.039402434623828
55,106.0,0,Good Depth,2.0,13.039402434623828
56,,0,Good Depth,2.0,13.039402434623828
57,,0,Good Depth,2.0,13.039402434623828
58,106.0,0,Good Depth,2.0,13.039402434623828
59,103.0,0,Good Depth,2.0,13.039402434623828
60,103.0,0,Good Depth,2.0,13.039402434623828
61,106.0,0,Good Depth,2.0,13.039402434623828
62,104.0,0,Good Depth,2.0,13.039402434623828
63,104.0,0,Good Depth,2.0,13.039402434623828
64,106.0,0,Good Depth,2.0,13.039402434623828
65,105.0,0,Good Depth,2.0,13.039402434623828
66,104.0,0,Good Depth,2.0,13.039402434623828
67,103.0,0,Good Depth,2.0,13.039402434623828
68,103.0,0,Good Depth,2.0,13.039402434623828
69,103.0,0,Good Depth,2.0,13.039402434623828
70,102.0,0,Good Depth,2.0,13.039402434623828
71,105.0,0,Good Depth,2.0,13.039402434623828
72,105.0,0,Good Depth,2.0,13.039402434623828
73,,0,Good Depth,2.0,13.039402434623828
74,,0,Good Depth,2.0,13.039402434623828
75,,0,Good Depth,2.0,13.039402434623828
76,,0,Good Depth,2.0,13.039402434623828
77,,0,Good Depth,2.0,13.039402434623828
78,,0,Good Depth,2.0,13.039402434623828
79,,0,Good Depth,2.0,13.039402434623828
80,105.0,0,Good Depth,2.0,13.039402434623828
81,105.0,0,Good Depth,2.0,13.039402434623828
82,106.0,0,Good Depth,2.0,13.039402434623828
83,108.0,0,Good Depth,9.0,13.039402434623828
84,103.0,0,Good Depth,9.0,13.039402434623828
85,109.0,0,Good Depth,9.0,13.039402434623828
86,107.0,0,Good Depth,9.0,13.039402434623828
87,107.0,0,Good Depth,9.0,13.039402434623828
88,110.0,0,Good Depth,9.0,13.039402434623828
89,111.0,0,Good Depth,11.0,13.039402434623828
90,116.0,0,Good Depth,12.0,13.039402434623828
91,129.0,0,Good Depth,12.0,13.039402434623828
92,128.0,0,Good Depth,12.0,13.039402434623828
93,129.0,0,Good Depth,12.0,13.039402434623828
94,138.0,0,Good Depth,22.0,13.039402434623828
95,148.0,0,Good Depth,22.0,13.039402434623828
96,159.0,0,Good Depth,24.0,13.039402434623828
97,158.0,0,Good Depth,28.0,13.039402434623828
98,157.0,0,Good Depth,30.0,13.039402434623828
99,157.0,0,Good Depth,30.0,13.039402434623828
100,157.0,0,Good Depth,25.0,13.039402434623828
101,157.0,0,Good Depth,23.0,13.039402434623828
102,166.0,0,Too Upright,23.0,13.039402434623828
103,171.0,0,Too Upright,23.0,13.039402434623828
104,,0,Too Upright,23.0,13.039402434623828
105,170.0,0,Too Upright,23.0,13.039402434623828
106,173.0,0,Too Upright,23.0,13.039402434623828
107,171.0,0,Too Upright,23.0,13.039402434623828
108,164.0,0,Too Upright,23.0,13.039402434623828
109,158.0,0,Good Depth,23.0,13.039402434623828
110,,0,Good Depth,23.0,13.039402434623828
111,,0,Good Depth,23.0,13.039402434623828
112,,0,Good Depth,23.0,13.039402434623828
113,160.0,0,Good Depth,23.0,13.039402434623828
114,161.0,0,Too Upright,23.0,13.039402434623828
115,,0,Too Upright,23.0,13.039402434623828
116,,0,Too Upright,23.0,13.039402434623828
117,,0,Too Upright,23.0,13.039402434623828
118,,0,Too Upright,23.0,13.039402434623828
119,,0,Too Upright,23.0,13.039402434623828
120,,0,Too Upright,23.0,13.039402434623828
121,,0,Too Upright,21.0,13.039402434623828
122,,0,Too Upright,20.0,13.039402434623828
123,,0,Too Upright,10.0,13.039402434623828
124,,0,Too Upright,8.0,13.039402434623828
125,,0,Too Upright,4.0,13.039402434623828
126,,0,Too Upright,4.0,13.039402434623828
127,,0,Too Upright,4.0,13.039402434623828
128,,0,Too Upright,4.0,13.039402434623828
129,179.0,0,Too Upright,4.0,13.039402434623828
130,,0,Too Upright,4.0,13.039402434623828
131,,0,Too Upright,4.0,13.039402434623828
132,,0,Too Upright,4.0,13.039402434623828
133,,0,Too Upright,3.0,13.039402434623828
134,,0,Too Upright,3.0,13.039402434623828
135,,0,Too Upright,3.0,13.039402434623828
136,,0,Too Upright,3.0,13.039402434623828
137,159.0,0,Good Depth,1.0,13.039402434623828
138,,0,Good Depth,1.0,13.039402434623828
139,,0,Good Depth,1.0,13.039402434623828
140,153.0,0,Good Depth,2.0,13.039402434623828
141,154.0,0,Good Depth,2.0,13.039402434623828
142,150.0,0,Good Depth,2.0,13.039402434623828
143,144.0,0,Good Depth,2.0,13.039402434623828
144,140.0,0,Good Depth,2.0,13.039402434623828
145,132.0,0,Good Depth,2.0,13.039402434623828
146,129.0,0,Good Depth,2.0,13.039402434623828
147,129.0,0,Good Depth,2.0,13.039402434623828
148,125.0,0,Good Depth,4.0,13.039402434623828
149,120.0,0,Good Depth,7.0,13.039402434623828
150,117.0,0,Good Depth,7.0,13.039402434623828
151,115.0,0,Good Depth,11.0,13.039402434623828
152,109.0,0,Good Depth,13.0,13.039402434623828
153,109.0,0,Good Depth,13.0,13.039402434623828
154,107.0,0,Good Depth,13.0,13.039402434623828
155,110.0,0,Good Depth,13.0,13.039402434623828
156,107.0,0,Good Depth,15.0,13.039402434623828
157,109.0,0,Good Depth,14.0,13.039402434623828
158,102.0,0,Good Depth,12.0,13.039402434623828
159,102.0,0,Good Depth,9.0,13.039402434623828
160,98.0,0,Good Depth,8.0,13.039402434623828
161,89.0,0,Good Depth,9.0,13.039402434623828
162,92.0,0,Good Depth,9.0,13.039402434623828
163,98.0,0,Good Depth,10.0,13.039402434623828
164,98.0,0,Good Depth,10.0,13.039402434623828
165,98.0,0,Good Depth,6.0,13.039402434623828
166,95.0,0,Good Depth,7.0,13.039402434623828
167,97.0,0,Good Depth,7.0,13.039402434623828
168,98.0,0,Good Depth,7.0,13.039402434623828
169,97.0,0,Good Depth,4.0,13.039402434623828
170,99.0,0,Good Depth,5.0,13.039402434623828
171,99.0,0,Good Depth,5.0,13.039402434623828
172,100.0,0,Good Depth,5.0,13.039402434623828
173,95.0,0,Good Depth,5.0,13.039402434623828
174,102.0,0,Good Depth,5.0,13.039402434623828
175,101.0,0,Good Depth,5.0,13.039402434623828
176,99.0,0,Good Depth,12.0,13.039402434623828
177,98.0,0,Good Depth,12.0,13.039402434623828
178,,0,Good Depth,12.0,13.039402434623828
179,,0,Good Depth,9.0,13.039402434623828
180,,0,Good Depth,9.0,13.039402434623828
181,,0,Good Depth,9.0,13.039402434623828
182,,0,Good Depth,9.0,13.039402434623828
183,,0,Good Depth,9.0,13.039402434623828
184,,0,Good Depth,9.0,13.039402434623828
185,,0,Good Depth,9.0,13.039402434623828
186,,0,Good Depth,9.0,13.039402434623828
187,,0,Good Depth,9.0,13.039402434623828
188,,0,Good Depth,9.0,13.039402434623828
189,,0,Good Depth,9.0,13.039402434623828
190,,0,Good Depth,9.0,13.039402434623828
