frame,angle,reps,feedback,sway,fps
0,169,0,Too Upright,,12.104899629746985
1,169,0,Too Upright,,12.104899629746985
2,169,0,Too Upright,,12.104899629746985
3,169,0,Too Upright,,12.104899629746985
4,170,0,Too Upright,,12.104899629746985
5,173,0,Too Upright,,12.104899629746985
6,173,0,Too Upright,,12.104899629746985
7,172,0,Too Upright,,12.104899629746985
8,168,0,Too Upright,,12.104899629746985
9,168,0,Too Upright,,12.104899629746985
10,165,0,Too Upright,11.0,12.104899629746985
11,165,0,Too Upright,14.0,12.104899629746985
12,161,0,Too Upright,14.0,12.104899629746985
13,159,0,Good Depth,14.0,12.104899629746985
14,156,0,Good Depth,14.0,12.104899629746985
15,156,0,Good Depth,14.0,12.104899629746985
16,150,0,Good Depth,14.0,12.104899629746985
17,152,0,Good Depth,14.0,12.104899629746985
18,145,0,Good Depth,14.0,12.104899629746985
19,146,0,Good Depth,14.0,12.104899629746985
20,143,0,Good Depth,29.0,12.104899629746985
21,143,0,Good Depth,29.0,12.104899629746985
22,139,0,Good Depth,29.0,12.104899629746985
23,135,0,Good Depth,29.0,12.104899629746985
24,131,0,Good Depth,29.0,12.104899629746985
25,128,0,Good Depth,29.0,12.104899629746985
26,127,0,Good Depth,34.0,12.104899629746985
27,127,0,Good Depth,30.0,12.104899629746985
28,127,0,Good Depth,30.0,12.104899629746985
29,126,0,Good Depth,30.0,12.104899629746985
30,118,0,Good Depth,30.0,12.104899629746985
31,116,0,Good Depth,39.0,12.104899629746985
32,114,0,Good Depth,39.0,12.104899629746985
33,115,0,Good Depth,41.0,12.104899629746985
34,113,0,Good Depth,41.0,12.104899629746985
35,119,0,Good Depth,41.0,12.104899629746985
36,119,0,Good Depth,44.0,12.104899629746985
37,115,0,Good Depth,44.0,12.104899629746985
38,115,0,Good Depth,44.0,12.104899629746985
39,114,0,Good Depth,44.0,12.104899629746985
40,110,0,Good Depth,38.0,12.104899629746985
41,107,0,Good Depth,38.0,12.104899629746985
42,93,0,Good Depth,23.0,12.104899629746985
43,88,0,Good Depth,23.0,12.104899629746985
44,84,0,Good Depth,23.0,12.104899629746985
45,84,0,Good Depth,23.0,12.104899629746985
