frame,angle,reps,feedback,sway,fps
0,156.0,0,Good Depth,,12.563277870893195
1,159.0,0,Good Depth,,12.563277870893195
2,155.0,0,Good Depth,,12.563277870893195
3,156.0,0,Good Depth,,12.563277870893195
4,157.0,0,Good Depth,,12.563277870893195
5,154.0,0,Good Depth,,12.563277870893195
6,88.0,0,Good Depth,,12.563277870893195
7,152.0,0,Good Depth,,12.563277870893195
8,151.0,0,Good Depth,,12.563277870893195
9,152.0,0,Good Depth,,12.563277870893195
10,153.0,0,Good Depth,,12.563277870893195
11,154.0,0,Good Depth,,12.563277870893195
12,91.0,0,Good Depth,,12.563277870893195
13,155.0,0,Good Depth,,12.563277870893195
14,155.0,0,Good Depth,,12.563277870893195
15,157.0,0,Good Depth,,12.563277870893195
16,158.0,0,Good Depth,,12.563277870893195
17,157.0,0,Good Depth,,12.563277870893195
18,158.0,0,Good Depth,,12.563277870893195
19,152.0,0,Good Depth,,12.563277870893195
20,156.0,0,Good Depth,,12.563277870893195
21,89.0,0,Good Depth,,12.563277870893195
22,89.0,0,Good Depth,,12.563277870893195
23,89.0,0,Good Depth,,12.563277870893195
24,89.0,0,Good Depth,,12.563277870893195
25,89.0,0,Good Depth,,12.563277870893195
26,152.0,0,Good Depth,,12.563277870893195
27,90.0,0,Good Depth,,12.563277870893195
28,151.0,0,Good Depth,,12.563277870893195
29,22.0,0,Too Deep!,,12.563277870893195
30,89.0,0,Good Depth,,12.563277870893195
31,91.0,0,Good Depth,,12.563277870893195
32,91.0,0,Good Depth,,12.563277870893195
33,91.0,0,Good Depth,,12.563277870893195
34,91.0,0,Good Depth,,12.563277870893195
35,91.0,0,Good Depth,,12.563277870893195
36,91.0,0,Good Depth,,12.563277870893195
37,92.0,0,Good Depth,,12.563277870893195
38,91.0,0,Good Depth,,12.563277870893195
39,24.0,0,Too Deep!,,12.563277870893195
40,91.0,0,Good Depth,,12.563277870893195
41,91.0,0,Good Depth,,12.563277870893195
42,92.0,0,Good Depth,,12.563277870893195
43,92.0,0,Good Depth,,12.563277870893195
44,92.0,0,Good Depth,,12.563277870893195
45,91.0,0,Good Depth,,12.563277870893195
46,91.0,0,Good Depth,,12.563277870893195
47,91.0,0,Good Depth,,12.563277870893195
48,23.0,0,Too Deep!,,12.563277870893195
49,152.0,0,Good Depth,,12.563277870893195
50,89.0,0,Good Depth,,12.563277870893195
51,23.0,0,Too Deep!,,12.563277870893195
52,22.0,0,Too Deep!,,12.563277870893195
53,90.0,0,Good Depth,,12.563277870893195
54,90.0,0,Good Depth,,12.563277870893195
55,153.0,0,Good Depth,,12.563277870893195
56,152.0,0,Good Depth,,12.563277870893195
57,89.0,0,Good Depth,,12.563277870893195
58,90.0,0,Good Depth,,12.563277870893195
59,90.0,0,Good Depth,,12.563277870893195
60,90.0,0,Good Depth,,12.563277870893195
61,90.0,0,Good Depth,,12.563277870893195
62,89.0,0,Good Depth,,12.563277870893195
63,161.0,1,Too Upright,,12.563277870893195
64,161.0,1,Too Upright,,12.563277870893195
65,153.0,1,Good Depth,,12.563277870893195
66,153.0,1,Good Depth,,12.563277870893195
67,153.0,1,Good Depth,,12.563277870893195
68,154.0,1,Good Depth,,12.563277870893195
69,153.0,1,Good Depth,,12.563277870893195
70,154.0,1,Good Depth,,12.563277870893195
71,153.0,1,Good Depth,,12.563277870893195
72,153.0,1,Good Depth,,12.563277870893195
73,153.0,1,Good Depth,,12.563277870893195
74,153.0,1,Good Depth,,12.563277870893195
75,152.0,1,Good Depth,,12.563277870893195
76,152.0,1,Good Depth,,12.563277870893195
77,152.0,1,Good Depth,,12.563277870893195
78,152.0,1,Good Depth,,12.563277870893195
79,152.0,1,Good Depth,,12.563277870893195
80,152.0,1,Good Depth,,12.563277870893195
81,152.0,1,Good Depth,,12.563277870893195
82,152.0,1,Good Depth,,12.563277870893195
83,152.0,1,Good Depth,,12.563277870893195
