frame,angle,reps,feedback,sway,fps
0,174.0,0,Too Upright,,13.322414246524623
1,,0,Too Upright,,13.322414246524623
2,,0,Too Upright,,13.322414246524623
3,170.0,0,Too Upright,,13.322414246524623
4,172.0,0,Too Upright,,13.322414246524623
5,174.0,0,Too Upright,,13.322414246524623
6,175.0,0,Too Upright,,13.322414246524623
7,173.0,0,Too Upright,,13.322414246524623
8,173.0,0,Too Upright,,13.322414246524623
9,173.0,0,Too Upright,,13.322414246524623
10,174.0,0,Too Upright,1.0,13.322414246524623
11,175.0,0,Too Upright,1.0,13.322414246524623
12,174.0,0,Too Upright,5.0,13.322414246524623
13,174.0,0,Too Upright,6.0,13.322414246524623
14,173.0,0,Too Upright,6.0,13.322414246524623
15,176.0,0,Too Upright,7.0,13.322414246524623
16,175.0,0,Too Upright,8.0,13.322414246524623
17,175.0,0,Too Upright,8.0,13.322414246524623
18,174.0,0,Too Upright,7.0,13.322414246524623
19,174.0,0,Too Upright,7.0,13.322414246524623
20,174.0,0,Too Upright,7.0,13.322414246524623
21,173.0,0,Too Upright,3.0,13.322414246524623
22,175.0,0,Too Upright,2.0,13.322414246524623
23,172.0,0,Too Upright,2.0,13.322414246524623
24,171.0,0,Too Upright,2.0,13.322414246524623
25,171.0,0,Too Upright,4.0,13.322414246524623
26,172.0,0,Too Upright,4.0,13.322414246524623
27,174.0,0,Too Upright,5.0,13.322414246524623
28,175.0,0,Too Upright,8.0,13.322414246524623
29,174.0,0,Too Upright,10.0,13.322414246524623
30,174.0,0,Too Upright,13.0,13.322414246524623
31,174.0,0,Too Upright,13.0,13.322414246524623
32,175.0,0,Too Upright,13.0,13.322414246524623
33,174.0,0,Too Upright,13.0,13.322414246524623
34,173.0,0,Too Upright,13.0,13.322414246524623
35,173.0,0,Too Upright,13.0,13.322414246524623
36,172.0,0,Too Upright,20.0,13.322414246524623
37,173.0,0,Too Upright,20.0,13.322414246524623
38,172.0,0,Too Upright,20.0,13.322414246524623
39,172.0,0,Too Upright,20.0,13.322414246524623
40,173.0,0,Too Upright,20.0,13.322414246524623
41,174.0,0,Too Upright,23.0,13.322414246524623
42,173.0,0,Too Upright,22.0,13.322414246524623
43,173.0,0,Too Upright,22.0,13.322414246524623
44,173.0,0,Too Upright,22.0,13.322414246524623
45,,0,Too Upright,21.0,13.322414246524623
46,174.0,0,Too Upright,20.0,13.322414246524623
47,175.0,0,Too Upright,18.0,13.322414246524623
48,174.0,0,Too Upright,15.0,13.322414246524623
49,174.0,0,Too Upright,7.0,13.322414246524623
50,173.0,0,Too Upright,6.0,13.322414246524623
51,174.0,0,Too Upright,6.0,13.322414246524623
52,173.0,0,Too Upright,6.0,13.322414246524623
53,175.0,0,Too Upright,6.0,13.322414246524623
54,175.0,0,Too Upright,6.0,13.322414246524623
55,172.0,0,Too Upright,8.0,13.322414246524623
56,172.0,0,Too Upright,9.0,13.322414246524623
57,173.0,0,Too Upright,8.0,13.322414246524623
58,172.0,0,Too Upright,8.0,13.322414246524623
59,173.0,0,Too Upright,8.0,13.322414246524623
60,173.0,0,Too Upright,9.0,13.322414246524623
61,174.0,0,Too Upright,10.0,13.322414246524623
62,175.0,0,Too Upright,10.0,13.322414246524623
63,,0,Too Upright,11.0,13.322414246524623
64,,0,Too Upright,9.0,13.322414246524623
65,,0,Too Upright,7.0,13.322414246524623
66,176.0,0,Too Upright,7.0,13.322414246524623
67,175.0,0,Too Upright,5.0,13.322414246524623
68,175.0,0,Too Upright,5.0,13.322414246524623
69,,0,Too Upright,5.0,13.322414246524623
70,176.0,0,Too Upright,5.0,13.322414246524623
71,,0,Too Upright,6.0,13.322414246524623
72,176.0,0,Too Upright,5.0,13.322414246524623
73,,0,Too Upright,5.0,13.322414246524623
74,177.0,0,Too Upright,5.0,13.322414246524623
75,,0,Too Upright,4.0,13.322414246524623
76,,0,Too Upright,5.0,13.322414246524623
77,,0,Too Upright,4.0,13.322414246524623
78,175.0,0,Too Upright,3.0,13.322414246524623
79,175.0,0,Too Upright,2.0,13.322414246524623
80,175.0,0,Too Upright,2.0,13.322414246524623
81,177.0,0,Too Upright,2.0,13.322414246524623
82,178.0,0,Too Upright,2.0,13.322414246524623
83,178.0,0,Too Upright,3.0,13.322414246524623
84,178.0,0,Too Upright,3.0,13.322414246524623
85,178.0,0,Too Upright,3.0,13.322414246524623
86,175.0,0,Too Upright,3.0,13.322414246524623
87,174.0,0,Too Upright,3.0,13.322414246524623
88,173.0,0,Too Upright,3.0,13.322414246524623
89,173.0,0,Too Upright,6.0,13.322414246524623
90,173.0,0,Too Upright,6.0,13.322414246524623
91,,0,Too Upright,6.0,13.322414246524623
92,,0,Too Upright,6.0,13.322414246524623
93,,0,Too Upright,9.0,13.322414246524623
94,,0,Too Upright,10.0,13.322414246524623
95,,0,Too Upright,10.0,13.322414246524623
96,,0,Too Upright,10.0,13.322414246524623
97,,0,Too Upright,10.0,13.322414246524623
98,176.0,0,Too Upright,10.0,13.322414246524623
99,,0,Too Upright,14.0,13.322414246524623
100,176.0,0,Too Upright,14.0,13.322414246524623
101,,0,Too Upright,14.0,13.322414246524623
102,,0,Too Upright,14.0,13.322414246524623
103,,0,Too Upright,14.0,13.322414246524623
104,,0,Too Upright,14.0,13.322414246524623
105,,0,Too Upright,14.0,13.322414246524623
106,,0,Too Upright,14.0,13.322414246524623
107,,0,Too Upright,14.0,13.322414246524623
108,,0,Too Upright,14.0,13.322414246524623
109,,0,Too Upright,32.0,13.322414246524623
110,,0,Too Upright,32.0,13.322414246524623
111,,0,Too Upright,32.0,13.322414246524623
112,,0,Too Upright,33.0,13.322414246524623
113,,0,Too Upright,32.0,13.322414246524623
114,,0,Too Upright,31.0,13.322414246524623
115,,0,Too Upright,31.0,13.322414246524623
116,,0,Too Upright,31.0,13.322414246524623
117,,0,Too Upright,31.0,13.322414246524623
118,,0,Too Upright,31.0,13.322414246524623
119,,0,Too Upright,30.0,13.322414246524623
120,,0,Too Upright,30.0,13.322414246524623
121,,0,Too Upright,30.0,13.322414246524623
122,,0,Too Upright,30.0,13.322414246524623
123,,0,Too Upright,30.0,13.322414246524623
124,,0,Too Upright,28.0,13.322414246524623
125,,0,Too Upright,22.0,13.322414246524623
126,,0,Too Upright,5.0,13.322414246524623
127,,0,Too Upright,5.0,13.322414246524623
128,,0,Too Upright,5.0,13.322414246524623
129,,0,Too Upright,6.0,13.322414246524623
130,,0,Too Upright,6.0,13.322414246524623
131,,0,Too Upright,6.0,13.322414246524623
132,,0,Too Upright,6.0,13.322414246524623
133,,0,Too Upright,3.0,13.322414246524623
134,,0,Too Upright,2.0,13.322414246524623
135,,0,Too Upright,2.0,13.322414246524623
136,,0,Too Upright,2.0,13.322414246524623
137,,0,Too Upright,2.0,13.322414246524623
138,,0,Too Upright,2.0,13.322414246524623
139,176.0,0,Too Upright,1.0,13.322414246524623
140,171.0,0,Too Upright,1.0,13.322414246524623
141,171.0,0,Too Upright,1.0,13.322414246524623
142,170.0,0,Too Upright,1.0,13.322414246524623
143,166.0,0,Too Upright,1.0,13.322414246524623
144,162.0,0,Too Upright,5.0,13.322414246524623
145,157.0,0,Good Depth,5.0,13.322414246524623
146,154.0,0,Good Depth,6.0,13.322414246524623
147,152.0,0,Good Depth,11.0,13.322414246524623
148,148.0,0,Good Depth,14.0,13.322414246524623
149,141.0,0,Good Depth,14.0,13.322414246524623
150,142.0,0,Good Depth,14.0,13.322414246524623
151,137.0,0,Good Depth,16.0,13.322414246524623
152,134.0,0,Good Depth,18.0,13.322414246524623
153,128.0,0,Good Depth,18.0,13.322414246524623
154,125.0,0,Good Depth,23.0,13.322414246524623
155,123.0,0,Good Depth,19.0,13.322414246524623
156,122.0,0,Good Depth,18.0,13.322414246524623
157,121.0,0,Good Depth,13.0,13.322414246524623
158,121.0,0,Good Depth,18.0,13.322414246524623
159,117.0,0,Good Depth,19.0,13.322414246524623
160,116.0,0,Good Depth,17.0,13.322414246524623
161,115.0,0,Good Depth,17.0,13.322414246524623
162,112.0,0,Good Depth,18.0,13.322414246524623
163,111.0,0,Good Depth,15.0,13.322414246524623
164,111.0,0,Good Depth,11.0,13.322414246524623
165,111.0,0,Good Depth,13.0,13.322414246524623
166,110.0,0,Good Depth,13.0,13.322414246524623
167,107.0,0,Good Depth,13.0,13.322414246524623
168,108.0,0,Good Depth,13.0,13.322414246524623
169,107.0,0,Good Depth,8.0,13.322414246524623
170,107.0,0,Good Depth,9.0,13.322414246524623
171,107.0,0,Good Depth,9.0,13.322414246524623
172,108.0,0,Good Depth,9.0,13.322414246524623
173,111.0,0,Good Depth,9.0,13.322414246524623
174,110.0,0,Good Depth,9.0,13.322414246524623
175,106.0,0,Good Depth,9.0,13.322414246524623
176,103.0,0,Good Depth,9.0,13.322414246524623
177,100.0,0,Good Depth,9.0,13.322414246524623
178,96.0,0,Good Depth,9.0,13.322414246524623
179,96.0,0,Good Depth,9.0,13.322414246524623
180,91.0,0,Good Depth,9.0,13.322414246524623
181,88.0,0,Good Depth,9.0,13.322414246524623
182,87.0,0,Good Depth,9.0,13.322414246524623
183,84.0,0,Good Depth,9.0,13.322414246524623
184,80.0,0,Good Depth,9.0,13.322414246524623
185,76.0,0,Good Depth,9.0,13.322414246524623
186,77.0,0,Good Depth,9.0,13.322414246524623
187,76.0,0,Good Depth,9.0,13.322414246524623
188,73.0,0,Good Depth,9.0,13.322414246524623
189,72.0,0,Good Depth,9.0,13.322414246524623
190,70.0,0,Good Depth,9.0,13.322414246524623
191,65.0,0,Good Depth,9.0,13.322414246524623
192,62.0,0,Good Depth,9.0,13.322414246524623
193,,0,Good Depth,9.0,13.322414246524623
194,,0,Good Depth,9.0,13.322414246524623
195,,0,Good Depth,9.0,13.322414246524623
196,,0,Good Depth,9.0,13.322414246524623
197,,0,Good Depth,9.0,13.322414246524623
198,,0,Good Depth,9.0,13.322414246524623
199,,0,Good Depth,9.0,13.322414246524623
200,,0,Good Depth,9.0,13.322414246524623
201,,0,Good Depth,9.0,13.322414246524623
202,,0,Good Depth,9.0,13.322414246524623
203,,0,Good Depth,9.0,13.322414246524623
204,,0,Good Depth,9.0,13.322414246524623
205,,0,Good Depth,9.0,13.322414246524623
206,,0,Good Depth,9.0,13.322414246524623
207,,0,Good Depth,9.0,13.322414246524623
208,,0,Good Depth,9.0,13.322414246524623
209,,0,Good Depth,9.0,13.322414246524623
210,,0,Good Depth,9.0,13.322414246524623
211,,0,Good Depth,9.0,13.322414246524623
212,,0,Good Depth,9.0,13.322414246524623
213,,0,Good Depth,9.0,13.322414246524623
214,,0,Good Depth,9.0,13.322414246524623
215,,0,Good Depth,9.0,13.322414246524623
216,,0,Good Depth,9.0,13.322414246524623
217,,0,Good Depth,9.0,13.322414246524623
218,,0,Good Depth,9.0,13.322414246524623
219,,0,Good Depth,9.0,13.322414246524623
220,,0,Good Depth,9.0,13.322414246524623
221,,0,Good Depth,9.0,13.322414246524623
222,,0,Good Depth,9.0,13.322414246524623
223,,0,Good Depth,9.0,13.322414246524623
