frame,angle,reps,feedback,sway,fps
0,173.0,0,Too Upright,,12.37601076972335
1,171.0,0,Too Upright,,12.37601076972335
2,172.0,0,Too Upright,,12.37601076972335
3,172.0,0,Too Upright,,12.37601076972335
4,171.0,0,Too Upright,,12.37601076972335
5,171.0,0,Too Upright,,12.37601076972335
6,173.0,0,Too Upright,,12.37601076972335
7,172.0,0,Too Upright,,12.37601076972335
8,174.0,0,Too Upright,,12.37601076972335
9,174.0,0,Too Upright,,12.37601076972335
10,174.0,0,Too Upright,1.0,12.37601076972335
11,175.0,0,Too Upright,1.0,12.37601076972335
12,175.0,0,Too Upright,5.0,12.37601076972335
13,175.0,0,Too Upright,6.0,12.37601076972335
14,176.0,0,Too Upright,6.0,12.37601076972335
15,175.0,0,Too Upright,7.0,12.37601076972335
16,175.0,0,Too Upright,8.0,12.37601076972335
17,176.0,0,Too Upright,8.0,12.37601076972335
18,176.0,0,Too Upright,7.0,12.37601076972335
19,175.0,0,Too Upright,7.0,12.37601076972335
20,175.0,0,Too Upright,7.0,12.37601076972335
21,175.0,0,Too Upright,3.0,12.37601076972335
22,173.0,0,Too Upright,2.0,12.37601076972335
23,173.0,0,Too Upright,2.0,12.37601076972335
24,173.0,0,Too Upright,2.0,12.37601076972335
25,173.0,0,Too Upright,4.0,12.37601076972335
26,174.0,0,Too Upright,4.0,12.37601076972335
27,176.0,0,Too Upright,5.0,12.37601076972335
28,176.0,0,Too Upright,8.0,12.37601076972335
29,176.0,0,Too Upright,10.0,12.37601076972335
30,176.0,0,Too Upright,13.0,12.37601076972335
31,175.0,0,Too Upright,13.0,12.37601076972335
32,175.0,0,Too Upright,13.0,12.37601076972335
33,175.0,0,Too Upright,13.0,12.37601076972335
34,175.0,0,Too Upright,13.0,12.37601076972335
35,175.0,0,Too Upright,13.0,12.37601076972335
36,174.0,0,Too Upright,20.0,12.37601076972335
37,172.0,0,Too Upright,20.0,12.37601076972335
38,173.0,0,Too Upright,20.0,12.37601076972335
39,174.0,0,Too Upright,20.0,12.37601076972335
40,174.0,0,Too Upright,20.0,12.37601076972335
41,173.0,0,Too Upright,23.0,12.37601076972335
42,173.0,0,Too Upright,22.0,12.37601076972335
43,173.0,0,Too Upright,22.0,12.37601076972335
44,173.0,0,Too Upright,22.0,12.37601076972335
45,173.0,0,Too Upright,21.0,12.37601076972335
46,173.0,0,Too Upright,20.0,12.37601076972335
47,174.0,0,Too Upright,18.0,12.37601076972335
48,174.0,0,Too Upright,15.0,12.37601076972335
49,175.0,0,Too Upright,7.0,12.37601076972335
50,175.0,0,Too Upright,6.0,12.37601076972335
51,174.0,0,Too Upright,6.0,12.37601076972335
52,174.0,0,Too Upright,6.0,12.37601076972335
53,174.0,0,Too Upright,6.0,12.37601076972335
54,174.0,0,Too Upright,6.0,12.37601076972335
55,175.0,0,Too Upright,8.0,12.37601076972335
56,175.0,0,Too Upright,9.0,12.37601076972335
57,174.0,0,Too Upright,8.0,12.37601076972335
58,174.0,0,Too Upright,8.0,12.37601076972335
59,174.0,0,Too Upright,8.0,12.37601076972335
60,173.0,0,Too Upright,9.0,12.37601076972335
61,173.0,0,Too Upright,10.0,12.37601076972335
62,173.0,0,Too Upright,10.0,12.37601076972335
63,173.0,0,Too Upright,11.0,12.37601076972335
64,173.0,0,Too Upright,9.0,12.37601076972335
65,174.0,0,Too Upright,7.0,12.37601076972335
66,175.0,0,Too Upright,7.0,12.37601076972335
67,175.0,0,Too Upright,5.0,12.37601076972335
68,175.0,0,Too Upright,5.0,12.37601076972335
69,174.0,0,Too Upright,5.0,12.37601076972335
70,174.0,0,Too Upright,5.0,12.37601076972335
71,173.0,0,Too Upright,6.0,12.37601076972335
72,174.0,0,Too Upright,5.0,12.37601076972335
73,173.0,0,Too Upright,5.0,12.37601076972335
74,172.0,0,Too Upright,5.0,12.37601076972335
75,170.0,0,Too Upright,4.0,12.37601076972335
76,170.0,0,Too Upright,5.0,12.37601076972335
77,169.0,0,Too Upright,4.0,12.37601076972335
78,170.0,0,Too Upright,3.0,12.37601076972335
79,170.0,0,Too Upright,2.0,12.37601076972335
80,171.0,0,Too Upright,2.0,12.37601076972335
81,171.0,0,Too Upright,2.0,12.37601076972335
82,172.0,0,Too Upright,2.0,12.37601076972335
83,172.0,0,Too Upright,3.0,12.37601076972335
84,172.0,0,Too Upright,3.0,12.37601076972335
85,173.0,0,Too Upright,3.0,12.37601076972335
86,172.0,0,Too Upright,3.0,12.37601076972335
87,172.0,0,Too Upright,3.0,12.37601076972335
88,172.0,0,Too Upright,3.0,12.37601076972335
89,172.0,0,Too Upright,6.0,12.37601076972335
90,173.0,0,Too Upright,6.0,12.37601076972335
91,173.0,0,Too Upright,6.0,12.37601076972335
92,174.0,0,Too Upright,6.0,12.37601076972335
93,174.0,0,Too Upright,9.0,12.37601076972335
94,175.0,0,Too Upright,10.0,12.37601076972335
95,174.0,0,Too Upright,10.0,12.37601076972335
96,174.0,0,Too Upright,10.0,12.37601076972335
97,174.0,0,Too Upright,10.0,12.37601076972335
98,174.0,0,Too Upright,10.0,12.37601076972335
99,173.0,0,Too Upright,14.0,12.37601076972335
100,172.0,0,Too Upright,14.0,12.37601076972335
101,172.0,0,Too Upright,14.0,12.37601076972335
102,173.0,0,Too Upright,14.0,12.37601076972335
103,172.0,0,Too Upright,14.0,12.37601076972335
104,172.0,0,Too Upright,14.0,12.37601076972335
105,172.0,0,Too Upright,14.0,12.37601076972335
106,173.0,0,Too Upright,14.0,12.37601076972335
107,173.0,0,Too Upright,14.0,12.37601076972335
108,173.0,0,Too Upright,14.0,12.37601076972335
109,173.0,0,Too Upright,32.0,12.37601076972335
110,172.0,0,Too Upright,32.0,12.37601076972335
111,172.0,0,Too Upright,32.0,12.37601076972335
112,172.0,0,Too Upright,33.0,12.37601076972335
113,173.0,0,Too Upright,32.0,12.37601076972335
114,172.0,0,Too Upright,31.0,12.37601076972335
115,172.0,0,Too Upright,31.0,12.37601076972335
116,173.0,0,Too Upright,31.0,12.37601076972335
117,173.0,0,Too Upright,31.0,12.37601076972335
118,173.0,0,Too Upright,31.0,12.37601076972335
119,173.0,0,Too Upright,30.0,12.37601076972335
120,173.0,0,Too Upright,30.0,12.37601076972335
121,172.0,0,Too Upright,30.0,12.37601076972335
122,172.0,0,Too Upright,30.0,12.37601076972335
123,172.0,0,Too Upright,30.0,12.37601076972335
124,172.0,0,Too Upright,28.0,12.37601076972335
125,172.0,0,Too Upright,22.0,12.37601076972335
126,172.0,0,Too Upright,5.0,12.37601076972335
127,171.0,0,Too Upright,5.0,12.37601076972335
128,171.0,0,Too Upright,5.0,12.37601076972335
129,171.0,0,Too Upright,6.0,12.37601076972335
130,171.0,0,Too Upright,6.0,12.37601076972335
131,172.0,0,Too Upright,6.0,12.37601076972335
132,172.0,0,Too Upright,6.0,12.37601076972335
133,171.0,0,Too Upright,3.0,12.37601076972335
134,171.0,0,Too Upright,2.0,12.37601076972335
135,171.0,0,Too Upright,2.0,12.37601076972335
136,170.0,0,Too Upright,2.0,12.37601076972335
137,170.0,0,Too Upright,2.0,12.37601076972335
138,169.0,0,Too Upright,2.0,12.37601076972335
139,168.0,0,Too Upright,1.0,12.37601076972335
140,167.0,0,Too Upright,1.0,12.37601076972335
141,165.0,0,Too Upright,1.0,12.37601076972335
142,164.0,0,Too Upright,1.0,12.37601076972335
143,162.0,0,Too Upright,1.0,12.37601076972335
144,158.0,0,Good Depth,5.0,12.37601076972335
145,152.0,0,Good Depth,5.0,12.37601076972335
146,149.0,0,Good Depth,6.0,12.37601076972335
147,145.0,0,Good Depth,11.0,12.37601076972335
148,142.0,0,Good Depth,14.0,12.37601076972335
149,142.0,0,Good Depth,14.0,12.37601076972335
150,145.0,0,Good Depth,14.0,12.37601076972335
151,146.0,0,Good Depth,16.0,12.37601076972335
152,135.0,0,Good Depth,18.0,12.37601076972335
153,130.0,0,Good Depth,18.0,12.37601076972335
154,128.0,0,Good Depth,23.0,12.37601076972335
155,126.0,0,Good Depth,19.0,12.37601076972335
156,123.0,0,Good Depth,18.0,12.37601076972335
157,122.0,0,Good Depth,13.0,12.37601076972335
158,123.0,0,Good Depth,18.0,12.37601076972335
159,121.0,0,Good Depth,19.0,12.37601076972335
160,117.0,0,Good Depth,17.0,12.37601076972335
161,115.0,0,Good Depth,17.0,12.37601076972335
162,109.0,0,Good Depth,18.0,12.37601076972335
163,108.0,0,Good Depth,15.0,12.37601076972335
164,103.0,0,Good Depth,11.0,12.37601076972335
165,101.0,0,Good Depth,13.0,12.37601076972335
166,104.0,0,Good Depth,13.0,12.37601076972335
167,100.0,0,Good Depth,13.0,12.37601076972335
168,100.0,0,Good Depth,13.0,12.37601076972335
169,102.0,0,Good Depth,8.0,12.37601076972335
170,104.0,0,Good Depth,9.0,12.37601076972335
171,102.0,0,Good Depth,9.0,12.37601076972335
172,101.0,0,Good Depth,9.0,12.37601076972335
173,98.0,0,Good Depth,9.0,12.37601076972335
174,97.0,0,Good Depth,9.0,12.37601076972335
175,93.0,0,Good Depth,9.0,12.37601076972335
176,90.0,0,Good Depth,9.0,12.37601076972335
177,90.0,0,Good Depth,9.0,12.37601076972335
178,74.0,0,Good Depth,9.0,12.37601076972335
179,96.0,0,Good Depth,9.0,12.37601076972335
180,78.0,0,Good Depth,9.0,12.37601076972335
181,81.0,0,Good Depth,9.0,12.37601076972335
182,75.0,0,Good Depth,9.0,12.37601076972335
183,71.0,0,Good Depth,9.0,12.37601076972335
184,80.0,0,Good Depth,9.0,12.37601076972335
185,74.0,0,Good Depth,9.0,12.37601076972335
186,72.0,0,Good Depth,9.0,12.37601076972335
187,69.0,0,Good Depth,9.0,12.37601076972335
188,66.0,0,Good Depth,9.0,12.37601076972335
189,64.0,0,Good Depth,9.0,12.37601076972335
190,65.0,0,Good Depth,9.0,12.37601076972335
191,63.0,0,Good Depth,9.0,12.37601076972335
192,97.0,0,Good Depth,9.0,12.37601076972335
193,100.0,0,Good Depth,9.0,12.37601076972335
194,105.0,0,Good Depth,9.0,12.37601076972335
195,108.0,0,Good Depth,9.0,12.37601076972335
196,86.0,0,Good Depth,9.0,12.37601076972335
197,82.0,0,Good Depth,9.0,12.37601076972335
198,84.0,0,Good Depth,9.0,12.37601076972335
199,79.0,0,Good Depth,9.0,12.37601076972335
200,75.0,0,Good Depth,9.0,12.37601076972335
201,77.0,0,Good Depth,9.0,12.37601076972335
202,81.0,0,Good Depth,9.0,12.37601076972335
203,,0,Good Depth,9.0,12.37601076972335
204,,0,Good Depth,9.0,12.37601076972335
205,,0,Good Depth,9.0,12.37601076972335
206,,0,Good Depth,9.0,12.37601076972335
207,,0,Good Depth,9.0,12.37601076972335
208,,0,Good Depth,9.0,12.37601076972335
209,,0,Good Depth,9.0,12.37601076972335
210,70.0,0,Good Depth,9.0,12.37601076972335
211,67.0,0,Good Depth,9.0,12.37601076972335
212,71.0,0,Good Depth,9.0,12.37601076972335
213,72.0,0,Good Depth,9.0,12.37601076972335
214,67.0,0,Good Depth,9.0,12.37601076972335
215,77.0,0,Good Depth,9.0,12.37601076972335
216,71.0,0,Good Depth,9.0,12.37601076972335
217,72.0,0,Good Depth,9.0,12.37601076972335
218,73.0,0,Good Depth,9.0,12.37601076972335
219,62.0,0,Good Depth,9.0,12.37601076972335
220,59.0,0,Too Deep!,9.0,12.37601076972335
221,,0,Too Deep!,9.0,12.37601076972335
222,,0,Too Deep!,9.0,12.37601076972335
223,,0,Too Deep!,9.0,12.37601076972335
224,,0,Too Deep!,9.0,12.37601076972335
225,,0,Too Deep!,9.0,12.37601076972335
226,,0,Too Deep!,9.0,12.37601076972335
227,75.0,0,Good Depth,9.0,12.37601076972335
228,72.0,0,Good Depth,9.0,12.37601076972335
229,75.0,0,Good Depth,9.0,12.37601076972335
230,79.0,0,Good Depth,9.0,12.37601076972335
231,82.0,0,Good Depth,9.0,12.37601076972335
232,80.0,0,Good Depth,9.0,12.37601076972335
233,81.0,0,Good Depth,9.0,12.37601076972335
234,76.0,0,Good Depth,9.0,12.37601076972335
235,76.0,0,Good Depth,9.0,12.37601076972335
236,76.0,0,Good Depth,9.0,12.37601076972335
237,74.0,0,Good Depth,9.0,12.37601076972335
238,77.0,0,Good Depth,9.0,12.37601076972335
239,77.0,0,Good Depth,9.0,12.37601076972335
240,80.0,0,Good Depth,9.0,12.37601076972335
241,86.0,0,Good Depth,9.0,12.37601076972335
242,76.0,0,Good Depth,9.0,12.37601076972335
243,80.0,0,Good Depth,9.0,12.37601076972335
244,88.0,0,Good Depth,9.0,12.37601076972335
245,58.0,0,Too Deep!,9.0,12.37601076972335
246,67.0,0,Good Depth,9.0,12.37601076972335
247,72.0,0,Good Depth,9.0,12.37601076972335
248,70.0,0,Good Depth,9.0,12.37601076972335
249,83.0,0,Good Depth,9.0,12.37601076972335
250,94.0,0,Good Depth,9.0,12.37601076972335
251,105.0,0,Good Depth,9.0,12.37601076972335
252,108.0,0,Good Depth,15.0,12.37601076972335
253,97.0,0,Good Depth,15.0,12.37601076972335
254,103.0,0,Good Depth,15.0,12.37601076972335
255,112.0,0,Good Depth,24.0,12.37601076972335
256,120.0,0,Good Depth,27.0,12.37601076972335
257,125.0,0,Good Depth,29.0,12.37601076972335
258,131.0,0,Good Depth,29.0,12.37601076972335
259,139.0,0,Good Depth,29.0,12.37601076972335
260,144.0,0,Good Depth,29.0,12.37601076972335
261,146.0,0,Good Depth,29.0,12.37601076972335
262,148.0,0,Good Depth,44.0,12.37601076972335
263,149.0,0,Good Depth,45.0,12.37601076972335
264,151.0,0,Good Depth,49.0,12.37601076972335
265,156.0,0,Good Depth,56.0,12.37601076972335
266,161.0,1,Too Upright,58.0,12.37601076972335
267,167.0,1,Too Upright,44.0,12.37601076972335
268,171.0,1,Too Upright,37.0,12.37601076972335
269,174.0,1,Too Upright,34.0,12.37601076972335
270,171.0,1,Too Upright,32.0,12.37601076972335
271,172.0,1,Too Upright,17.0,12.37601076972335
272,171.0,1,Too Upright,17.0,12.37601076972335
273,172.0,1,Too Upright,17.0,12.37601076972335
274,172.0,1,Too Upright,17.0,12.37601076972335
275,173.0,1,Too Upright,17.0,12.37601076972335
276,174.0,1,Too Upright,17.0,12.37601076972335
277,174.0,1,Too Upright,17.0,12.37601076972335
278,174.0,1,Too Upright,17.0,12.37601076972335
279,174.0,1,Too Upright,17.0,12.37601076972335
280,175.0,1,Too Upright,17.0,12.37601076972335
281,174.0,1,Too Upright,17.0,12.37601076972335
282,174.0,1,Too Upright,17.0,12.37601076972335
283,174.0,1,Too Upright,17.0,12.37601076972335
284,175.0,1,Too Upright,17.0,12.37601076972335
285,175.0,1,Too Upright,17.0,12.37601076972335
286,175.0,1,Too Upright,13.0,12.37601076972335
287,175.0,1,Too Upright,6.0,12.37601076972335
288,175.0,1,Too Upright,4.0,12.37601076972335
289,174.0,1,Too Upright,3.0,12.37601076972335
290,173.0,1,Too Upright,2.0,12.37601076972335
291,172.0,1,Too Upright,2.0,12.37601076972335
292,173.0,1,Too Upright,2.0,12.37601076972335
293,173.0,1,Too Upright,3.0,12.37601076972335
294,173.0,1,Too Upright,4.0,12.37601076972335
295,172.0,1,Too Upright,4.0,12.37601076972335
296,171.0,1,Too Upright,4.0,12.37601076972335
297,172.0,1,Too Upright,5.0,12.37601076972335
298,173.0,1,Too Upright,7.0,12.37601076972335
299,174.0,1,Too Upright,8.0,12.37601076972335
300,174.0,1,Too Upright,10.0,12.37601076972335
301,174.0,1,Too Upright,10.0,12.37601076972335
302,175.0,1,Too Upright,9.0,12.37601076972335
303,174.0,1,Too Upright,8.0,12.37601076972335
304,175.0,1,Too Upright,7.0,12.37601076972335
305,174.0,1,Too Upright,6.0,12.37601076972335
306,174.0,1,Too Upright,5.0,12.37601076972335
307,173.0,1,Too Upright,3.0,12.37601076972335
308,173.0,1,Too Upright,2.0,12.37601076972335
309,171.0,1,Too Upright,2.0,12.37601076972335
310,168.0,1,Too Upright,3.0,12.37601076972335
311,164.0,1,Too Upright,5.0,12.37601076972335
312,159.0,1,Good Depth,8.0,12.37601076972335
313,154.0,1,Good Depth,8.0,12.37601076972335
314,152.0,1,Good Depth,8.0,12.37601076972335
315,148.0,1,Good Depth,12.0,12.37601076972335
316,144.0,1,Good Depth,12.0,12.37601076972335
317,142.0,1,Good Depth,17.0,12.37601076972335
318,140.0,1,Good Depth,17.0,12.37601076972335
319,137.0,1,Good Depth,17.0,12.37601076972335
320,133.0,1,Good Depth,17.0,12.37601076972335
321,128.0,1,Good Depth,17.0,12.37601076972335
322,131.0,1,Good Depth,23.0,12.37601076972335
323,128.0,1,Good Depth,21.0,12.37601076972335
324,123.0,1,Good Depth,19.0,12.37601076972335
325,121.0,1,Good Depth,19.0,12.37601076972335
326,119.0,1,Good Depth,15.0,12.37601076972335
327,114.0,1,Good Depth,17.0,12.37601076972335
328,108.0,1,Good Depth,13.0,12.37601076972335
329,105.0,1,Good Depth,13.0,12.37601076972335
330,101.0,1,Good Depth,14.0,12.37601076972335
331,99.0,1,Good Depth,8.0,12.37601076972335
332,98.0,1,Good Depth,9.0,12.37601076972335
333,97.0,1,Good Depth,13.0,12.37601076972335
334,97.0,1,Good Depth,14.0,12.37601076972335
335,99.0,1,Good Depth,14.0,12.37601076972335
336,103.0,1,Good Depth,13.0,12.37601076972335
337,98.0,1,Good Depth,13.0,12.37601076972335
338,95.0,1,Good Depth,13.0,12.37601076972335
339,94.0,1,Good Depth,13.0,12.37601076972335
340,89.0,1,Good Depth,13.0,12.37601076972335
341,76.0,1,Good Depth,13.0,12.37601076972335
342,90.0,1,Good Depth,13.0,12.37601076972335
343,97.0,1,Good Depth,13.0,12.37601076972335
344,75.0,1,Good Depth,13.0,12.37601076972335
345,73.0,1,Good Depth,13.0,12.37601076972335
346,72.0,1,Good Depth,13.0,12.37601076972335
347,72.0,1,Good Depth,13.0,12.37601076972335
348,64.0,1,Good Depth,13.0,12.37601076972335
349,65.0,1,Good Depth,13.0,12.37601076972335
350,90.0,1,Good Depth,13.0,12.37601076972335
351,73.0,1,Good Depth,13.0,12.37601076972335
352,74.0,1,Good Depth,13.0,12.37601076972335
353,74.0,1,Good Depth,13.0,12.37601076972335
354,71.0,1,Good Depth,13.0,12.37601076972335
355,69.0,1,Good Depth,13.0,12.37601076972335
356,93.0,1,Good Depth,13.0,12.37601076972335
357,96.0,1,Good Depth,13.0,12.37601076972335
358,101.0,1,Good Depth,13.0,12.37601076972335
359,102.0,1,Good Depth,13.0,12.37601076972335
360,103.0,1,Good Depth,13.0,12.37601076972335
