frame,angle,reps,feedback,sway,fps
0,167,0,Too Upright,,12.74158744233716
1,168,0,Too Upright,,12.74158744233716
2,167,0,Too Upright,,12.74158744233716
3,168,0,Too Upright,,12.74158744233716
4,167,0,Too Upright,,12.74158744233716
5,166,0,Too Upright,,12.74158744233716
6,165,0,Too Upright,,12.74158744233716
7,164,0,Too Upright,,12.74158744233716
8,163,0,Too Upright,,12.74158744233716
9,163,0,Too Upright,,12.74158744233716
10,159,0,Good Depth,,12.74158744233716
11,155,0,Good Depth,,12.74158744233716
12,151,0,Good Depth,,12.74158744233716
13,148,0,Good Depth,,12.74158744233716
14,143,0,Good Depth,,12.74158744233716
15,142,0,Good Depth,,12.74158744233716
16,139,0,Good Depth,,12.74158744233716
17,137,0,Good Depth,,12.74158744233716
18,133,0,Good Depth,,12.74158744233716
19,128,0,Good Depth,,12.74158744233716
20,122,0,Good Depth,,12.74158744233716
21,117,0,Good Depth,,12.74158744233716
22,114,0,Good Depth,,12.74158744233716
23,108,0,Good Depth,,12.74158744233716
24,102,0,Good Depth,,12.74158744233716
25,98,0,Good Depth,,12.74158744233716
26,99,0,Good Depth,,12.74158744233716
27,94,0,Good Depth,,12.74158744233716
28,87,0,Good Depth,,12.74158744233716
29,87,0,Good Depth,,12.74158744233716
30,87,0,Good Depth,,12.74158744233716
31,83,0,Good Depth,,12.74158744233716
32,78,0,Good Depth,,12.74158744233716
33,74,0,Good Depth,,12.74158744233716
34,69,0,Good Depth,,12.74158744233716
35,67,0,Good Depth,,12.74158744233716
36,66,0,Good Depth,,12.74158744233716
37,65,0,Good Depth,,12.74158744233716
38,61,0,Good Depth,,12.74158744233716
39,61,0,Good Depth,,12.74158744233716
40,60,0,Good Depth,,12.74158744233716
41,58,0,Too Deep!,,12.74158744233716
42,58,0,Too Deep!,,12.74158744233716
43,62,0,Good Depth,,12.74158744233716
44,62,0,Good Depth,,12.74158744233716
45,62,0,Good Depth,,12.74158744233716
46,61,0,Good Depth,,12.74158744233716
47,62,0,Good Depth,,12.74158744233716
48,61,0,Good Depth,,12.74158744233716
49,61,0,Good Depth,,12.74158744233716
50,61,0,Good Depth,,12.74158744233716
51,63,0,Good Depth,,12.74158744233716
52,64,0,Good Depth,,12.74158744233716
53,69,0,Good Depth,,12.74158744233716
54,71,0,Good Depth,,12.74158744233716
55,79,0,Good Depth,,12.74158744233716
56,85,0,Good Depth,,12.74158744233716
57,86,0,Good Depth,,12.74158744233716
58,88,0,Good Depth,,12.74158744233716
59,94,0,Good Depth,,12.74158744233716
60,101,0,Good Depth,,12.74158744233716
61,108,0,Good Depth,,12.74158744233716
62,110,0,Good Depth,,12.74158744233716
63,115,0,Good Depth,,12.74158744233716
64,122,0,Good Depth,,12.74158744233716
65,131,0,Good Depth,,12.74158744233716
66,137,0,Good Depth,,12.74158744233716
67,138,0,Good Depth,,12.74158744233716
68,143,0,Good Depth,,12.74158744233716
69,150,0,Good Depth,,12.74158744233716
70,155,0,Good Depth,,12.74158744233716
71,161,1,Too Upright,,12.74158744233716
72,163,1,Too Upright,,12.74158744233716
73,166,1,Too Upright,,12.74158744233716
74,169,1,Too Upright,,12.74158744233716
75,173,1,Too Upright,,12.74158744233716
76,171,1,Too Upright,,12.74158744233716
77,170,1,Too Upright,,12.74158744233716
78,169,1,Too Upright,,12.74158744233716
79,170,1,Too Upright,,12.74158744233716
80,167,1,Too Upright,,12.74158744233716
81,166,1,Too Upright,,12.74158744233716
82,167,1,Too Upright,,12.74158744233716
83,167,1,Too Upright,,12.74158744233716
84,168,1,Too Upright,,12.74158744233716
85,168,1,Too Upright,,12.74158744233716
86,168,1,Too Upright,,12.74158744233716
87,167,1,Too Upright,,12.74158744233716
88,167,1,Too Upright,,12.74158744233716
89,162,1,Too Upright,,12.74158744233716
90,160,1,Good Depth,,12.74158744233716
91,154,1,Good Depth,,12.74158744233716
92,152,1,Good Depth,,12.74158744233716
93,147,1,Good Depth,,12.74158744233716
94,143,1,Good Depth,,12.74158744233716
95,141,1,Good Depth,,12.74158744233716
96,136,1,Good Depth,,12.74158744233716
97,133,1,Good Depth,,12.74158744233716
98,128,1,Good Depth,,12.74158744233716
