frame,angle,reps,feedback,sway,fps
0,167,0,Too Upright,,11.714726564718728
1,167,0,Too Upright,,11.714726564718728
2,167,0,Too Upright,,11.714726564718728
3,167,0,Too Upright,,11.714726564718728
4,164,0,Too Upright,,11.714726564718728
5,162,0,Too Upright,,11.714726564718728
6,167,0,Too Upright,,11.714726564718728
7,168,0,Too Upright,,11.714726564718728
8,167,0,Too Upright,,11.714726564718728
9,163,0,Too Upright,,11.714726564718728
10,156,0,Good Depth,,11.714726564718728
11,159,0,Good Depth,,11.714726564718728
12,149,0,Good Depth,,11.714726564718728
13,147,0,Good Depth,,11.714726564718728
14,142,0,Good Depth,,11.714726564718728
15,139,0,Good Depth,,11.714726564718728
16,140,0,Good Depth,,11.714726564718728
17,136,0,Good Depth,,11.714726564718728
18,134,0,Good Depth,,11.714726564718728
19,130,0,Good Depth,,11.714726564718728
20,126,0,Good Depth,,11.714726564718728
21,120,0,Good Depth,,11.714726564718728
22,119,0,Good Depth,,11.714726564718728
23,117,0,Good Depth,,11.714726564718728
24,113,0,Good Depth,,11.714726564718728
25,111,0,Good Depth,,11.714726564718728
26,105,0,Good Depth,,11.714726564718728
27,103,0,Good Depth,,11.714726564718728
28,97,0,Good Depth,,11.714726564718728
29,92,0,Good Depth,,11.714726564718728
30,89,0,Good Depth,,11.714726564718728
31,87,0,Good Depth,,11.714726564718728
32,88,0,Good Depth,,11.714726564718728
33,83,0,Good Depth,,11.714726564718728
34,75,0,Good Depth,,11.714726564718728
35,68,0,Good Depth,,11.714726564718728
36,66,0,Good Depth,,11.714726564718728
37,68,0,Good Depth,,11.714726564718728
38,71,0,Good Depth,,11.714726564718728
39,70,0,Good Depth,,11.714726564718728
40,69,0,Good Depth,,11.714726564718728
41,69,0,Good Depth,,11.714726564718728
42,66,0,Good Depth,,11.714726564718728
43,65,0,Good Depth,,11.714726564718728
44,62,0,Good Depth,,11.714726564718728
45,62,0,Good Depth,,11.714726564718728
46,63,0,Good Depth,,11.714726564718728
47,63,0,Good Depth,,11.714726564718728
48,62,0,Good Depth,,11.714726564718728
49,62,0,Good Depth,,11.714726564718728
50,68,0,Good Depth,,11.714726564718728
51,70,0,Good Depth,,11.714726564718728
52,67,0,Good Depth,,11.714726564718728
53,74,0,Good Depth,,11.714726564718728
54,80,0,Good Depth,,11.714726564718728
55,88,0,Good Depth,,11.714726564718728
56,93,0,Good Depth,,11.714726564718728
57,97,0,Good Depth,,11.714726564718728
58,101,0,Good Depth,,11.714726564718728
59,107,0,Good Depth,,11.714726564718728
60,110,0,Good Depth,,11.714726564718728
61,116,0,Good Depth,,11.714726564718728
62,119,0,Good Depth,,11.714726564718728
63,125,0,Good Depth,,11.714726564718728
64,130,0,Good Depth,,11.714726564718728
65,132,0,Good Depth,,11.714726564718728
66,135,0,Good Depth,,11.714726564718728
67,136,0,Good Depth,,11.714726564718728
68,142,0,Good Depth,,11.714726564718728
69,146,0,Good Depth,,11.714726564718728
70,150,0,Good Depth,,11.714726564718728
71,160,0,Good Depth,,11.714726564718728
72,165,1,Too Upright,,11.714726564718728
73,168,1,Too Upright,,11.714726564718728
74,172,1,Too Upright,,11.714726564718728
75,173,1,Too Upright,,11.714726564718728
76,170,1,Too Upright,,11.714726564718728
77,171,1,Too Upright,,11.714726564718728
78,170,1,Too Upright,,11.714726564718728
79,169,1,Too Upright,,11.714726564718728
80,170,1,Too Upright,,11.714726564718728
81,169,1,Too Upright,,11.714726564718728
82,170,1,Too Upright,,11.714726564718728
83,170,1,Too Upright,,11.714726564718728
84,170,1,Too Upright,,11.714726564718728
85,170,1,Too Upright,,11.714726564718728
86,169,1,Too Upright,,11.714726564718728
87,168,1,Too Upright,,11.714726564718728
88,164,1,Too Upright,,11.714726564718728
89,160,1,Good Depth,,11.714726564718728
90,156,1,Good Depth,,11.714726564718728
91,150,1,Good Depth,,11.714726564718728
92,148,1,Good Depth,,11.714726564718728
93,144,1,Good Depth,,11.714726564718728
94,139,1,Good Depth,,11.714726564718728
95,137,1,Good Depth,,11.714726564718728
