frame,angle,reps,feedback,sway,fps
0,175,0,Too Upright,,12.583284960639755
1,175,0,Too Upright,,12.583284960639755
2,176,0,Too Upright,,12.583284960639755
3,178,0,Too Upright,,12.583284960639755
4,177,0,Too Upright,,12.583284960639755
5,177,0,Too Upright,,12.583284960639755
6,176,0,Too Upright,,12.583284960639755
7,174,0,Too Upright,,12.583284960639755
8,175,0,Too Upright,,12.583284960639755
9,176,0,Too Upright,,12.583284960639755
10,176,0,Too Upright,,12.583284960639755
11,176,0,Too Upright,,12.583284960639755
12,176,0,Too Upright,,12.583284960639755
13,177,0,Too Upright,,12.583284960639755
14,176,0,Too Upright,,12.583284960639755
15,175,0,Too Upright,,12.583284960639755
16,175,0,Too Upright,,12.583284960639755
17,175,0,Too Upright,,12.583284960639755
18,176,0,Too Upright,,12.583284960639755
19,175,0,Too Upright,,12.583284960639755
20,174,0,Too Upright,,12.583284960639755
21,175,0,Too Upright,,12.583284960639755
22,175,0,Too Upright,,12.583284960639755
23,175,0,Too Upright,,12.583284960639755
24,175,0,Too Upright,,12.583284960639755
25,175,0,Too Upright,,12.583284960639755
26,175,0,Too Upright,,12.583284960639755
27,174,0,Too Upright,,12.583284960639755
28,175,0,Too Upright,,12.583284960639755
29,175,0,Too Upright,,12.583284960639755
30,174,0,Too Upright,,12.583284960639755
31,174,0,Too Upright,,12.583284960639755
32,174,0,Too Upright,,12.583284960639755
33,173,0,Too Upright,,12.583284960639755
34,173,0,Too Upright,,12.583284960639755
35,172,0,Too Upright,,12.583284960639755
36,170,0,Too Upright,,12.583284960639755
37,164,0,Too Upright,,12.583284960639755
38,160,0,Good Depth,,12.583284960639755
39,153,0,Good Depth,,12.583284960639755
40,149,0,Good Depth,,12.583284960639755
41,142,0,Good Depth,,12.583284960639755
42,139,0,Good Depth,,12.583284960639755
43,132,0,Good Depth,,12.583284960639755
44,127,0,Good Depth,,12.583284960639755
45,123,0,Good Depth,,12.583284960639755
46,118,0,Good Depth,,12.583284960639755
47,115,0,Good Depth,,12.583284960639755
48,114,0,Good Depth,,12.583284960639755
49,113,0,Good Depth,,12.583284960639755
50,106,0,Good Depth,,12.583284960639755
51,101,0,Good Depth,,12.583284960639755
52,96,0,Good Depth,,12.583284960639755
53,92,0,Good Depth,,12.583284960639755
54,90,0,Good Depth,,12.583284960639755
55,86,0,Good Depth,,12.583284960639755
56,84,0,Good Depth,,12.583284960639755
57,82,0,Good Depth,,12.583284960639755
58,75,0,Good Depth,,12.583284960639755
59,72,0,Good Depth,,12.583284960639755
60,70,0,Good Depth,,12.583284960639755
61,68,0,Good Depth,,12.583284960639755
62,66,0,Good Depth,,12.583284960639755
63,65,0,Good Depth,,12.583284960639755
64,63,0,Good Depth,,12.583284960639755
65,64,0,Good Depth,,12.583284960639755
66,63,0,Good Depth,,12.583284960639755
67,63,0,Good Depth,,12.583284960639755
68,62,0,Good Depth,,12.583284960639755
69,61,0,Good Depth,,12.583284960639755
70,61,0,Good Depth,,12.583284960639755
71,60,0,Good Depth,,12.583284960639755
72,61,0,Good Depth,,12.583284960639755
73,62,0,Good Depth,,12.583284960639755
74,60,0,Good Depth,,12.583284960639755
75,61,0,Good Depth,,12.583284960639755
76,60,0,Good Depth,,12.583284960639755
77,61,0,Good Depth,,12.583284960639755
78,61,0,Good Depth,,12.583284960639755
79,62,0,Good Depth,,12.583284960639755
80,61,0,Good Depth,,12.583284960639755
81,61,0,Good Depth,,12.583284960639755
82,63,0,Good Depth,,12.583284960639755
83,64,0,Good Depth,,12.583284960639755
84,67,0,Good Depth,,12.583284960639755
85,67,0,Good Depth,,12.583284960639755
86,70,0,Good Depth,,12.583284960639755
87,73,0,Good Depth,,12.583284960639755
88,79,0,Good Depth,,12.583284960639755
89,83,0,Good Depth,,12.583284960639755
90,87,0,Good Depth,,12.583284960639755
91,90,0,Good Depth,,12.583284960639755
92,94,0,Good Depth,,12.583284960639755
93,101,0,Good Depth,,12.583284960639755
94,107,0,Good Depth,,12.583284960639755
95,111,0,Good Depth,,12.583284960639755
96,120,0,Good Depth,,12.583284960639755
97,126,0,Good Depth,,12.583284960639755
98,134,0,Good Depth,,12.583284960639755
99,139,0,Good Depth,,12.583284960639755
100,147,0,Good Depth,,12.583284960639755
101,153,0,Good Depth,,12.583284960639755
102,158,0,Good Depth,,12.583284960639755
103,161,1,Too Upright,,12.583284960639755
104,171,1,Too Upright,,12.583284960639755
105,176,1,Too Upright,,12.583284960639755
106,178,1,Too Upright,,12.583284960639755
107,178,1,Too Upright,,12.583284960639755
108,179,1,Too Upright,,12.583284960639755
109,178,1,Too Upright,,12.583284960639755
110,178,1,Too Upright,,12.583284960639755
111,179,1,Too Upright,,12.583284960639755
112,178,1,Too Upright,,12.583284960639755
113,177,1,Too Upright,,12.583284960639755
114,177,1,Too Upright,,12.583284960639755
115,178,1,Too Upright,,12.583284960639755
116,177,1,Too Upright,,12.583284960639755
117,177,1,Too Upright,,12.583284960639755
118,177,1,Too Upright,,12.583284960639755
119,177,1,Too Upright,,12.583284960639755
120,177,1,Too Upright,,12.583284960639755
121,178,1,Too Upright,,12.583284960639755
122,178,1,Too Upright,,12.583284960639755
123,178,1,Too Upright,,12.583284960639755
124,178,1,Too Upright,,12.583284960639755
125,178,1,Too Upright,,12.583284960639755
126,178,1,Too Upright,,12.583284960639755
127,178,1,Too Upright,,12.583284960639755
128,178,1,Too Upright,,12.583284960639755
129,177,1,Too Upright,,12.583284960639755
130,176,1,Too Upright,,12.583284960639755
131,174,1,Too Upright,,12.583284960639755
132,173,1,Too Upright,,12.583284960639755
133,168,1,Too Upright,,12.583284960639755
134,164,1,Too Upright,,12.583284960639755
135,160,1,Good Depth,,12.583284960639755
136,160,1,Good Depth,,12.583284960639755
137,157,1,Good Depth,,12.583284960639755
138,151,1,Good Depth,,12.583284960639755
139,147,1,Good Depth,,12.583284960639755
140,140,1,Good Depth,,12.583284960639755
141,138,1,Good Depth,,12.583284960639755
142,134,1,Good Depth,,12.583284960639755
143,128,1,Good Depth,,12.583284960639755
144,125,1,Good Depth,,12.583284960639755
145,120,1,Good Depth,,12.583284960639755
146,116,1,Good Depth,,12.583284960639755
147,111,1,Good Depth,,12.583284960639755
148,110,1,Good Depth,,12.583284960639755
149,107,1,Good Depth,,12.583284960639755
150,101,1,Good Depth,,12.583284960639755
151,97,1,Good Depth,,12.583284960639755
152,95,1,Good Depth,,12.583284960639755
153,89,1,Good Depth,,12.583284960639755
154,87,1,Good Depth,,12.583284960639755
155,85,1,Good Depth,,12.583284960639755
156,82,1,Good Depth,,12.583284960639755
157,80,1,Good Depth,,12.583284960639755
158,74,1,Good Depth,,12.583284960639755
159,73,1,Good Depth,,12.583284960639755
160,69,1,Good Depth,,12.583284960639755
161,65,1,Good Depth,,12.583284960639755
162,63,1,Good Depth,,12.583284960639755
163,64,1,Good Depth,,12.583284960639755
164,63,1,Good Depth,,12.583284960639755
165,62,1,Good Depth,,12.583284960639755
166,60,1,Good Depth,,12.583284960639755
167,64,1,Good Depth,,12.583284960639755
168,58,1,Too Deep!,,12.583284960639755
169,58,1,Too Deep!,,12.583284960639755
170,57,1,Too Deep!,,12.583284960639755
171,58,1,Too Deep!,,12.583284960639755
172,57,1,Too Deep!,,12.583284960639755
173,56,1,Too Deep!,,12.583284960639755
174,57,1,Too Deep!,,12.583284960639755
175,57,1,Too Deep!,,12.583284960639755
176,58,1,Too Deep!,,12.583284960639755
177,60,1,Good Depth,,12.583284960639755
178,63,1,Good Depth,,12.583284960639755
179,65,1,Good Depth,,12.583284960639755
180,67,1,Good Depth,,12.583284960639755
181,70,1,Good Depth,,12.583284960639755
182,74,1,Good Depth,,12.583284960639755
183,81,1,Good Depth,,12.583284960639755
184,86,1,Good Depth,,12.583284960639755
185,92,1,Good Depth,,12.583284960639755
186,97,1,Good Depth,,12.583284960639755
187,107,1,Good Depth,,12.583284960639755
188,113,1,Good Depth,,12.583284960639755
189,121,1,Good Depth,,12.583284960639755
190,127,1,Good Depth,,12.583284960639755
191,135,1,Good Depth,,12.583284960639755
192,143,1,Good Depth,,12.583284960639755
193,149,1,Good Depth,,12.583284960639755
194,153,1,Good Depth,,12.583284960639755
195,160,1,Good Depth,,12.583284960639755
196,167,2,Too Upright,,12.583284960639755
197,172,2,Too Upright,,12.583284960639755
198,178,2,Too Upright,,12.583284960639755
199,179,2,Too Upright,,12.583284960639755
200,179,2,Too Upright,,12.583284960639755
201,178,2,Too Upright,,12.583284960639755
202,178,2,Too Upright,,12.583284960639755
203,178,2,Too Upright,,12.583284960639755
204,177,2,Too Upright,,12.583284960639755
205,177,2,Too Upright,,12.583284960639755
206,178,2,Too Upright,,12.583284960639755
207,178,2,Too Upright,,12.583284960639755
208,178,2,Too Upright,,12.583284960639755
209,178,2,Too Upright,,12.583284960639755
210,178,2,Too Upright,,12.583284960639755
211,179,2,Too Upright,,12.583284960639755
212,179,2,Too Upright,,12.583284960639755
213,178,2,Too Upright,,12.583284960639755
214,178,2,Too Upright,,12.583284960639755
215,178,2,Too Upright,,12.583284960639755
216,179,2,Too Upright,,12.583284960639755
217,179,2,Too Upright,,12.583284960639755
218,178,2,Too Upright,,12.583284960639755
219,178,2,Too Upright,,12.583284960639755
220,178,2,Too Upright,,12.583284960639755
221,177,2,Too Upright,,12.583284960639755
222,179,2,Too Upright,,12.583284960639755
223,178,2,Too Upright,,12.583284960639755
224,178,2,Too Upright,,12.583284960639755
225,178,2,Too Upright,,12.583284960639755
