frame,angle,reps,feedback,sway,fps
0,172.0,0,Too Upright,,12.968567528143716
1,155.0,0,Good Depth,,12.968567528143716
2,,0,Good Depth,,12.968567528143716
3,,0,Good Depth,,12.968567528143716
4,,0,Good Depth,,12.968567528143716
5,,0,Good Depth,,12.968567528143716
6,,0,Good Depth,,12.968567528143716
7,,0,Good Depth,,12.968567528143716
8,,0,Good Depth,,12.968567528143716
9,,0,Good Depth,,12.968567528143716
10,,0,Good Depth,,12.968567528143716
11,,0,Good Depth,,12.968567528143716
12,,0,Good Depth,,12.968567528143716
13,,0,Good Depth,,12.968567528143716
14,,0,Good Depth,,12.968567528143716
15,,0,Good Depth,,12.968567528143716
16,,0,Good Depth,,12.968567528143716
17,,0,Good Depth,,12.968567528143716
18,,0,Good Depth,,12.968567528143716
19,,0,Good Depth,,12.968567528143716
20,,0,Good Depth,,12.968567528143716
21,,0,Good Depth,,12.968567528143716
22,168.0,0,Too Upright,,12.968567528143716
23,172.0,0,Too Upright,,12.968567528143716
24,163.0,0,Too Upright,,12.968567528143716
25,169.0,0,Too Upright,,12.968567528143716
26,163.0,0,Too Upright,,12.968567528143716
27,174.0,0,Too Upright,,12.968567528143716
28,174.0,0,Too Upright,,12.968567528143716
29,170.0,0,Too Upright,,12.968567528143716
30,173.0,0,Too Upright,,12.968567528143716
31,169.0,0,Too Upright,,12.968567528143716
32,177.0,0,Too Upright,,12.968567528143716
33,162.0,0,Too Upright,,12.968567528143716
34,168.0,0,Too Upright,,12.968567528143716
35,169.0,0,Too Upright,,12.968567528143716
36,167.0,0,Too Upright,,12.968567528143716
37,164.0,0,Too Upright,,12.968567528143716
38,172.0,0,Too Upright,,12.968567528143716
39,179.0,0,Too Upright,,12.968567528143716
40,174.0,0,Too Upright,,12.968567528143716
41,172.0,0,Too Upright,,12.968567528143716
42,170.0,0,Too Upright,,12.968567528143716
43,166.0,0,Too Upright,,12.968567528143716
44,168.0,0,Too Upright,,12.968567528143716
45,,0,Too Upright,,12.968567528143716
46,,0,Too Upright,,12.968567528143716
47,,0,Too Upright,,12.968567528143716
48,,0,Too Upright,,12.968567528143716
49,,0,Too Upright,,12.968567528143716
50,160.0,0,Good Depth,,12.968567528143716
51,,0,Good Depth,,12.968567528143716
52,,0,Good Depth,,12.968567528143716
53,,0,Good Depth,,12.968567528143716
54,163.0,0,Too Upright,,12.968567528143716
55,169.0,0,Too Upright,,12.968567528143716
56,173.0,0,Too Upright,,12.968567528143716
57,170.0,0,Too Upright,,12.968567528143716
58,177.0,0,Too Upright,,12.968567528143716
59,173.0,0,Too Upright,,12.968567528143716
60,175.0,0,Too Upright,,12.968567528143716
61,,0,Too Upright,,12.968567528143716
62,,0,Too Upright,,12.968567528143716
63,,0,Too Upright,,12.968567528143716
64,,0,Too Upright,,12.968567528143716
65,,0,Too Upright,,12.968567528143716
66,175.0,0,Too Upright,,12.968567528143716
67,,0,Too Upright,,12.968567528143716
68,,0,Too Upright,,12.968567528143716
69,174.0,0,Too Upright,,12.968567528143716
70,179.0,0,Too Upright,,12.968567528143716
71,,0,Too Upright,,12.968567528143716
72,,0,Too Upright,,12.968567528143716
73,,0,Too Upright,,12.968567528143716
74,,0,Too Upright,,12.968567528143716
75,,0,Too Upright,,12.968567528143716
76,,0,Too Upright,,12.968567528143716
77,176.0,0,Too Upright,,12.968567528143716
78,176.0,0,Too Upright,,12.968567528143716
79,173.0,0,Too Upright,,12.968567528143716
80,173.0,0,Too Upright,,12.968567528143716
81,175.0,0,Too Upright,,12.968567528143716
82,169.0,0,Too Upright,,12.968567528143716
83,173.0,0,Too Upright,,12.968567528143716
84,171.0,0,Too Upright,,12.968567528143716
85,173.0,0,Too Upright,,12.968567528143716
86,,0,Too Upright,,12.968567528143716
87,171.0,0,Too Upright,,12.968567528143716
88,,0,Too Upright,,12.968567528143716
89,170.0,0,Too Upright,,12.968567528143716
90,,0,Too Upright,,12.968567528143716
91,,0,Too Upright,,12.968567528143716
92,,0,Too Upright,,12.968567528143716
93,,0,Too Upright,,12.968567528143716
94,,0,Too Upright,,12.968567528143716
95,,0,Too Upright,,12.968567528143716
96,161.0,0,Too Upright,,12.968567528143716
97,165.0,0,Too Upright,,12.968567528143716
98,154.0,0,Good Depth,,12.968567528143716
99,147.0,0,Good Depth,,12.968567528143716
100,,0,Good Depth,,12.968567528143716
101,138.0,0,Good Depth,,12.968567528143716
