frame,angle,reps,feedback,sway,fps
0,142,0,Good Depth,,12.14918482988281
1,151,0,Good Depth,,12.14918482988281
2,156,0,Good Depth,,12.14918482988281
3,157,0,Good Depth,,12.14918482988281
4,148,0,Good Depth,,12.14918482988281
5,159,0,Good Depth,,12.14918482988281
6,154,0,Good Depth,,12.14918482988281
7,136,0,Good Depth,,12.14918482988281
8,153,0,Good Depth,,12.14918482988281
9,156,0,Good Depth,,12.14918482988281
10,162,0,Too Upright,,12.14918482988281
11,168,0,Too Upright,,12.14918482988281
12,169,0,Too Upright,,12.14918482988281
13,172,0,Too Upright,,12.14918482988281
14,168,0,Too Upright,,12.14918482988281
15,168,0,Too Upright,,12.14918482988281
16,172,0,Too Upright,,12.14918482988281
17,161,0,Too Upright,,12.14918482988281
18,165,0,Too Upright,,12.14918482988281
19,167,0,Too Upright,,12.14918482988281
20,169,0,Too Upright,,12.14918482988281
21,161,0,Too Upright,,12.14918482988281
22,152,0,Good Depth,,12.14918482988281
23,160,0,Good Depth,,12.14918482988281
24,159,0,Good Depth,,12.14918482988281
25,146,0,Good Depth,,12.14918482988281
26,146,0,Good Depth,,12.14918482988281
27,149,0,Good Depth,,12.14918482988281
28,158,0,Good Depth,,12.14918482988281
29,163,0,Too Upright,,12.14918482988281
30,170,0,Too Upright,,12.14918482988281
31,173,0,Too Upright,,12.14918482988281
32,175,0,Too Upright,,12.14918482988281
33,176,0,Too Upright,,12.14918482988281
34,176,0,Too Upright,,12.14918482988281
35,175,0,Too Upright,,12.14918482988281
36,172,0,Too Upright,,12.14918482988281
37,170,0,Too Upright,,12.14918482988281
38,170,0,Too Upright,,12.14918482988281
39,170,0,Too Upright,,12.14918482988281
40,165,0,Too Upright,,12.14918482988281
41,165,0,Too Upright,,12.14918482988281
42,159,0,Good Depth,,12.14918482988281
43,159,0,Good Depth,,12.14918482988281
44,166,0,Too Upright,,12.14918482988281
45,167,0,Too Upright,,12.14918482988281
46,169,0,Too Upright,,12.14918482988281
47,169,0,Too Upright,,12.14918482988281
48,165,0,Too Upright,,12.14918482988281
49,166,0,Too Upright,,12.14918482988281
50,165,0,Too Upright,,12.14918482988281
51,166,0,Too Upright,,12.14918482988281
52,168,0,Too Upright,,12.14918482988281
53,169,0,Too Upright,,12.14918482988281
54,170,0,Too Upright,,12.14918482988281
55,170,0,Too Upright,,12.14918482988281
56,169,0,Too Upright,,12.14918482988281
57,167,0,Too Upright,,12.14918482988281
58,169,0,Too Upright,,12.14918482988281
59,167,0,Too Upright,,12.14918482988281
60,166,0,Too Upright,,12.14918482988281
61,165,0,Too Upright,,12.14918482988281
62,166,0,Too Upright,,12.14918482988281
63,166,0,Too Upright,,12.14918482988281
64,165,0,Too Upright,,12.14918482988281
65,167,0,Too Upright,,12.14918482988281
66,167,0,Too Upright,,12.14918482988281
67,168,0,Too Upright,,12.14918482988281
68,167,0,Too Upright,,12.14918482988281
69,164,0,Too Upright,,12.14918482988281
70,163,0,Too Upright,,12.14918482988281
71,161,0,Too Upright,,12.14918482988281
72,161,0,Too Upright,,12.14918482988281
73,161,0,Too Upright,,12.14918482988281
74,162,0,Too Upright,,12.14918482988281
75,163,0,Too Upright,,12.14918482988281
76,165,0,Too Upright,,12.14918482988281
77,167,0,Too Upright,,12.14918482988281
78,167,0,Too Upright,,12.14918482988281
79,167,0,Too Upright,,12.14918482988281
80,168,0,Too Upright,,12.14918482988281
81,168,0,Too Upright,,12.14918482988281
82,168,0,Too Upright,,12.14918482988281
83,168,0,Too Upright,,12.14918482988281
84,169,0,Too Upright,,12.14918482988281
85,169,0,Too Upright,,12.14918482988281
86,170,0,Too Upright,,12.14918482988281
87,170,0,Too Upright,,12.14918482988281
88,170,0,Too Upright,,12.14918482988281
89,171,0,Too Upright,,12.14918482988281
90,170,0,Too Upright,,12.14918482988281
91,168,0,Too Upright,,12.14918482988281
92,165,0,Too Upright,,12.14918482988281
93,160,0,Good Depth,,12.14918482988281
94,156,0,Good Depth,,12.14918482988281
95,153,0,Good Depth,,12.14918482988281
