frame,angle,reps,feedback,sway,fps
0,175.0,0,Too Upright,,11.696209968953239
1,173.0,0,Too Upright,,11.696209968953239
2,173.0,0,Too Upright,,11.696209968953239
3,172.0,0,Too Upright,,11.696209968953239
4,174.0,0,Too Upright,,11.696209968953239
5,172.0,0,Too Upright,,11.696209968953239
6,175.0,0,Too Upright,,11.696209968953239
7,175.0,0,Too Upright,,11.696209968953239
8,172.0,0,Too Upright,,11.696209968953239
9,172.0,0,Too Upright,,11.696209968953239
10,173.0,0,Too Upright,1.0,11.696209968953239
11,174.0,0,Too Upright,1.0,11.696209968953239
12,174.0,0,Too Upright,1.0,11.696209968953239
13,175.0,0,Too Upright,1.0,11.696209968953239
14,171.0,0,Too Upright,1.0,11.696209968953239
15,170.0,0,Too Upright,2.0,11.696209968953239
16,170.0,0,Too Upright,3.0,11.696209968953239
17,172.0,0,Too Upright,3.0,11.696209968953239
18,170.0,0,Too Upright,2.0,11.696209968953239
19,171.0,0,Too Upright,3.0,11.696209968953239
20,170.0,0,Too Upright,3.0,11.696209968953239
21,171.0,0,Too Upright,4.0,11.696209968953239
22,170.0,0,Too Upright,4.0,11.696209968953239
23,171.0,0,Too Upright,4.0,11.696209968953239
24,172.0,0,Too Upright,3.0,11.696209968953239
25,169.0,0,Too Upright,2.0,11.696209968953239
26,172.0,0,Too Upright,3.0,11.696209968953239
27,171.0,0,Too Upright,3.0,11.696209968953239
28,173.0,0,Too Upright,3.0,11.696209968953239
29,174.0,0,Too Upright,3.0,11.696209968953239
30,174.0,0,Too Upright,3.0,11.696209968953239
31,174.0,0,Too Upright,4.0,11.696209968953239
32,171.0,0,Too Upright,6.0,11.696209968953239
33,172.0,0,Too Upright,7.0,11.696209968953239
34,172.0,0,Too Upright,8.0,11.696209968953239
35,172.0,0,Too Upright,8.0,11.696209968953239
36,173.0,0,Too Upright,8.0,11.696209968953239
37,174.0,0,Too Upright,6.0,11.696209968953239
38,173.0,0,Too Upright,6.0,11.696209968953239
39,172.0,0,Too Upright,5.0,11.696209968953239
40,174.0,0,Too Upright,4.0,11.696209968953239
41,174.0,0,Too Upright,2.0,11.696209968953239
42,172.0,0,Too Upright,2.0,11.696209968953239
43,173.0,0,Too Upright,2.0,11.696209968953239
44,172.0,0,Too Upright,2.0,11.696209968953239
45,172.0,0,Too Upright,2.0,11.696209968953239
46,174.0,0,Too Upright,2.0,11.696209968953239
