frame,angle,reps,feedback,sway,fps
0,175,0,Too Upright,,12.657358887319809
1,175,0,Too Upright,,12.657358887319809
2,174,0,Too Upright,,12.657358887319809
3,175,0,Too Upright,,12.657358887319809
4,175,0,Too Upright,,12.657358887319809
5,172,0,Too Upright,,12.657358887319809
6,174,0,Too Upright,,12.657358887319809
7,174,0,Too Upright,,12.657358887319809
8,174,0,Too Upright,,12.657358887319809
9,175,0,Too Upright,,12.657358887319809
10,173,0,Too Upright,1.0,12.657358887319809
11,174,0,Too Upright,1.0,12.657358887319809
12,173,0,Too Upright,1.0,12.657358887319809
13,173,0,Too Upright,1.0,12.657358887319809
14,173,0,Too Upright,1.0,12.657358887319809
15,174,0,Too Upright,2.0,12.657358887319809
16,174,0,Too Upright,3.0,12.657358887319809
17,175,0,Too Upright,3.0,12.657358887319809
18,175,0,Too Upright,2.0,12.657358887319809
19,173,0,Too Upright,3.0,12.657358887319809
20,174,0,Too Upright,3.0,12.657358887319809
21,172,0,Too Upright,4.0,12.657358887319809
22,172,0,Too Upright,4.0,12.657358887319809
23,171,0,Too Upright,4.0,12.657358887319809
24,173,0,Too Upright,3.0,12.657358887319809
25,174,0,Too Upright,2.0,12.657358887319809
26,172,0,Too Upright,3.0,12.657358887319809
27,175,0,Too Upright,3.0,12.657358887319809
28,173,0,Too Upright,3.0,12.657358887319809
29,176,0,Too Upright,3.0,12.657358887319809
30,174,0,Too Upright,3.0,12.657358887319809
31,173,0,Too Upright,4.0,12.657358887319809
32,174,0,Too Upright,6.0,12.657358887319809
33,175,0,Too Upright,7.0,12.657358887319809
34,174,0,Too Upright,8.0,12.657358887319809
35,174,0,Too Upright,8.0,12.657358887319809
36,175,0,Too Upright,8.0,12.657358887319809
37,173,0,Too Upright,6.0,12.657358887319809
38,172,0,Too Upright,6.0,12.657358887319809
39,173,0,Too Upright,5.0,12.657358887319809
40,173,0,Too Upright,4.0,12.657358887319809
41,173,0,Too Upright,2.0,12.657358887319809
42,173,0,Too Upright,2.0,12.657358887319809
43,172,0,Too Upright,2.0,12.657358887319809
44,172,0,Too Upright,2.0,12.657358887319809
45,173,0,Too Upright,2.0,12.657358887319809
46,172,0,Too Upright,2.0,12.657358887319809
47,173,0,Too Upright,1.0,12.657358887319809
48,173,0,Too Upright,1.0,12.657358887319809
49,173,0,Too Upright,1.0,12.657358887319809
50,173,0,Too Upright,1.0,12.657358887319809
51,173,0,Too Upright,1.0,12.657358887319809
52,173,0,Too Upright,1.0,12.657358887319809
53,173,0,Too Upright,1.0,12.657358887319809
54,172,0,Too Upright,2.0,12.657358887319809
55,173,0,Too Upright,2.0,12.657358887319809
56,173,0,Too Upright,3.0,12.657358887319809
57,173,0,Too Upright,5.0,12.657358887319809
58,172,0,Too Upright,5.0,12.657358887319809
59,174,0,Too Upright,4.0,12.657358887319809
60,173,0,Too Upright,5.0,12.657358887319809
61,174,0,Too Upright,5.0,12.657358887319809
62,175,0,Too Upright,5.0,12.657358887319809
63,174,0,Too Upright,4.0,12.657358887319809
64,174,0,Too Upright,4.0,12.657358887319809
65,175,0,Too Upright,3.0,12.657358887319809
66,174,0,Too Upright,1.0,12.657358887319809
67,175,0,Too Upright,1.0,12.657358887319809
68,174,0,Too Upright,1.0,12.657358887319809
69,174,0,Too Upright,2.0,12.657358887319809
70,175,0,Too Upright,2.0,12.657358887319809
71,175,0,Too Upright,2.0,12.657358887319809
72,174,0,Too Upright,2.0,12.657358887319809
73,174,0,Too Upright,1.0,12.657358887319809
74,174,0,Too Upright,1.0,12.657358887319809
75,173,0,Too Upright,1.0,12.657358887319809
76,173,0,Too Upright,1.0,12.657358887319809
77,171,0,Too Upright,2.0,12.657358887319809
78,172,0,Too Upright,2.0,12.657358887319809
79,173,0,Too Upright,2.0,12.657358887319809
80,173,0,Too Upright,2.0,12.657358887319809
81,173,0,Too Upright,2.0,12.657358887319809
82,174,0,Too Upright,2.0,12.657358887319809
83,173,0,Too Upright,3.0,12.657358887319809
84,173,0,Too Upright,3.0,12.657358887319809
85,172,0,Too Upright,3.0,12.657358887319809
86,172,0,Too Upright,3.0,12.657358887319809
87,172,0,Too Upright,3.0,12.657358887319809
88,171,0,Too Upright,3.0,12.657358887319809
89,172,0,Too Upright,3.0,12.657358887319809
90,171,0,Too Upright,3.0,12.657358887319809
91,172,0,Too Upright,3.0,12.657358887319809
92,172,0,Too Upright,4.0,12.657358887319809
93,172,0,Too Upright,5.0,12.657358887319809
94,174,0,Too Upright,5.0,12.657358887319809
95,173,0,Too Upright,5.0,12.657358887319809
96,173,0,Too Upright,5.0,12.657358887319809
97,174,0,Too Upright,5.0,12.657358887319809
98,173,0,Too Upright,8.0,12.657358887319809
99,173,0,Too Upright,9.0,12.657358887319809
100,173,0,Too Upright,10.0,12.657358887319809
101,172,0,Too Upright,10.0,12.657358887319809
102,173,0,Too Upright,10.0,12.657358887319809
103,172,0,Too Upright,8.0,12.657358887319809
104,172,0,Too Upright,7.0,12.657358887319809
105,173,0,Too Upright,7.0,12.657358887319809
106,173,0,Too Upright,7.0,12.657358887319809
107,173,0,Too Upright,5.0,12.657358887319809
108,172,0,Too Upright,5.0,12.657358887319809
109,173,0,Too Upright,5.0,12.657358887319809
110,173,0,Too Upright,5.0,12.657358887319809
111,174,0,Too Upright,3.0,12.657358887319809
112,174,0,Too Upright,3.0,12.657358887319809
113,174,0,Too Upright,4.0,12.657358887319809
114,174,0,Too Upright,3.0,12.657358887319809
115,174,0,Too Upright,3.0,12.657358887319809
116,174,0,Too Upright,1.0,12.657358887319809
117,173,0,Too Upright,2.0,12.657358887319809
118,174,0,Too Upright,3.0,12.657358887319809
119,174,0,Too Upright,3.0,12.657358887319809
120,173,0,Too Upright,3.0,12.657358887319809
121,173,0,Too Upright,3.0,12.657358887319809
122,173,0,Too Upright,2.0,12.657358887319809
123,174,0,Too Upright,2.0,12.657358887319809
124,173,0,Too Upright,2.0,12.657358887319809
125,173,0,Too Upright,2.0,12.657358887319809
126,173,0,Too Upright,2.0,12.657358887319809
127,173,0,Too Upright,3.0,12.657358887319809
128,173,0,Too Upright,3.0,12.657358887319809
129,174,0,Too Upright,3.0,12.657358887319809
130,172,0,Too Upright,3.0,12.657358887319809
131,173,0,Too Upright,2.0,12.657358887319809
132,173,0,Too Upright,1.0,12.657358887319809
133,172,0,Too Upright,1.0,12.657358887319809
134,172,0,Too Upright,1.0,12.657358887319809
135,172,0,Too Upright,1.0,12.657358887319809
136,171,0,Too Upright,0.0,12.657358887319809
137,171,0,Too Upright,0.0,12.657358887319809
138,171,0,Too Upright,0.0,12.657358887319809
139,168,0,Too Upright,0.0,12.657358887319809
140,168,0,Too Upright,0.0,12.657358887319809
141,166,0,Too Upright,0.0,12.657358887319809
142,165,0,Too Upright,0.0,12.657358887319809
143,163,0,Too Upright,0.0,12.657358887319809
144,160,0,Good Depth,2.0,12.657358887319809
145,154,0,Good Depth,2.0,12.657358887319809
146,151,0,Good Depth,2.0,12.657358887319809
147,148,0,Good Depth,4.0,12.657358887319809
148,145,0,Good Depth,5.0,12.657358887319809
149,139,0,Good Depth,5.0,12.657358887319809
150,139,0,Good Depth,5.0,12.657358887319809
151,135,0,Good Depth,6.0,12.657358887319809
152,132,0,Good Depth,7.0,12.657358887319809
153,129,0,Good Depth,6.0,12.657358887319809
154,127,0,Good Depth,7.0,12.657358887319809
155,123,0,Good Depth,6.0,12.657358887319809
156,123,0,Good Depth,4.0,12.657358887319809
157,120,0,Good Depth,3.0,12.657358887319809
158,120,0,Good Depth,4.0,12.657358887319809
159,118,0,Good Depth,5.0,12.657358887319809
160,119,0,Good Depth,4.0,12.657358887319809
161,115,0,Good Depth,3.0,12.657358887319809
162,113,0,Good Depth,5.0,12.657358887319809
163,110,0,Good Depth,5.0,12.657358887319809
164,108,0,Good Depth,5.0,12.657358887319809
165,106,0,Good Depth,5.0,12.657358887319809
166,102,0,Good Depth,5.0,12.657358887319809
167,98,0,Good Depth,4.0,12.657358887319809
168,98,0,Good Depth,4.0,12.657358887319809
169,95,0,Good Depth,4.0,12.657358887319809
170,97,0,Good Depth,5.0,12.657358887319809
171,96,0,Good Depth,3.0,12.657358887319809
172,93,0,Good Depth,3.0,12.657358887319809
173,88,0,Good Depth,3.0,12.657358887319809
174,86,0,Good Depth,2.0,12.657358887319809
175,83,0,Good Depth,2.0,12.657358887319809
176,84,0,Good Depth,2.0,12.657358887319809
177,92,0,Good Depth,2.0,12.657358887319809
178,84,0,Good Depth,2.0,12.657358887319809
179,88,0,Good Depth,2.0,12.657358887319809
180,88,0,Good Depth,1.0,12.657358887319809
181,93,0,Good Depth,1.0,12.657358887319809
182,95,0,Good Depth,2.0,12.657358887319809
183,68,0,Good Depth,2.0,12.657358887319809
184,82,0,Good Depth,2.0,12.657358887319809
