frame,angle,reps,feedback,sway,fps
0,173.0,0,Too Upright,,13.224830037971344
1,171.0,0,Too Upright,,13.224830037971344
2,172.0,0,Too Upright,,13.224830037971344
3,172.0,0,Too Upright,,13.224830037971344
4,179.0,0,Too Upright,,13.224830037971344
5,,0,Too Upright,,13.224830037971344
6,,0,Too Upright,,13.224830037971344
7,,0,Too Upright,,13.224830037971344
8,144.0,0,Good Depth,,13.224830037971344
9,144.0,0,Good Depth,,13.224830037971344
10,132.0,0,Good Depth,,13.224830037971344
11,127.0,0,Good Depth,,13.224830037971344
12,129.0,0,Good Depth,,13.224830037971344
13,121.0,0,Good Depth,,13.224830037971344
14,115.0,0,Good Depth,,13.224830037971344
15,114.0,0,Good Depth,,13.224830037971344
16,121.0,0,Good Depth,37.0,13.224830037971344
17,121.0,0,Good Depth,37.0,13.224830037971344
18,125.0,0,Good Depth,37.0,13.224830037971344
19,110.0,0,Good Depth,57.0,13.224830037971344
20,105.0,0,Good Depth,59.0,13.224830037971344
21,105.0,0,Good Depth,59.0,13.224830037971344
22,103.0,0,Good Depth,61.0,13.224830037971344
23,105.0,0,Good Depth,61.0,13.224830037971344
24,104.0,0,Good Depth,64.0,13.224830037971344
25,102.0,0,Good Depth,53.0,13.224830037971344
26,102.0,0,Good Depth,53.0,13.224830037971344
27,104.0,0,Good Depth,38.0,13.224830037971344
28,107.0,0,Good Depth,40.0,13.224830037971344
29,107.0,0,Good Depth,22.0,13.224830037971344
30,104.0,0,Good Depth,20.0,13.224830037971344
31,100.0,0,Good Depth,20.0,13.224830037971344
32,104.0,0,Good Depth,20.0,13.224830037971344
33,104.0,0,Good Depth,20.0,13.224830037971344
34,115.0,0,Good Depth,20.0,13.224830037971344
35,117.0,0,Good Depth,20.0,13.224830037971344
36,121.0,0,Good Depth,20.0,13.224830037971344
37,128.0,0,Good Depth,18.0,13.224830037971344
38,134.0,0,Good Depth,10.0,13.224830037971344
39,134.0,0,Good Depth,9.0,13.224830037971344
40,,0,Good Depth,6.0,13.224830037971344
41,,0,Good Depth,6.0,13.224830037971344
42,,0,Good Depth,5.0,13.224830037971344
43,175.0,0,Too Upright,6.0,13.224830037971344
44,176.0,0,Too Upright,7.0,13.224830037971344
45,176.0,0,Too Upright,7.0,13.224830037971344
46,177.0,0,Too Upright,5.0,13.224830037971344
47,178.0,0,Too Upright,4.0,13.224830037971344
48,177.0,0,Too Upright,5.0,13.224830037971344
49,175.0,0,Too Upright,9.0,13.224830037971344
50,179.0,0,Too Upright,11.0,13.224830037971344
51,179.0,0,Too Upright,9.0,13.224830037971344
52,174.0,0,Too Upright,8.0,13.224830037971344
53,176.0,0,Too Upright,8.0,13.224830037971344
54,177.0,0,Too Upright,9.0,13.224830037971344
55,175.0,0,Too Upright,9.0,13.224830037971344
56,172.0,0,Too Upright,10.0,13.224830037971344
57,171.0,0,Too Upright,9.0,13.224830037971344
58,159.0,0,Good Depth,6.0,13.224830037971344
59,155.0,0,Good Depth,5.0,13.224830037971344
60,,0,Good Depth,5.0,13.224830037971344
61,140.0,0,Good Depth,5.0,13.224830037971344
62,131.0,0,Good Depth,4.0,13.224830037971344
63,130.0,0,Good Depth,3.0,13.224830037971344
64,124.0,0,Good Depth,3.0,13.224830037971344
65,119.0,0,Good Depth,5.0,13.224830037971344
66,109.0,0,Good Depth,5.0,13.224830037971344
67,105.0,0,Good Depth,5.0,13.224830037971344
68,101.0,0,Good Depth,5.0,13.224830037971344
69,103.0,0,Good Depth,5.0,13.224830037971344
70,101.0,0,Good Depth,5.0,13.224830037971344
71,102.0,0,Good Depth,5.0,13.224830037971344
72,100.0,0,Good Depth,9.0,13.224830037971344
73,100.0,0,Good Depth,9.0,13.224830037971344
74,100.0,0,Good Depth,9.0,13.224830037971344
75,100.0,0,Good Depth,9.0,13.224830037971344
76,99.0,0,Good Depth,9.0,13.224830037971344
77,96.0,0,Good Depth,9.0,13.224830037971344
78,96.0,0,Good Depth,9.0,13.224830037971344
79,102.0,0,Good Depth,9.0,13.224830037971344
80,112.0,0,Good Depth,9.0,13.224830037971344
81,112.0,0,Good Depth,9.0,13.224830037971344
82,118.0,0,Good Depth,9.0,13.224830037971344
83,124.0,0,Good Depth,9.0,13.224830037971344
84,133.0,0,Good Depth,9.0,13.224830037971344
85,148.0,0,Good Depth,9.0,13.224830037971344
86,150.0,0,Good Depth,9.0,13.224830037971344
87,149.0,0,Good Depth,5.0,13.224830037971344
