frame,angle,reps,feedback,sway,fps
0,158,0,Good Depth,,12.071222077949534
1,159,0,Good Depth,,12.071222077949534
2,159,0,Good Depth,,12.071222077949534
3,159,0,Good Depth,,12.071222077949534
4,156,0,Good Depth,,12.071222077949534
5,149,0,Good Depth,,12.071222077949534
6,146,0,Good Depth,,12.071222077949534
7,138,0,Good Depth,,12.071222077949534
8,131,0,Good Depth,,12.071222077949534
9,131,0,Good Depth,,12.071222077949534
10,128,0,Good Depth,,12.071222077949534
11,121,0,Good Depth,,12.071222077949534
12,121,0,Good Depth,,12.071222077949534
13,124,0,Good Depth,,12.071222077949534
14,123,0,Good Depth,,12.071222077949534
15,123,0,Good Depth,,12.071222077949534
16,116,0,Good Depth,37.0,12.071222077949534
17,119,0,Good Depth,37.0,12.071222077949534
18,110,0,Good Depth,37.0,12.071222077949534
19,107,0,Good Depth,57.0,12.071222077949534
20,104,0,Good Depth,59.0,12.071222077949534
21,104,0,Good Depth,59.0,12.071222077949534
22,106,0,Good Depth,61.0,12.071222077949534
23,104,0,Good Depth,61.0,12.071222077949534
24,102,0,Good Depth,64.0,12.071222077949534
25,101,0,Good Depth,53.0,12.071222077949534
26,102,0,Good Depth,53.0,12.071222077949534
27,102,0,Good Depth,38.0,12.071222077949534
28,101,0,Good Depth,40.0,12.071222077949534
29,102,0,Good Depth,22.0,12.071222077949534
30,105,0,Good Depth,20.0,12.071222077949534
31,108,0,Good Depth,20.0,12.071222077949534
32,112,0,Good Depth,20.0,12.071222077949534
33,112,0,Good Depth,20.0,12.071222077949534
34,117,0,Good Depth,20.0,12.071222077949534
35,119,0,Good Depth,20.0,12.071222077949534
36,116,0,Good Depth,20.0,12.071222077949534
37,115,0,Good Depth,18.0,12.071222077949534
38,132,0,Good Depth,10.0,12.071222077949534
39,132,0,Good Depth,9.0,12.071222077949534
40,134,0,Good Depth,6.0,12.071222077949534
41,150,0,Good Depth,6.0,12.071222077949534
42,156,0,Good Depth,5.0,12.071222077949534
43,164,0,Too Upright,6.0,12.071222077949534
44,163,0,Too Upright,7.0,12.071222077949534
45,163,0,Too Upright,7.0,12.071222077949534
46,170,0,Too Upright,5.0,12.071222077949534
47,171,0,Too Upright,4.0,12.071222077949534
48,171,0,Too Upright,5.0,12.071222077949534
49,167,0,Too Upright,9.0,12.071222077949534
50,168,0,Too Upright,11.0,12.071222077949534
51,168,0,Too Upright,9.0,12.071222077949534
52,163,0,Too Upright,8.0,12.071222077949534
53,164,0,Too Upright,8.0,12.071222077949534
54,164,0,Too Upright,9.0,12.071222077949534
55,161,0,Too Upright,9.0,12.071222077949534
56,162,0,Too Upright,10.0,12.071222077949534
57,162,0,Too Upright,9.0,12.071222077949534
58,156,0,Good Depth,6.0,12.071222077949534
59,151,0,Good Depth,5.0,12.071222077949534
60,144,0,Good Depth,5.0,12.071222077949534
61,135,0,Good Depth,5.0,12.071222077949534
62,125,0,Good Depth,4.0,12.071222077949534
63,125,0,Good Depth,3.0,12.071222077949534
64,121,0,Good Depth,3.0,12.071222077949534
65,120,0,Good Depth,5.0,12.071222077949534
66,116,0,Good Depth,5.0,12.071222077949534
67,114,0,Good Depth,5.0,12.071222077949534
68,117,0,Good Depth,5.0,12.071222077949534
69,117,0,Good Depth,5.0,12.071222077949534
70,112,0,Good Depth,5.0,12.071222077949534
71,107,0,Good Depth,5.0,12.071222077949534
72,109,0,Good Depth,9.0,12.071222077949534
73,114,0,Good Depth,9.0,12.071222077949534
74,116,0,Good Depth,9.0,12.071222077949534
75,116,0,Good Depth,9.0,12.071222077949534
76,115,0,Good Depth,9.0,12.071222077949534
77,113,0,Good Depth,9.0,12.071222077949534
78,114,0,Good Depth,9.0,12.071222077949534
79,115,0,Good Depth,9.0,12.071222077949534
80,115,0,Good Depth,9.0,12.071222077949534
81,114,0,Good Depth,9.0,12.071222077949534
82,115,0,Good Depth,9.0,12.071222077949534
83,121,0,Good Depth,9.0,12.071222077949534
84,129,0,Good Depth,9.0,12.071222077949534
85,139,0,Good Depth,9.0,12.071222077949534
86,148,0,Good Depth,9.0,12.071222077949534
87,148,0,Good Depth,5.0,12.071222077949534
88,156,0,Good Depth,6.0,12.071222077949534
89,162,0,Too Upright,6.0,12.071222077949534
