frame,angle,reps,feedback,sway,fps
0,167.0,0,Too Upright,,12.926593235620917
1,166.0,0,Too Upright,,12.926593235620917
2,170.0,0,Too Upright,,12.926593235620917
3,174.0,0,Too Upright,,12.926593235620917
4,171.0,0,Too Upright,,12.926593235620917
5,171.0,0,Too Upright,,12.926593235620917
6,169.0,0,Too Upright,,12.926593235620917
7,175.0,0,Too Upright,,12.926593235620917
8,160.0,0,Good Depth,,12.926593235620917
9,154.0,0,Good Depth,,12.926593235620917
10,147.0,0,Good Depth,,12.926593235620917
11,155.0,0,Good Depth,,12.926593235620917
12,153.0,0,Good Depth,,12.926593235620917
13,160.0,0,Good Depth,,12.926593235620917
14,168.0,0,Too Upright,,12.926593235620917
15,169.0,0,Too Upright,,12.926593235620917
16,174.0,0,Too Upright,,12.926593235620917
17,174.0,0,Too Upright,,12.926593235620917
18,174.0,0,Too Upright,,12.926593235620917
19,170.0,0,Too Upright,,12.926593235620917
20,168.0,0,Too Upright,,12.926593235620917
21,163.0,0,Too Upright,,12.926593235620917
22,162.0,0,Too Upright,,12.926593235620917
23,161.0,0,Too Upright,,12.926593235620917
24,162.0,0,Too Upright,,12.926593235620917
25,164.0,0,Too Upright,,12.926593235620917
26,167.0,0,Too Upright,,12.926593235620917
27,169.0,0,Too Upright,,12.926593235620917
28,160.0,0,Good Depth,,12.926593235620917
29,146.0,0,Good Depth,,12.926593235620917
30,135.0,0,Good Depth,,12.926593235620917
31,123.0,0,Good Depth,,12.926593235620917
32,122.0,0,Good Depth,,12.926593235620917
33,110.0,0,Good Depth,,12.926593235620917
34,105.0,0,Good Depth,,12.926593235620917
35,105.0,0,Good Depth,,12.926593235620917
36,105.0,0,Good Depth,,12.926593235620917
37,105.0,0,Good Depth,,12.926593235620917
38,96.0,0,Good Depth,,12.926593235620917
39,90.0,0,Good Depth,,12.926593235620917
40,86.0,0,Good Depth,,12.926593235620917
41,86.0,0,Good Depth,,12.926593235620917
42,87.0,0,Good Depth,,12.926593235620917
43,86.0,0,Good Depth,,12.926593235620917
44,86.0,0,Good Depth,,12.926593235620917
