frame,angle,reps,feedback,sway,fps
0,170,0,Too Upright,,10.877064819297152
1,170,0,Too Upright,,10.877064819297152
2,172,0,Too Upright,,10.877064819297152
3,174,0,Too Upright,,10.877064819297152
4,174,0,Too Upright,,10.877064819297152
5,176,0,Too Upright,,10.877064819297152
6,173,0,Too Upright,,10.877064819297152
7,170,0,Too Upright,,10.877064819297152
8,164,0,Too Upright,,10.877064819297152
9,159,0,Good Depth,,10.877064819297152
10,159,0,Good Depth,,10.877064819297152
11,161,0,Too Upright,,10.877064819297152
12,162,0,Too Upright,,10.877064819297152
13,163,0,Too Upright,,10.877064819297152
14,167,0,Too Upright,,10.877064819297152
15,172,0,Too Upright,,10.877064819297152
16,174,0,Too Upright,,10.877064819297152
17,175,0,Too Upright,,10.877064819297152
18,173,0,Too Upright,,10.877064819297152
19,175,0,Too Upright,,10.877064819297152
20,173,0,Too Upright,,10.877064819297152
21,171,0,Too Upright,,10.877064819297152
22,169,0,Too Upright,,10.877064819297152
23,167,0,Too Upright,,10.877064819297152
24,168,0,Too Upright,,10.877064819297152
25,167,0,Too Upright,,10.877064819297152
26,166,0,Too Upright,,10.877064819297152
27,166,0,Too Upright,,10.877064819297152
28,162,0,Too Upright,,10.877064819297152
29,154,0,Good Depth,,10.877064819297152
30,149,0,Good Depth,,10.877064819297152
31,143,0,Good Depth,,10.877064819297152
32,141,0,Good Depth,,10.877064819297152
33,131,0,Good Depth,,10.877064819297152
34,124,0,Good Depth,,10.877064819297152
35,118,0,Good Depth,,10.877064819297152
36,112,0,Good Depth,,10.877064819297152
37,104,0,Good Depth,,10.877064819297152
38,102,0,Good Depth,,10.877064819297152
39,101,0,Good Depth,,10.877064819297152
40,99,0,Good Depth,,10.877064819297152
41,96,0,Good Depth,,10.877064819297152
42,92,0,Good Depth,,10.877064819297152
43,91,0,Good Depth,,10.877064819297152
44,95,0,Good Depth,,10.877064819297152
45,94,0,Good Depth,,10.877064819297152
46,98,0,Good Depth,,10.877064819297152
47,100,0,Good Depth,,10.877064819297152
48,106,0,Good Depth,,10.877064819297152
49,111,0,Good Depth,,10.877064819297152
50,115,0,Good Depth,,10.877064819297152
