frame,angle,reps,feedback,sway,fps
0,171,0,Too Upright,,13.061170751058235
1,172,0,Too Upright,,13.061170751058235
2,169,0,Too Upright,,13.061170751058235
3,168,0,Too Upright,,13.061170751058235
4,168,0,Too Upright,,13.061170751058235
5,165,0,Too Upright,,13.061170751058235
6,165,0,Too Upright,,13.061170751058235
7,167,0,Too Upright,,13.061170751058235
8,164,0,Too Upright,,13.061170751058235
9,162,0,Too Upright,,13.061170751058235
10,160,0,Good Depth,,13.061170751058235
11,154,0,Good Depth,,13.061170751058235
12,151,0,Good Depth,,13.061170751058235
13,150,0,Good Depth,,13.061170751058235
14,146,0,Good Depth,,13.061170751058235
15,142,0,Good Depth,,13.061170751058235
16,140,0,Good Depth,,13.061170751058235
17,130,0,Good Depth,,13.061170751058235
18,123,0,Good Depth,,13.061170751058235
19,116,0,Good Depth,,13.061170751058235
20,117,0,Good Depth,,13.061170751058235
21,116,0,Good Depth,,13.061170751058235
22,110,0,Good Depth,,13.061170751058235
23,108,0,Good Depth,,13.061170751058235
24,103,0,Good Depth,,13.061170751058235
25,100,0,Good Depth,,13.061170751058235
26,100,0,Good Depth,,13.061170751058235
27,95,0,Good Depth,,13.061170751058235
28,93,0,Good Depth,,13.061170751058235
29,89,0,Good Depth,,13.061170751058235
30,86,0,Good Depth,,13.061170751058235
31,83,0,Good Depth,,13.061170751058235
32,75,0,Good Depth,,13.061170751058235
33,75,0,Good Depth,,13.061170751058235
34,71,0,Good Depth,,13.061170751058235
35,70,0,Good Depth,,13.061170751058235
36,71,0,Good Depth,,13.061170751058235
37,67,0,Good Depth,,13.061170751058235
38,66,0,Good Depth,,13.061170751058235
39,67,0,Good Depth,,13.061170751058235
40,66,0,Good Depth,,13.061170751058235
41,66,0,Good Depth,,13.061170751058235
42,65,0,Good Depth,,13.061170751058235
43,66,0,Good Depth,,13.061170751058235
44,65,0,Good Depth,,13.061170751058235
45,65,0,Good Depth,,13.061170751058235
46,65,0,Good Depth,,13.061170751058235
47,65,0,Good Depth,,13.061170751058235
48,65,0,Good Depth,,13.061170751058235
49,66,0,Good Depth,,13.061170751058235
50,67,0,Good Depth,,13.061170751058235
51,71,0,Good Depth,,13.061170751058235
52,74,0,Good Depth,,13.061170751058235
53,79,0,Good Depth,,13.061170751058235
54,80,0,Good Depth,,13.061170751058235
55,85,0,Good Depth,,13.061170751058235
56,91,0,Good Depth,,13.061170751058235
57,95,0,Good Depth,,13.061170751058235
58,101,0,Good Depth,,13.061170751058235
59,106,0,Good Depth,,13.061170751058235
60,109,0,Good Depth,,13.061170751058235
61,115,0,Good Depth,,13.061170751058235
62,117,0,Good Depth,,13.061170751058235
63,123,0,Good Depth,,13.061170751058235
64,130,0,Good Depth,,13.061170751058235
65,135,0,Good Depth,,13.061170751058235
66,139,0,Good Depth,,13.061170751058235
67,142,0,Good Depth,,13.061170751058235
68,149,0,Good Depth,,13.061170751058235
69,154,0,Good Depth,,13.061170751058235
70,160,0,Good Depth,,13.061170751058235
71,164,1,Too Upright,,13.061170751058235
72,172,1,Too Upright,,13.061170751058235
73,173,1,Too Upright,,13.061170751058235
74,175,1,Too Upright,,13.061170751058235
75,173,1,Too Upright,,13.061170751058235
76,172,1,Too Upright,,13.061170751058235
77,170,1,Too Upright,,13.061170751058235
78,171,1,Too Upright,,13.061170751058235
79,169,1,Too Upright,,13.061170751058235
80,169,1,Too Upright,,13.061170751058235
81,170,1,Too Upright,,13.061170751058235
82,171,1,Too Upright,,13.061170751058235
83,172,1,Too Upright,,13.061170751058235
84,172,1,Too Upright,,13.061170751058235
85,172,1,Too Upright,,13.061170751058235
86,169,1,Too Upright,,13.061170751058235
87,165,1,Too Upright,,13.061170751058235
88,161,1,Too Upright,,13.061170751058235
89,161,1,Too Upright,,13.061170751058235
90,158,1,Good Depth,,13.061170751058235
91,154,1,Good Depth,,13.061170751058235
92,151,1,Good Depth,,13.061170751058235
93,149,1,Good Depth,,13.061170751058235
94,146,1,Good Depth,,13.061170751058235
95,140,1,Good Depth,,13.061170751058235
96,137,1,Good Depth,,13.061170751058235
97,131,1,Good Depth,,13.061170751058235
98,126,1,Good Depth,,13.061170751058235
99,122,1,Good Depth,,13.061170751058235
100,117,1,Good Depth,,13.061170751058235
101,113,1,Good Depth,,13.061170751058235
102,110,1,Good Depth,,13.061170751058235
103,105,1,Good Depth,,13.061170751058235
104,102,1,Good Depth,,13.061170751058235
105,99,1,Good Depth,,13.061170751058235
106,95,1,Good Depth,,13.061170751058235
107,91,1,Good Depth,,13.061170751058235
108,85,1,Good Depth,,13.061170751058235
109,86,1,Good Depth,,13.061170751058235
110,83,1,Good Depth,,13.061170751058235
111,77,1,Good Depth,,13.061170751058235
112,70,1,Good Depth,,13.061170751058235
113,71,1,Good Depth,,13.061170751058235
114,70,1,Good Depth,,13.061170751058235
115,66,1,Good Depth,,13.061170751058235
116,64,1,Good Depth,,13.061170751058235
117,66,1,Good Depth,,13.061170751058235
118,63,1,Good Depth,,13.061170751058235
119,62,1,Good Depth,,13.061170751058235
120,61,1,Good Depth,,13.061170751058235
121,61,1,Good Depth,,13.061170751058235
122,62,1,Good Depth,,13.061170751058235
123,61,1,Good Depth,,13.061170751058235
124,62,1,Good Depth,,13.061170751058235
125,63,1,Good Depth,,13.061170751058235
