frame,angle,reps,feedback,sway,fps
0,171,0,Too Upright,,12.099133959535889
1,171,0,Too Upright,,12.099133959535889
2,170,0,Too Upright,,12.099133959535889
3,170,0,Too Upright,,12.099133959535889
4,169,0,Too Upright,,12.099133959535889
5,170,0,Too Upright,,12.099133959535889
6,169,0,Too Upright,,12.099133959535889
7,169,0,Too Upright,,12.099133959535889
8,166,0,Too Upright,,12.099133959535889
9,166,0,Too Upright,,12.099133959535889
10,164,0,Too Upright,0.0,12.099133959535889
11,164,0,Too Upright,0.0,12.099133959535889
12,162,0,Too Upright,0.0,12.099133959535889
13,161,0,Too Upright,0.0,12.099133959535889
14,159,0,Good Depth,0.0,12.099133959535889
15,158,0,Good Depth,0.0,12.099133959535889
16,156,0,Good Depth,0.0,12.099133959535889
17,159,0,Good Depth,0.0,12.099133959535889
18,160,0,Good Depth,0.0,12.099133959535889
19,161,0,Too Upright,0.0,12.099133959535889
20,163,0,Too Upright,0.0,12.099133959535889
21,166,0,Too Upright,0.0,12.099133959535889
22,168,0,Too Upright,0.0,12.099133959535889
23,170,0,Too Upright,0.0,12.099133959535889
24,170,0,Too Upright,0.0,12.099133959535889
25,172,0,Too Upright,0.0,12.099133959535889
26,172,0,Too Upright,0.0,12.099133959535889
27,172,0,Too Upright,0.0,12.099133959535889
28,172,0,Too Upright,0.0,12.099133959535889
29,172,0,Too Upright,0.0,12.099133959535889
30,173,0,Too Upright,0.0,12.099133959535889
31,172,0,Too Upright,0.0,12.099133959535889
32,173,0,Too Upright,0.0,12.099133959535889
33,173,0,Too Upright,0.0,12.099133959535889
34,173,0,Too Upright,0.0,12.099133959535889
35,173,0,Too Upright,0.0,12.099133959535889
36,172,0,Too Upright,0.0,12.099133959535889
37,171,0,Too Upright,0.0,12.099133959535889
38,171,0,Too Upright,0.0,12.099133959535889
39,168,0,Too Upright,0.0,12.099133959535889
40,161,0,Too Upright,0.0,12.099133959535889
41,156,0,Good Depth,0.0,12.099133959535889
42,149,0,Good Depth,0.0,12.099133959535889
43,143,0,Good Depth,0.0,12.099133959535889
44,141,0,Good Depth,0.0,12.099133959535889
45,143,0,Good Depth,0.0,12.099133959535889
46,144,0,Good Depth,0.0,12.099133959535889
47,148,0,Good Depth,0.0,12.099133959535889
48,154,0,Good Depth,0.0,12.099133959535889
49,154,0,Good Depth,0.0,12.099133959535889
