frame,angle,reps,feedback,sway,fps
0,165.0,0,Too Upright,,11.535206870073813
1,169.0,0,Too Upright,,11.535206870073813
2,169.0,0,Too Upright,,11.535206870073813
3,168.0,0,Too Upright,,11.535206870073813
4,167.0,0,Too Upright,,11.535206870073813
5,164.0,0,Too Upright,,11.535206870073813
6,167.0,0,Too Upright,,11.535206870073813
7,163.0,0,Too Upright,,11.535206870073813
8,158.0,0,Good Depth,,11.535206870073813
9,153.0,0,Good Depth,,11.535206870073813
10,148.0,0,Good Depth,,11.535206870073813
11,138.0,0,Good Depth,,11.535206870073813
12,132.0,0,Good Depth,,11.535206870073813
13,132.0,0,Good Depth,,11.535206870073813
14,119.0,0,Good Depth,,11.535206870073813
15,121.0,0,Good Depth,,11.535206870073813
16,114.0,0,Good Depth,,11.535206870073813
17,104.0,0,Good Depth,,11.535206870073813
18,150.0,0,Good Depth,,11.535206870073813
19,133.0,0,Good Depth,,11.535206870073813
20,150.0,0,Good Depth,,11.535206870073813
21,,0,Good Depth,,11.535206870073813
22,,0,Good Depth,,11.535206870073813
23,,0,Good Depth,,11.535206870073813
24,73.0,0,Good Depth,,11.535206870073813
25,63.0,0,Good Depth,,11.535206870073813
26,64.0,0,Good Depth,,11.535206870073813
27,75.0,0,Good Depth,,11.535206870073813
28,67.0,0,Good Depth,,11.535206870073813
29,57.0,0,Too Deep!,,11.535206870073813
30,54.0,0,Too Deep!,,11.535206870073813
31,162.0,1,Too Upright,,11.535206870073813
32,70.0,1,Good Depth,,11.535206870073813
33,46.0,1,Too Deep!,,11.535206870073813
34,43.0,1,Too Deep!,,11.535206870073813
35,40.0,1,Too Deep!,,11.535206870073813
36,62.0,1,Good Depth,,11.535206870073813
37,60.0,1,Good Depth,,11.535206870073813
38,58.0,1,Too Deep!,,11.535206870073813
39,60.0,1,Good Depth,,11.535206870073813
40,57.0,1,Too Deep!,,11.535206870073813
41,62.0,1,Good Depth,,11.535206870073813
42,,1,Good Depth,,11.535206870073813
43,59.0,1,Too Deep!,,11.535206870073813
44,64.0,1,Good Depth,,11.535206870073813
45,80.0,1,Good Depth,,11.535206870073813
46,99.0,1,Good Depth,,11.535206870073813
47,99.0,1,Good Depth,,11.535206870073813
48,95.0,1,Good Depth,,11.535206870073813
49,113.0,1,Good Depth,,11.535206870073813
50,120.0,1,Good Depth,,11.535206870073813
51,126.0,1,Good Depth,,11.535206870073813
52,135.0,1,Good Depth,,11.535206870073813
53,148.0,1,Good Depth,,11.535206870073813
54,163.0,2,Too Upright,,11.535206870073813
55,162.0,2,Too Upright,,11.535206870073813
56,166.0,2,Too Upright,,11.535206870073813
57,166.0,2,Too Upright,,11.535206870073813
58,168.0,2,Too Upright,,11.535206870073813
59,169.0,2,Too Upright,,11.535206870073813
60,176.0,2,Too Upright,,11.535206870073813
61,177.0,2,Too Upright,,11.535206870073813
62,176.0,2,Too Upright,,11.535206870073813
63,176.0,2,Too Upright,,11.535206870073813
64,176.0,2,Too Upright,,11.535206870073813
65,172.0,2,Too Upright,,11.535206870073813
66,172.0,2,Too Upright,,11.535206870073813
67,172.0,2,Too Upright,,11.535206870073813
68,174.0,2,Too Upright,,11.535206870073813
69,173.0,2,Too Upright,,11.535206870073813
70,171.0,2,Too Upright,,11.535206870073813
71,172.0,2,Too Upright,,11.535206870073813
72,163.0,2,Too Upright,,11.535206870073813
73,162.0,2,Too Upright,,11.535206870073813
74,163.0,2,Too Upright,,11.535206870073813
75,165.0,2,Too Upright,,11.535206870073813
76,168.0,2,Too Upright,,11.535206870073813
77,168.0,2,Too Upright,,11.535206870073813
78,168.0,2,Too Upright,,11.535206870073813
79,169.0,2,Too Upright,,11.535206870073813
80,170.0,2,Too Upright,,11.535206870073813
81,170.0,2,Too Upright,,11.535206870073813
82,165.0,2,Too Upright,,11.535206870073813
83,156.0,2,Good Depth,,11.535206870073813
84,149.0,2,Good Depth,,11.535206870073813
85,153.0,2,Good Depth,,11.535206870073813
86,143.0,2,Good Depth,,11.535206870073813
87,130.0,2,Good Depth,,11.535206870073813
88,134.0,2,Good Depth,,11.535206870073813
89,116.0,2,Good Depth,,11.535206870073813
90,104.0,2,Good Depth,,11.535206870073813
91,103.0,2,Good Depth,,11.535206870073813
92,94.0,2,Good Depth,,11.535206870073813
93,93.0,2,Good Depth,,11.535206870073813
94,81.0,2,Good Depth,,11.535206870073813
95,77.0,2,Good Depth,,11.535206870073813
96,83.0,2,Good Depth,,11.535206870073813
97,77.0,2,Good Depth,,11.535206870073813
98,75.0,2,Good Depth,,11.535206870073813
99,73.0,2,Good Depth,,11.535206870073813
100,60.0,2,Good Depth,,11.535206870073813
101,56.0,2,Too Deep!,,11.535206870073813
102,53.0,2,Too Deep!,,11.535206870073813
103,54.0,2,Too Deep!,,11.535206870073813
104,59.0,2,Too Deep!,,11.535206870073813
105,56.0,2,Too Deep!,,11.535206870073813
106,57.0,2,Too Deep!,,11.535206870073813
107,51.0,2,Too Deep!,,11.535206870073813
108,58.0,2,Too Deep!,,11.535206870073813
109,54.0,2,Too Deep!,,11.535206870073813
110,55.0,2,Too Deep!,,11.535206870073813
111,50.0,2,Too Deep!,,11.535206870073813
112,52.0,2,Too Deep!,,11.535206870073813
113,63.0,2,Good Depth,,11.535206870073813
114,86.0,2,Good Depth,,11.535206870073813
115,73.0,2,Good Depth,,11.535206870073813
116,75.0,2,Good Depth,,11.535206870073813
117,70.0,2,Good Depth,,11.535206870073813
118,83.0,2,Good Depth,,11.535206870073813
119,93.0,2,Good Depth,,11.535206870073813
120,96.0,2,Good Depth,,11.535206870073813
121,116.0,2,Good Depth,,11.535206870073813
122,121.0,2,Good Depth,,11.535206870073813
123,129.0,2,Good Depth,,11.535206870073813
124,123.0,2,Good Depth,,11.535206870073813
125,143.0,2,Good Depth,,11.535206870073813
126,152.0,2,Good Depth,,11.535206870073813
127,162.0,3,Too Upright,,11.535206870073813
128,164.0,3,Too Upright,,11.535206870073813
129,171.0,3,Too Upright,,11.535206870073813
130,170.0,3,Too Upright,,11.535206870073813
131,175.0,3,Too Upright,,11.535206870073813
132,177.0,3,Too Upright,,11.535206870073813
133,175.0,3,Too Upright,,11.535206870073813
134,176.0,3,Too Upright,,11.535206870073813
135,176.0,3,Too Upright,,11.535206870073813
136,176.0,3,Too Upright,,11.535206870073813
137,177.0,3,Too Upright,,11.535206870073813
138,177.0,3,Too Upright,,11.535206870073813
139,171.0,3,Too Upright,,11.535206870073813
140,176.0,3,Too Upright,,11.535206870073813
141,175.0,3,Too Upright,,11.535206870073813
142,173.0,3,Too Upright,,11.535206870073813
143,171.0,3,Too Upright,,11.535206870073813
144,171.0,3,Too Upright,,11.535206870073813
145,169.0,3,Too Upright,,11.535206870073813
146,174.0,3,Too Upright,,11.535206870073813
147,169.0,3,Too Upright,,11.535206870073813
148,169.0,3,Too Upright,,11.535206870073813
149,168.0,3,Too Upright,,11.535206870073813
150,167.0,3,Too Upright,,11.535206870073813
151,168.0,3,Too Upright,,11.535206870073813
152,169.0,3,Too Upright,,11.535206870073813
153,168.0,3,Too Upright,,11.535206870073813
154,159.0,3,Good Depth,,11.535206870073813
155,161.0,3,Too Upright,,11.535206870073813
156,150.0,3,Good Depth,,11.535206870073813
157,145.0,3,Good Depth,,11.535206870073813
158,140.0,3,Good Depth,,11.535206870073813
159,138.0,3,Good Depth,,11.535206870073813
160,131.0,3,Good Depth,,11.535206870073813
