frame,angle,reps,feedback,sway,fps
0,112,0,Good Depth,,12.668255000695531
1,113,0,Good Depth,,12.668255000695531
2,113,0,Good Depth,,12.668255000695531
3,113,0,Good Depth,,12.668255000695531
4,114,0,Good Depth,,12.668255000695531
5,114,0,Good Depth,,12.668255000695531
6,115,0,Good Depth,,12.668255000695531
7,116,0,Good Depth,,12.668255000695531
8,120,0,Good Depth,,12.668255000695531
9,121,0,Good Depth,,12.668255000695531
10,124,0,Good Depth,,12.668255000695531
11,124,0,Good Depth,,12.668255000695531
12,128,0,Good Depth,,12.668255000695531
13,129,0,Good Depth,,12.668255000695531
14,133,0,Good Depth,,12.668255000695531
15,134,0,Good Depth,,12.668255000695531
16,132,0,Good Depth,,12.668255000695531
17,136,0,Good Depth,,12.668255000695531
18,138,0,Good Depth,,12.668255000695531
19,139,0,Good Depth,,12.668255000695531
20,140,0,Good Depth,,12.668255000695531
21,141,0,Good Depth,,12.668255000695531
22,149,0,Good Depth,,12.668255000695531
23,150,0,Good Depth,,12.668255000695531
24,150,0,Good Depth,,12.668255000695531
25,151,0,Good Depth,,12.668255000695531
26,150,0,Good Depth,,12.668255000695531
27,151,0,Good Depth,,12.668255000695531
28,154,0,Good Depth,,12.668255000695531
29,155,0,Good Depth,,12.668255000695531
30,158,0,Good Depth,,12.668255000695531
31,160,0,Good Depth,,12.668255000695531
32,161,0,Too Upright,,12.668255000695531
33,163,0,Too Upright,,12.668255000695531
34,165,0,Too Upright,,12.668255000695531
35,166,0,Too Upright,,12.668255000695531
36,168,0,Too Upright,,12.668255000695531
37,170,0,Too Upright,,12.668255000695531
38,171,0,Too Upright,,12.668255000695531
39,173,0,Too Upright,,12.668255000695531
40,173,0,Too Upright,,12.668255000695531
41,174,0,Too Upright,,12.668255000695531
42,174,0,Too Upright,,12.668255000695531
43,174,0,Too Upright,,12.668255000695531
44,174,0,Too Upright,,12.668255000695531
45,174,0,Too Upright,,12.668255000695531
46,156,0,Good Depth,,12.668255000695531
47,175,0,Too Upright,,12.668255000695531
48,175,0,Too Upright,,12.668255000695531
49,147,0,Good Depth,,12.668255000695531
50,139,0,Good Depth,,12.668255000695531
51,134,0,Good Depth,,12.668255000695531
52,132,0,Good Depth,,12.668255000695531
53,131,0,Good Depth,,12.668255000695531
54,120,0,Good Depth,,12.668255000695531
55,118,0,Good Depth,,12.668255000695531
56,109,0,Good Depth,,12.668255000695531
57,101,0,Good Depth,,12.668255000695531
58,97,0,Good Depth,,12.668255000695531
59,94,0,Good Depth,,12.668255000695531
60,171,0,Too Upright,,12.668255000695531
61,168,0,Too Upright,,12.668255000695531
62,166,0,Too Upright,,12.668255000695531
63,168,0,Too Upright,,12.668255000695531
64,166,0,Too Upright,,12.668255000695531
65,164,0,Too Upright,,12.668255000695531
66,162,0,Too Upright,,12.668255000695531
67,162,0,Too Upright,,12.668255000695531
68,160,0,Good Depth,,12.668255000695531
69,159,0,Good Depth,,12.668255000695531
70,157,0,Good Depth,,12.668255000695531
71,158,0,Good Depth,,12.668255000695531
72,155,0,Good Depth,,12.668255000695531
73,152,0,Good Depth,,12.668255000695531
74,151,0,Good Depth,,12.668255000695531
