frame,angle,reps,feedback,sway,fps
0,171,0,Too Upright,,13.152247235284882
1,169,0,Too Upright,,13.152247235284882
2,170,0,Too Upright,,13.152247235284882
3,167,0,Too Upright,,13.152247235284882
4,166,0,Too Upright,,13.152247235284882
5,165,0,Too Upright,,13.152247235284882
6,161,0,Too Upright,,13.152247235284882
7,164,0,Too Upright,,13.152247235284882
8,158,0,Good Depth,,13.152247235284882
9,144,0,Good Depth,,13.152247235284882
10,149,0,Good Depth,,13.152247235284882
11,144,0,Good Depth,,13.152247235284882
12,138,0,Good Depth,,13.152247235284882
13,144,0,Good Depth,276.0,13.152247235284882
14,135,0,Good Depth,273.0,13.152247235284882
15,129,0,Good Depth,273.0,13.152247235284882
16,121,0,Good Depth,273.0,13.152247235284882
17,115,0,Good Depth,273.0,13.152247235284882
18,111,0,Good Depth,273.0,13.152247235284882
19,113,0,Good Depth,273.0,13.152247235284882
20,109,0,Good Depth,272.0,13.152247235284882
21,109,0,Good Depth,272.0,13.152247235284882
22,103,0,Good Depth,271.0,13.152247235284882
23,100,0,Good Depth,5.0,13.152247235284882
24,98,0,Good Depth,5.0,13.152247235284882
25,96,0,Good Depth,5.0,13.152247235284882
26,92,0,Good Depth,5.0,13.152247235284882
27,88,0,Good Depth,5.0,13.152247235284882
28,90,0,Good Depth,5.0,13.152247235284882
29,83,0,Good Depth,5.0,13.152247235284882
30,83,0,Good Depth,5.0,13.152247235284882
31,72,0,Good Depth,6.0,13.152247235284882
32,69,0,Good Depth,6.0,13.152247235284882
33,60,0,Good Depth,5.0,13.152247235284882
34,57,0,Too Deep!,5.0,13.152247235284882
35,58,0,Too Deep!,5.0,13.152247235284882
36,65,0,Good Depth,5.0,13.152247235284882
37,68,0,Good Depth,5.0,13.152247235284882
38,69,0,Good Depth,5.0,13.152247235284882
39,73,0,Good Depth,5.0,13.152247235284882
40,85,0,Good Depth,5.0,13.152247235284882
41,94,0,Good Depth,5.0,13.152247235284882
42,87,0,Good Depth,10.0,13.152247235284882
43,87,0,Good Depth,8.0,13.152247235284882
44,88,0,Good Depth,8.0,13.152247235284882
45,92,0,Good Depth,7.0,13.152247235284882
46,87,0,Good Depth,7.0,13.152247235284882
47,93,0,Good Depth,7.0,13.152247235284882
48,95,0,Good Depth,7.0,13.152247235284882
49,98,0,Good Depth,8.0,13.152247235284882
50,98,0,Good Depth,7.0,13.152247235284882
51,98,0,Good Depth,2.0,13.152247235284882
52,98,0,Good Depth,3.0,13.152247235284882
53,102,0,Good Depth,279.0,13.152247235284882
54,104,0,Good Depth,280.0,13.152247235284882
55,101,0,Good Depth,280.0,13.152247235284882
56,104,0,Good Depth,280.0,13.152247235284882
57,110,0,Good Depth,280.0,13.152247235284882
58,110,0,Good Depth,282.0,13.152247235284882
59,110,0,Good Depth,283.0,13.152247235284882
60,109,0,Good Depth,283.0,13.152247235284882
61,112,0,Good Depth,283.0,13.152247235284882
62,111,0,Good Depth,5.0,13.152247235284882
63,108,0,Good Depth,5.0,13.152247235284882
64,110,0,Good Depth,7.0,13.152247235284882
65,111,0,Good Depth,7.0,13.152247235284882
66,111,0,Good Depth,7.0,13.152247235284882
67,112,0,Good Depth,5.0,13.152247235284882
68,113,0,Good Depth,5.0,13.152247235284882
69,115,0,Good Depth,9.0,13.152247235284882
70,123,0,Good Depth,9.0,13.152247235284882
71,122,0,Good Depth,8.0,13.152247235284882
72,132,0,Good Depth,9.0,13.152247235284882
73,132,0,Good Depth,9.0,13.152247235284882
74,141,0,Good Depth,7.0,13.152247235284882
75,148,0,Good Depth,10.0,13.152247235284882
76,155,0,Good Depth,10.0,13.152247235284882
77,160,0,Good Depth,13.0,13.152247235284882
78,167,1,Too Upright,12.0,13.152247235284882
79,171,1,Too Upright,12.0,13.152247235284882
80,173,1,Too Upright,11.0,13.152247235284882
81,175,1,Too Upright,14.0,13.152247235284882
82,176,1,Too Upright,11.0,13.152247235284882
83,175,1,Too Upright,11.0,13.152247235284882
84,174,1,Too Upright,12.0,13.152247235284882
85,174,1,Too Upright,8.0,13.152247235284882
86,175,1,Too Upright,5.0,13.152247235284882
87,175,1,Too Upright,5.0,13.152247235284882
88,175,1,Too Upright,9.0,13.152247235284882
89,179,1,Too Upright,8.0,13.152247235284882
90,177,1,Too Upright,6.0,13.152247235284882
91,176,1,Too Upright,6.0,13.152247235284882
92,175,1,Too Upright,6.0,13.152247235284882
93,175,1,Too Upright,6.0,13.152247235284882
94,179,1,Too Upright,8.0,13.152247235284882
95,176,1,Too Upright,7.0,13.152247235284882
96,176,1,Too Upright,6.0,13.152247235284882
97,179,1,Too Upright,4.0,13.152247235284882
98,179,1,Too Upright,4.0,13.152247235284882
99,179,1,Too Upright,4.0,13.152247235284882
100,177,1,Too Upright,5.0,13.152247235284882
101,179,1,Too Upright,5.0,13.152247235284882
102,178,1,Too Upright,5.0,13.152247235284882
103,178,1,Too Upright,5.0,13.152247235284882
104,179,1,Too Upright,6.0,13.152247235284882
105,179,1,Too Upright,6.0,13.152247235284882
106,174,1,Too Upright,6.0,13.152247235284882
107,176,1,Too Upright,5.0,13.152247235284882
108,178,1,Too Upright,2.0,13.152247235284882
109,177,1,Too Upright,2.0,13.152247235284882
110,178,1,Too Upright,3.0,13.152247235284882
111,174,1,Too Upright,3.0,13.152247235284882
112,169,1,Too Upright,3.0,13.152247235284882
113,166,1,Too Upright,3.0,13.152247235284882
114,163,1,Too Upright,6.0,13.152247235284882
115,160,1,Good Depth,7.0,13.152247235284882
116,160,1,Good Depth,7.0,13.152247235284882
117,161,1,Too Upright,7.0,13.152247235284882
118,145,1,Good Depth,9.0,13.152247235284882
119,139,1,Good Depth,9.0,13.152247235284882
120,131,1,Good Depth,9.0,13.152247235284882
121,141,1,Good Depth,9.0,13.152247235284882
122,130,1,Good Depth,8.0,13.152247235284882
123,124,1,Good Depth,8.0,13.152247235284882
124,123,1,Good Depth,6.0,13.152247235284882
125,116,1,Good Depth,6.0,13.152247235284882
126,109,1,Good Depth,6.0,13.152247235284882
127,105,1,Good Depth,6.0,13.152247235284882
128,104,1,Good Depth,5.0,13.152247235284882
129,105,1,Good Depth,5.0,13.152247235284882
130,98,1,Good Depth,5.0,13.152247235284882
131,89,1,Good Depth,8.0,13.152247235284882
132,88,1,Good Depth,7.0,13.152247235284882
133,85,1,Good Depth,7.0,13.152247235284882
134,88,1,Good Depth,7.0,13.152247235284882
135,85,1,Good Depth,9.0,13.152247235284882
136,76,1,Good Depth,9.0,13.152247235284882
137,69,1,Good Depth,7.0,13.152247235284882
138,63,1,Good Depth,6.0,13.152247235284882
139,59,1,Too Deep!,6.0,13.152247235284882
140,69,1,Good Depth,6.0,13.152247235284882
141,62,1,Good Depth,5.0,13.152247235284882
142,75,1,Good Depth,5.0,13.152247235284882
143,79,1,Good Depth,5.0,13.152247235284882
144,79,1,Good Depth,6.0,13.152247235284882
145,86,1,Good Depth,9.0,13.152247235284882
146,87,1,Good Depth,8.0,13.152247235284882
147,87,1,Good Depth,8.0,13.152247235284882
148,83,1,Good Depth,8.0,13.152247235284882
149,86,1,Good Depth,10.0,13.152247235284882
150,86,1,Good Depth,10.0,13.152247235284882
151,91,1,Good Depth,9.0,13.152247235284882
152,92,1,Good Depth,7.0,13.152247235284882
153,94,1,Good Depth,5.0,13.152247235284882
154,97,1,Good Depth,6.0,13.152247235284882
155,102,1,Good Depth,6.0,13.152247235284882
156,99,1,Good Depth,6.0,13.152247235284882
157,100,1,Good Depth,6.0,13.152247235284882
158,102,1,Good Depth,7.0,13.152247235284882
159,102,1,Good Depth,7.0,13.152247235284882
160,106,1,Good Depth,7.0,13.152247235284882
161,110,1,Good Depth,7.0,13.152247235284882
162,108,1,Good Depth,7.0,13.152247235284882
163,104,1,Good Depth,11.0,13.152247235284882
164,109,1,Good Depth,11.0,13.152247235284882
165,110,1,Good Depth,11.0,13.152247235284882
166,110,1,Good Depth,12.0,13.152247235284882
167,108,1,Good Depth,12.0,13.152247235284882
168,110,1,Good Depth,12.0,13.152247235284882
169,111,1,Good Depth,7.0,13.152247235284882
170,117,1,Good Depth,7.0,13.152247235284882
171,117,1,Good Depth,10.0,13.152247235284882
172,119,1,Good Depth,11.0,13.152247235284882
173,123,1,Good Depth,11.0,13.152247235284882
174,131,1,Good Depth,11.0,13.152247235284882
175,138,1,Good Depth,11.0,13.152247235284882
176,143,1,Good Depth,11.0,13.152247235284882
177,148,1,Good Depth,12.0,13.152247235284882
178,161,2,Too Upright,13.0,13.152247235284882
179,163,2,Too Upright,13.0,13.152247235284882
180,166,2,Too Upright,13.0,13.152247235284882
181,170,2,Too Upright,13.0,13.152247235284882
182,176,2,Too Upright,11.0,13.152247235284882
183,176,2,Too Upright,12.0,13.152247235284882
184,174,2,Too Upright,11.0,13.152247235284882
185,176,2,Too Upright,11.0,13.152247235284882
186,177,2,Too Upright,11.0,13.152247235284882
187,176,2,Too Upright,11.0,13.152247235284882
188,175,2,Too Upright,8.0,13.152247235284882
189,177,2,Too Upright,8.0,13.152247235284882
190,176,2,Too Upright,7.0,13.152247235284882
191,176,2,Too Upright,7.0,13.152247235284882
192,175,2,Too Upright,7.0,13.152247235284882
193,175,2,Too Upright,6.0,13.152247235284882
194,177,2,Too Upright,6.0,13.152247235284882
195,175,2,Too Upright,3.0,13.152247235284882
196,175,2,Too Upright,3.0,13.152247235284882
197,176,2,Too Upright,3.0,13.152247235284882
198,177,2,Too Upright,3.0,13.152247235284882
199,179,2,Too Upright,5.0,13.152247235284882
200,177,2,Too Upright,5.0,13.152247235284882
201,177,2,Too Upright,5.0,13.152247235284882
202,176,2,Too Upright,5.0,13.152247235284882
203,177,2,Too Upright,5.0,13.152247235284882
204,177,2,Too Upright,5.0,13.152247235284882
205,177,2,Too Upright,5.0,13.152247235284882
206,177,2,Too Upright,5.0,13.152247235284882
207,176,2,Too Upright,5.0,13.152247235284882
208,175,2,Too Upright,5.0,13.152247235284882
209,175,2,Too Upright,4.0,13.152247235284882
210,176,2,Too Upright,4.0,13.152247235284882
211,173,2,Too Upright,4.0,13.152247235284882
212,174,2,Too Upright,4.0,13.152247235284882
213,178,2,Too Upright,4.0,13.152247235284882
214,170,2,Too Upright,6.0,13.152247235284882
215,168,2,Too Upright,11.0,13.152247235284882
216,166,2,Too Upright,11.0,13.152247235284882
217,157,2,Good Depth,11.0,13.152247235284882
218,164,2,Too Upright,9.0,13.152247235284882
219,150,2,Good Depth,10.0,13.152247235284882
220,146,2,Good Depth,10.0,13.152247235284882
221,144,2,Good Depth,10.0,13.152247235284882
222,133,2,Good Depth,11.0,13.152247235284882
223,128,2,Good Depth,8.0,13.152247235284882
224,130,2,Good Depth,5.0,13.152247235284882
225,129,2,Good Depth,5.0,13.152247235284882
226,127,2,Good Depth,5.0,13.152247235284882
227,122,2,Good Depth,5.0,13.152247235284882
228,116,2,Good Depth,8.0,13.152247235284882
229,112,2,Good Depth,8.0,13.152247235284882
230,98,2,Good Depth,5.0,13.152247235284882
231,100,2,Good Depth,5.0,13.152247235284882
232,101,2,Good Depth,5.0,13.152247235284882
233,96,2,Good Depth,5.0,13.152247235284882
234,88,2,Good Depth,5.0,13.152247235284882
235,83,2,Good Depth,4.0,13.152247235284882
236,84,2,Good Depth,4.0,13.152247235284882
237,85,2,Good Depth,6.0,13.152247235284882
238,79,2,Good Depth,6.0,13.152247235284882
239,73,2,Good Depth,6.0,13.152247235284882
240,71,2,Good Depth,6.0,13.152247235284882
241,66,2,Good Depth,6.0,13.152247235284882
242,66,2,Good Depth,6.0,13.152247235284882
243,69,2,Good Depth,6.0,13.152247235284882
244,77,2,Good Depth,6.0,13.152247235284882
245,78,2,Good Depth,4.0,13.152247235284882
246,85,2,Good Depth,7.0,13.152247235284882
247,84,2,Good Depth,10.0,13.152247235284882
248,86,2,Good Depth,10.0,13.152247235284882
249,83,2,Good Depth,14.0,13.152247235284882
250,89,2,Good Depth,13.0,13.152247235284882
251,89,2,Good Depth,16.0,13.152247235284882
252,91,2,Good Depth,16.0,13.152247235284882
253,93,2,Good Depth,15.0,13.152247235284882
254,95,2,Good Depth,13.0,13.152247235284882
255,97,2,Good Depth,11.0,13.152247235284882
256,97,2,Good Depth,10.0,13.152247235284882
257,103,2,Good Depth,10.0,13.152247235284882
258,97,2,Good Depth,8.0,13.152247235284882
259,100,2,Good Depth,8.0,13.152247235284882
260,104,2,Good Depth,7.0,13.152247235284882
261,103,2,Good Depth,7.0,13.152247235284882
262,107,2,Good Depth,7.0,13.152247235284882
263,107,2,Good Depth,7.0,13.152247235284882
264,108,2,Good Depth,6.0,13.152247235284882
265,105,2,Good Depth,6.0,13.152247235284882
266,106,2,Good Depth,4.0,13.152247235284882
267,109,2,Good Depth,4.0,13.152247235284882
268,110,2,Good Depth,4.0,13.152247235284882
269,110,2,Good Depth,4.0,13.152247235284882
270,106,2,Good Depth,4.0,13.152247235284882
271,111,2,Good Depth,4.0,13.152247235284882
272,113,2,Good Depth,4.0,13.152247235284882
273,112,2,Good Depth,4.0,13.152247235284882
274,114,2,Good Depth,4.0,13.152247235284882
275,112,2,Good Depth,4.0,13.152247235284882
276,120,2,Good Depth,4.0,13.152247235284882
277,124,2,Good Depth,7.0,13.152247235284882
278,131,2,Good Depth,8.0,13.152247235284882
279,144,2,Good Depth,8.0,13.152247235284882
280,138,2,Good Depth,9.0,13.152247235284882
281,141,2,Good Depth,9.0,13.152247235284882
282,155,2,Good Depth,14.0,13.152247235284882
283,155,2,Good Depth,13.0,13.152247235284882
284,161,3,Too Upright,16.0,13.152247235284882
285,165,3,Too Upright,17.0,13.152247235284882
286,169,3,Too Upright,11.0,13.152247235284882
287,173,3,Too Upright,11.0,13.152247235284882
288,173,3,Too Upright,14.0,13.152247235284882
289,175,3,Too Upright,12.0,13.152247235284882
290,177,3,Too Upright,14.0,13.152247235284882
291,174,3,Too Upright,10.0,13.152247235284882
292,174,3,Too Upright,10.0,13.152247235284882
293,174,3,Too Upright,10.0,13.152247235284882
294,174,3,Too Upright,10.0,13.152247235284882
295,176,3,Too Upright,10.0,13.152247235284882
296,177,3,Too Upright,13.0,13.152247235284882
297,177,3,Too Upright,12.0,13.152247235284882
298,175,3,Too Upright,12.0,13.152247235284882
299,174,3,Too Upright,12.0,13.152247235284882
300,175,3,Too Upright,10.0,13.152247235284882
301,175,3,Too Upright,6.0,13.152247235284882
302,174,3,Too Upright,6.0,13.152247235284882
303,174,3,Too Upright,5.0,13.152247235284882
304,176,3,Too Upright,5.0,13.152247235284882
305,175,3,Too Upright,5.0,13.152247235284882
306,176,3,Too Upright,4.0,13.152247235284882
307,175,3,Too Upright,4.0,13.152247235284882
308,175,3,Too Upright,4.0,13.152247235284882
309,175,3,Too Upright,5.0,13.152247235284882
310,177,3,Too Upright,5.0,13.152247235284882
311,175,3,Too Upright,5.0,13.152247235284882
312,176,3,Too Upright,5.0,13.152247235284882
313,178,3,Too Upright,5.0,13.152247235284882
314,174,3,Too Upright,5.0,13.152247235284882
315,174,3,Too Upright,5.0,13.152247235284882
316,172,3,Too Upright,5.0,13.152247235284882
317,177,3,Too Upright,5.0,13.152247235284882
318,174,3,Too Upright,4.0,13.152247235284882
319,172,3,Too Upright,4.0,13.152247235284882
320,168,3,Too Upright,4.0,13.152247235284882
321,163,3,Too Upright,4.0,13.152247235284882
322,163,3,Too Upright,7.0,13.152247235284882
323,162,3,Too Upright,6.0,13.152247235284882
324,163,3,Too Upright,6.0,13.152247235284882
325,148,3,Good Depth,8.0,13.152247235284882
326,152,3,Good Depth,8.0,13.152247235284882
327,136,3,Good Depth,8.0,13.152247235284882
328,132,3,Good Depth,8.0,13.152247235284882
329,135,3,Good Depth,8.0,13.152247235284882
330,126,3,Good Depth,6.0,13.152247235284882
331,123,3,Good Depth,6.0,13.152247235284882
332,120,3,Good Depth,4.0,13.152247235284882
333,116,3,Good Depth,4.0,13.152247235284882
334,111,3,Good Depth,4.0,13.152247235284882
335,109,3,Good Depth,4.0,13.152247235284882
336,103,3,Good Depth,5.0,13.152247235284882
337,99,3,Good Depth,5.0,13.152247235284882
338,98,3,Good Depth,6.0,13.152247235284882
339,93,3,Good Depth,7.0,13.152247235284882
340,92,3,Good Depth,5.0,13.152247235284882
341,83,3,Good Depth,5.0,13.152247235284882
342,86,3,Good Depth,6.0,13.152247235284882
343,86,3,Good Depth,6.0,13.152247235284882
344,77,3,Good Depth,6.0,13.152247235284882
345,86,3,Good Depth,5.0,13.152247235284882
346,68,3,Good Depth,7.0,13.152247235284882
347,60,3,Good Depth,9.0,13.152247235284882
348,63,3,Good Depth,10.0,13.152247235284882
349,69,3,Good Depth,10.0,13.152247235284882
350,78,3,Good Depth,10.0,13.152247235284882
351,77,3,Good Depth,10.0,13.152247235284882
352,85,3,Good Depth,13.0,13.152247235284882
353,86,3,Good Depth,16.0,13.152247235284882
354,87,3,Good Depth,15.0,13.152247235284882
355,89,3,Good Depth,12.0,13.152247235284882
356,90,3,Good Depth,10.0,13.152247235284882
357,91,3,Good Depth,9.0,13.152247235284882
358,92,3,Good Depth,11.0,13.152247235284882
359,93,3,Good Depth,12.0,13.152247235284882
360,93,3,Good Depth,12.0,13.152247235284882
361,95,3,Good Depth,9.0,13.152247235284882
362,100,3,Good Depth,9.0,13.152247235284882
363,99,3,Good Depth,9.0,13.152247235284882
364,99,3,Good Depth,10.0,13.152247235284882
365,100,3,Good Depth,10.0,13.152247235284882
366,100,3,Good Depth,286.0,13.152247235284882
367,105,3,Good Depth,285.0,13.152247235284882
368,106,3,Good Depth,285.0,13.152247235284882
369,108,3,Good Depth,285.0,13.152247235284882
370,107,3,Good Depth,285.0,13.152247235284882
371,107,3,Good Depth,285.0,13.152247235284882
372,105,3,Good Depth,285.0,13.152247235284882
373,108,3,Good Depth,285.0,13.152247235284882
374,108,3,Good Depth,288.0,13.152247235284882
375,109,3,Good Depth,288.0,13.152247235284882
376,108,3,Good Depth,288.0,13.152247235284882
377,110,3,Good Depth,287.0,13.152247235284882
378,108,3,Good Depth,287.0,13.152247235284882
379,107,3,Good Depth,287.0,13.152247235284882
380,111,3,Good Depth,287.0,13.152247235284882
381,114,3,Good Depth,5.0,13.152247235284882
382,115,3,Good Depth,5.0,13.152247235284882
383,118,3,Good Depth,3.0,13.152247235284882
384,121,3,Good Depth,5.0,13.152247235284882
