frame,angle,reps,feedback,sway,fps
0,167,0,Too Upright,,12.192204389813174
1,166,0,Too Upright,,12.192204389813174
2,164,0,Too Upright,,12.192204389813174
3,161,0,Too Upright,,12.192204389813174
4,158,0,Good Depth,,12.192204389813174
5,155,0,Good Depth,,12.192204389813174
6,153,0,Good Depth,,12.192204389813174
7,150,0,Good Depth,,12.192204389813174
8,157,0,Good Depth,,12.192204389813174
9,152,0,Good Depth,,12.192204389813174
10,141,0,Good Depth,,12.192204389813174
11,136,0,Good Depth,,12.192204389813174
12,130,0,Good Depth,,12.192204389813174
13,138,0,Good Depth,276.0,12.192204389813174
14,138,0,Good Depth,273.0,12.192204389813174
15,135,0,Good Depth,273.0,12.192204389813174
16,133,0,Good Depth,273.0,12.192204389813174
17,124,0,Good Depth,273.0,12.192204389813174
18,119,0,Good Depth,273.0,12.192204389813174
19,115,0,Good Depth,273.0,12.192204389813174
20,109,0,Good Depth,272.0,12.192204389813174
21,104,0,Good Depth,272.0,12.192204389813174
22,97,0,Good Depth,271.0,12.192204389813174
23,91,0,Good Depth,5.0,12.192204389813174
24,93,0,Good Depth,5.0,12.192204389813174
25,83,0,Good Depth,5.0,12.192204389813174
26,74,0,Good Depth,5.0,12.192204389813174
27,80,0,Good Depth,5.0,12.192204389813174
28,66,0,Good Depth,5.0,12.192204389813174
29,60,0,Good Depth,5.0,12.192204389813174
30,67,0,Good Depth,5.0,12.192204389813174
31,69,0,Good Depth,6.0,12.192204389813174
32,69,0,Good Depth,6.0,12.192204389813174
33,75,0,Good Depth,5.0,12.192204389813174
34,76,0,Good Depth,5.0,12.192204389813174
35,77,0,Good Depth,5.0,12.192204389813174
36,77,0,Good Depth,5.0,12.192204389813174
37,70,0,Good Depth,5.0,12.192204389813174
38,68,0,Good Depth,5.0,12.192204389813174
39,64,0,Good Depth,5.0,12.192204389813174
40,69,0,Good Depth,5.0,12.192204389813174
41,65,0,Good Depth,5.0,12.192204389813174
42,75,0,Good Depth,10.0,12.192204389813174
43,75,0,Good Depth,8.0,12.192204389813174
44,84,0,Good Depth,8.0,12.192204389813174
45,87,0,Good Depth,7.0,12.192204389813174
46,90,0,Good Depth,7.0,12.192204389813174
47,93,0,Good Depth,7.0,12.192204389813174
48,84,0,Good Depth,7.0,12.192204389813174
49,84,0,Good Depth,8.0,12.192204389813174
50,86,0,Good Depth,7.0,12.192204389813174
51,88,0,Good Depth,2.0,12.192204389813174
52,89,0,Good Depth,3.0,12.192204389813174
53,97,0,Good Depth,279.0,12.192204389813174
54,96,0,Good Depth,280.0,12.192204389813174
