frame,angle,reps,feedback,sway,fps
0,,0,,,13.041803255333003
1,,0,,,13.041803255333003
2,,0,,,13.041803255333003
3,,0,,,13.041803255333003
4,,0,,,13.041803255333003
5,,0,,,13.041803255333003
6,,0,,,13.041803255333003
7,178.0,0,Too Upright,,13.041803255333003
8,,0,Too Upright,,13.041803255333003
9,,0,Too Upright,,13.041803255333003
10,,0,Too Upright,,13.041803255333003
11,170.0,0,Too Upright,,13.041803255333003
12,,0,Too Upright,,13.041803255333003
13,,0,Too Upright,,13.041803255333003
14,,0,Too Upright,,13.041803255333003
15,153.0,0,Good Depth,,13.041803255333003
16,149.0,0,Good Depth,,13.041803255333003
17,135.0,0,Good Depth,,13.041803255333003
18,134.0,0,Good Depth,,13.041803255333003
19,122.0,0,Good Depth,,13.041803255333003
20,116.0,0,Good Depth,,13.041803255333003
21,111.0,0,Good Depth,,13.041803255333003
22,109.0,0,Good Depth,,13.041803255333003
23,107.0,0,Good Depth,,13.041803255333003
24,102.0,0,Good Depth,,13.041803255333003
25,102.0,0,Good Depth,,13.041803255333003
26,101.0,0,Good Depth,,13.041803255333003
27,90.0,0,Good Depth,,13.041803255333003
28,83.0,0,Good Depth,,13.041803255333003
29,83.0,0,Good Depth,,13.041803255333003
30,93.0,0,Good Depth,,13.041803255333003
31,,0,Good Depth,,13.041803255333003
32,69.0,0,Good Depth,,13.041803255333003
33,65.0,0,Good Depth,,13.041803255333003
34,70.0,0,Good Depth,,13.041803255333003
35,64.0,0,Good Depth,,13.041803255333003
36,,0,Good Depth,,13.041803255333003
37,66.0,0,Good Depth,,13.041803255333003
38,63.0,0,Good Depth,,13.041803255333003
39,66.0,0,Good Depth,,13.041803255333003
40,64.0,0,Good Depth,,13.041803255333003
41,59.0,0,Too Deep!,,13.041803255333003
42,61.0,0,Good Depth,,13.041803255333003
43,62.0,0,Good Depth,,13.041803255333003
44,60.0,0,Good Depth,,13.041803255333003
45,61.0,0,Good Depth,,13.041803255333003
46,61.0,0,Good Depth,,13.041803255333003
47,59.0,0,Too Deep!,,13.041803255333003
48,59.0,0,Too Deep!,,13.041803255333003
49,61.0,0,Good Depth,,13.041803255333003
50,63.0,0,Good Depth,,13.041803255333003
51,70.0,0,Good Depth,,13.041803255333003
52,66.0,0,Good Depth,,13.041803255333003
53,62.0,0,Good Depth,,13.041803255333003
54,66.0,0,Good Depth,,13.041803255333003
55,78.0,0,Good Depth,,13.041803255333003
56,87.0,0,Good Depth,,13.041803255333003
57,87.0,0,Good Depth,,13.041803255333003
58,96.0,0,Good Depth,,13.041803255333003
59,106.0,0,Good Depth,,13.041803255333003
60,106.0,0,Good Depth,,13.041803255333003
61,110.0,0,Good Depth,,13.041803255333003
62,113.0,0,Good Depth,,13.041803255333003
63,117.0,0,Good Depth,,13.041803255333003
64,129.0,0,Good Depth,,13.041803255333003
65,131.0,0,Good Depth,,13.041803255333003
66,135.0,0,Good Depth,,13.041803255333003
67,143.0,0,Good Depth,,13.041803255333003
68,151.0,0,Good Depth,,13.041803255333003
69,154.0,0,Good Depth,,13.041803255333003
70,163.0,1,Too Upright,,13.041803255333003
71,174.0,1,Too Upright,,13.041803255333003
72,175.0,1,Too Upright,,13.041803255333003
73,176.0,1,Too Upright,,13.041803255333003
74,174.0,1,Too Upright,,13.041803255333003
