frame,angle,reps,feedback,sway,fps
0,173,0,Too Upright,,11.988374809067865
1,173,0,Too Upright,,11.988374809067865
2,173,0,Too Upright,,11.988374809067865
3,173,0,Too Upright,,11.988374809067865
4,172,0,Too Upright,,11.988374809067865
5,171,0,Too Upright,,11.988374809067865
6,167,0,Too Upright,,11.988374809067865
7,169,0,Too Upright,,11.988374809067865
8,172,0,Too Upright,,11.988374809067865
9,169,0,Too Upright,,11.988374809067865
10,159,0,Good Depth,,11.988374809067865
11,164,0,Too Upright,,11.988374809067865
12,155,0,Good Depth,,11.988374809067865
13,152,0,Good Depth,,11.988374809067865
14,150,0,Good Depth,,11.988374809067865
15,145,0,Good Depth,,11.988374809067865
16,143,0,Good Depth,,11.988374809067865
17,139,0,Good Depth,,11.988374809067865
18,141,0,Good Depth,,11.988374809067865
19,131,0,Good Depth,,11.988374809067865
20,131,0,Good Depth,,11.988374809067865
21,121,0,Good Depth,,11.988374809067865
22,117,0,Good Depth,,11.988374809067865
23,117,0,Good Depth,,11.988374809067865
24,116,0,Good Depth,,11.988374809067865
25,117,0,Good Depth,,11.988374809067865
26,108,0,Good Depth,,11.988374809067865
27,98,0,Good Depth,,11.988374809067865
28,100,0,Good Depth,,11.988374809067865
29,98,0,Good Depth,,11.988374809067865
30,94,0,Good Depth,,11.988374809067865
31,91,0,Good Depth,,11.988374809067865
32,82,0,Good Depth,,11.988374809067865
33,69,0,Good Depth,,11.988374809067865
34,62,0,Good Depth,,11.988374809067865
35,59,0,Too Deep!,,11.988374809067865
36,56,0,Too Deep!,,11.988374809067865
37,58,0,Too Deep!,,11.988374809067865
38,55,0,Too Deep!,,11.988374809067865
39,56,0,Too Deep!,,11.988374809067865
40,55,0,Too Deep!,,11.988374809067865
41,56,0,Too Deep!,,11.988374809067865
42,56,0,Too Deep!,,11.988374809067865
43,55,0,Too Deep!,,11.988374809067865
44,57,0,Too Deep!,,11.988374809067865
45,58,0,Too Deep!,,11.988374809067865
46,57,0,Too Deep!,,11.988374809067865
47,57,0,Too Deep!,,11.988374809067865
48,56,0,Too Deep!,,11.988374809067865
49,55,0,Too Deep!,,11.988374809067865
50,56,0,Too Deep!,,11.988374809067865
51,60,0,Good Depth,,11.988374809067865
52,65,0,Good Depth,,11.988374809067865
53,64,0,Good Depth,,11.988374809067865
54,74,0,Good Depth,,11.988374809067865
55,95,0,Good Depth,,11.988374809067865
56,99,0,Good Depth,,11.988374809067865
57,101,0,Good Depth,,11.988374809067865
58,102,0,Good Depth,,11.988374809067865
59,112,0,Good Depth,,11.988374809067865
60,118,0,Good Depth,,11.988374809067865
61,118,0,Good Depth,,11.988374809067865
62,122,0,Good Depth,,11.988374809067865
63,129,0,Good Depth,,11.988374809067865
64,132,0,Good Depth,,11.988374809067865
65,134,0,Good Depth,,11.988374809067865
66,136,0,Good Depth,,11.988374809067865
67,139,0,Good Depth,,11.988374809067865
68,146,0,Good Depth,,11.988374809067865
69,151,0,Good Depth,,11.988374809067865
70,153,0,Good Depth,,11.988374809067865
71,164,1,Too Upright,,11.988374809067865
72,166,1,Too Upright,,11.988374809067865
73,172,1,Too Upright,,11.988374809067865
74,175,1,Too Upright,,11.988374809067865
75,176,1,Too Upright,,11.988374809067865
76,176,1,Too Upright,,11.988374809067865
77,173,1,Too Upright,,11.988374809067865
78,172,1,Too Upright,,11.988374809067865
79,171,1,Too Upright,,11.988374809067865
80,171,1,Too Upright,,11.988374809067865
81,170,1,Too Upright,,11.988374809067865
82,171,1,Too Upright,,11.988374809067865
83,171,1,Too Upright,,11.988374809067865
84,171,1,Too Upright,,11.988374809067865
85,171,1,Too Upright,,11.988374809067865
86,171,1,Too Upright,,11.988374809067865
87,171,1,Too Upright,,11.988374809067865
88,165,1,Too Upright,,11.988374809067865
89,163,1,Too Upright,,11.988374809067865
90,159,1,Good Depth,,11.988374809067865
91,154,1,Good Depth,,11.988374809067865
92,150,1,Good Depth,,11.988374809067865
