epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.415,1.53811,1.85877,1.04881,0.8933,0.93056,0.94342,0.54749,1.50452,0.93075,1.03616,0.000663212,0.000663212,0.000663212
2,196.218,1.3799,0.87136,0.98876,0.92336,0.88889,0.93198,0.58095,1.53377,0.82535,1.05382,0.00126405,0.00126405,0.00126405
3,291.968,1.36117,0.82568,0.97145,0.93603,0.94444,0.95771,0.59266,1.39363,0.72692,1.02941,0.00179889,0.00179889,0.00179889
4,387.378,1.2881,0.75582,0.96353,0.9466,0.98485,0.98309,0.62359,1.38744,0.74257,0.99358,0.001703,0.001703,0.001703
5,484.898,1.27643,0.69227,0.95509,0.95598,0.95833,0.98076,0.59255,1.43068,0.70922,1.02211,0.001604,0.001604,0.001604
6,581.184,1.26369,0.67872,0.96333,0.9707,0.95833,0.95579,0.56681,1.41206,0.69944,0.99222,0.001505,0.001505,0.001505
7,675.657,1.17101,0.62578,0.9402,0.94214,0.98611,0.98632,0.63872,1.31634,0.62213,0.97286,0.001406,0.001406,0.001406
8,770.124,1.19001,0.63883,0.93082,0.97179,0.97222,0.98005,0.63439,1.2864,0.6137,0.97666,0.001307,0.001307,0.001307
9,865.225,1.14528,0.60156,0.92083,0.95876,0.96875,0.97844,0.65508,1.33406,0.57672,0.9826,0.001208,0.001208,0.001208
10,962.191,1.15805,0.58631,0.92273,0.91407,0.94444,0.91664,0.62889,1.24273,0.59001,0.95916,0.001109,0.001109,0.001109
11,1055.5,1.11415,0.57068,0.92248,0.99835,0.97222,0.98891,0.66634,1.24685,0.59589,0.95493,0.00101,0.00101,0.00101
12,1151.33,1.14509,0.56885,0.91885,0.98491,0.98611,0.9926,0.67831,1.20617,0.57534,0.95591,0.000911,0.000911,0.000911
13,1244.96,1.11613,0.55658,0.91125,0.97049,0.95833,0.97198,0.68386,1.17354,0.5307,0.95158,0.000812,0.000812,0.000812
14,1339.85,1.06897,0.51673,0.90567,0.98628,0.99828,0.99486,0.68425,1.18052,0.52973,0.94959,0.000713,0.000713,0.000713
15,1433.02,1.04392,0.51017,0.90833,0.98558,1,0.995,0.70803,1.16407,0.52939,0.94705,0.000614,0.000614,0.000614
16,1527.57,1.0004,0.49303,0.89628,0.98583,0.96652,0.98255,0.69661,1.1676,0.53036,0.945,0.000515,0.000515,0.000515
17,1621.08,0.96267,0.46901,0.88803,0.99644,0.98611,0.99473,0.71626,1.11899,0.48836,0.94297,0.000416,0.000416,0.000416
18,1714.29,0.94256,0.45217,0.87629,1,0.9825,0.99411,0.72839,1.10297,0.48538,0.93403,0.000317,0.000317,0.000317
19,1809.29,0.92359,0.43606,0.89191,1,0.98284,0.99447,0.72875,1.07303,0.48531,0.93097,0.000218,0.000218,0.000218
20,1902.64,0.91735,0.42505,0.8843,1,0.98506,0.99389,0.73046,1.08202,0.45591,0.93277,0.000119,0.000119,0.000119
