epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.791,1.58909,1.57157,1.09078,0.91813,0.92899,0.97006,0.53285,1.49735,0.84323,1.0641,0.000665008,0.000665008,0.000665008
2,388.924,1.40402,0.84248,1.01359,0.92535,0.95354,0.94027,0.57863,1.32166,0.79391,0.99935,0.00126576,0.00126576,0.00126576
3,585.808,1.37662,0.80262,1.00466,0.61507,0.94083,0.61587,0.37526,1.28552,2.20173,0.98646,0.00180051,0.00180051,0.00180051
4,840.53,1.33095,0.72959,0.99787,0.90059,0.9649,0.93583,0.59332,1.38152,0.7114,1.00404,0.001703,0.001703,0.001703
5,1086.28,1.31828,0.71142,0.98754,0.93242,0.97967,0.94915,0.65076,1.22372,0.60319,0.95933,0.001604,0.001604,0.001604
6,1331.62,1.24404,0.66222,0.96602,0.96486,0.97472,0.98646,0.67897,1.19887,0.60803,0.95676,0.001505,0.001505,0.001505
7,1578.54,1.23446,0.62658,0.96101,0.99018,0.98817,0.99471,0.67368,1.14806,0.57058,0.94047,0.001406,0.001406,0.001406
8,1825.82,1.14122,0.58901,0.94051,0.97873,0.98817,0.99006,0.69691,1.15822,0.5426,0.9385,0.001307,0.001307,0.001307
9,2070.65,1.10569,0.56234,0.92509,0.98707,0.98817,0.98666,0.69529,1.14087,0.5228,0.93142,0.001208,0.001208,0.001208
10,2315.44,1.07743,0.54009,0.92224,0.98778,0.99408,0.99488,0.71576,1.11003,0.51084,0.92905,0.001109,0.001109,0.001109
11,2557.87,1.09805,0.52722,0.94389,0.98176,0.98817,0.99363,0.71045,1.11828,0.52037,0.93039,0.00101,0.00101,0.00101
12,2801.16,1.08066,0.51805,0.94074,0.99583,0.98225,0.99403,0.70248,1.16629,0.52005,0.93876,0.000911,0.000911,0.000911
13,3046.26,1.06285,0.50224,0.9311,0.98737,0.99408,0.99476,0.71583,1.09849,0.51191,0.9254,0.000812,0.000812,0.000812
14,3290.77,1.05751,0.48935,0.92965,0.99408,0.99405,0.99494,0.73462,1.08015,0.48157,0.91702,0.000713,0.000713,0.000713
15,3536.13,1.00337,0.46674,0.90873,0.99404,0.98649,0.99453,0.71515,1.10275,0.47156,0.91599,0.000614,0.000614,0.000614
16,3780.14,0.97339,0.44876,0.90738,0.98823,0.99399,0.99464,0.72016,1.09292,0.47058,0.9197,0.000515,0.000515,0.000515
17,4022,0.96669,0.44355,0.90027,0.99333,0.99408,0.99494,0.74304,1.05531,0.4444,0.91393,0.000416,0.000416,0.000416
18,4244.95,0.937,0.43242,0.89597,0.99328,0.99408,0.99494,0.73471,1.05526,0.45434,0.91051,0.000317,0.000317,0.000317
19,4454.21,0.93315,0.42033,0.89367,0.99851,0.98817,0.99494,0.75489,1.03016,0.43976,0.90608,0.000218,0.000218,0.000218
20,4649.37,0.90259,0.40915,0.88324,0.99314,0.99408,0.99494,0.76171,1.01935,0.43281,0.90436,0.000119,0.000119,0.000119
